Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,YTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 82 ,3/15/2022 6:56:40 AM , 160 ,3/15/2022 6:57:00 AM , 399 ,3/15/2022 6:57:20 AM , 319 ,3/15/2022 6:57:40 AM , 309 ,3/15/2022 6:58:00 AM , 429 ,3/15/2022 6:58:20 AM , 412 ,3/15/2022 6:58:40 AM , 875 ,3/15/2022 6:59:00 AM , 944 ,3/15/2022 6:59:20 AM , 756 ,3/15/2022 6:59:40 AM , 1032 ,3/15/2022 7:00:00 AM , 1308 ,3/15/2022 7:00:20 AM , 1454 ,3/15/2022 7:00:40 AM , 1274 ,3/15/2022 7:01:00 AM , 1757 ,3/15/2022 7:01:20 AM , 1662 ,
 2 ,3/15/2022 7:02:00 AM , 826 ,3/15/2022 7:02:20 AM , 691 ,3/15/2022 7:02:40 AM , 1194 ,3/15/2022 7:03:00 AM , 1179 ,3/15/2022 7:03:20 AM , 1342 ,3/15/2022 7:03:40 AM , 1272 ,3/15/2022 7:04:00 AM , 616 ,3/15/2022 7:04:20 AM , 1021 ,3/15/2022 7:04:40 AM , 859 ,3/15/2022 7:05:00 AM , 1594 ,3/15/2022 7:05:20 AM , 1604 ,3/15/2022 7:05:40 AM , 1615 ,3/15/2022 7:06:00 AM , 1624 ,3/15/2022 7:06:20 AM , 1361 ,3/15/2022 7:06:40 AM , 1031 ,3/15/2022 7:07:00 AM , 1685 ,
 3 ,3/15/2022 7:07:40 AM , 794 ,3/15/2022 7:08:00 AM , 1130 ,3/15/2022 7:08:20 AM , 995 ,3/15/2022 7:08:40 AM , 1424 ,3/15/2022 7:09:00 AM , 1354 ,3/15/2022 7:09:20 AM , 1911 ,3/15/2022 7:09:40 AM , 1230 ,3/15/2022 7:10:00 AM , 895 ,3/15/2022 7:10:20 AM , 1361 ,3/15/2022 7:10:40 AM , 1308 ,3/15/2022 7:11:00 AM , 1529 ,3/15/2022 7:11:20 AM , 1333 ,3/15/2022 7:11:40 AM , 1565 ,3/15/2022 7:12:00 AM , 2039 ,3/15/2022 7:12:20 AM , 1743 ,3/15/2022 7:12:40 AM , 629 ,
 4 ,3/15/2022 7:13:20 AM , 1043 ,3/15/2022 7:13:40 AM , 1129 ,3/15/2022 7:14:00 AM , 1648 ,3/15/2022 7:14:20 AM , 1722 ,3/15/2022 7:14:40 AM , 610 ,3/15/2022 7:15:00 AM , 1096 ,3/15/2022 7:15:20 AM , 1473 ,3/15/2022 7:15:40 AM , 1306 ,3/15/2022 7:16:00 AM , 1026 ,3/15/2022 7:16:20 AM , 1355 ,3/15/2022 7:16:40 AM , 1069 ,3/15/2022 7:17:00 AM , 1109 ,3/15/2022 7:17:20 AM , 922 ,3/15/2022 7:17:40 AM , 1333 ,3/15/2022 7:18:00 AM , 1626 ,3/15/2022 7:18:20 AM , 834 ,
 5 ,3/15/2022 7:19:00 AM , 610 ,3/15/2022 7:19:20 AM , 820 ,3/15/2022 7:19:40 AM , 667 ,3/15/2022 7:20:00 AM , 949 ,3/15/2022 7:20:20 AM , 649 ,3/15/2022 7:20:40 AM , 1257 ,3/15/2022 7:21:00 AM , 942 ,3/15/2022 7:21:20 AM , 916 ,3/15/2022 7:21:40 AM , 1640 ,3/15/2022 7:22:00 AM , 1237 ,3/15/2022 7:22:20 AM , 1190 ,3/15/2022 7:22:40 AM , 1940 ,3/15/2022 7:23:00 AM , 1227 ,3/15/2022 7:23:20 AM , 1401 ,3/15/2022 7:23:40 AM , 1200 ,3/15/2022 7:24:00 AM , 1113 ,
 6 ,3/15/2022 7:24:40 AM , 441 ,3/15/2022 7:25:00 AM , 1495 ,3/15/2022 7:25:20 AM , 365 ,3/15/2022 7:25:40 AM , 792 ,3/15/2022 7:26:00 AM , 645 ,3/15/2022 7:26:20 AM , 1282 ,3/15/2022 7:26:40 AM , 827 ,3/15/2022 7:27:00 AM , 1325 ,3/15/2022 7:27:20 AM , 1627 ,3/15/2022 7:27:40 AM , 1251 ,3/15/2022 7:28:00 AM , 1444 ,3/15/2022 7:28:20 AM , 796 ,3/15/2022 7:28:40 AM , 651 ,3/15/2022 7:29:00 AM , 1493 ,3/15/2022 7:29:20 AM , 1618 ,3/15/2022 7:29:40 AM , 2003 ,
 7 ,3/15/2022 7:30:20 AM , 572 ,3/15/2022 7:30:40 AM , 964 ,3/15/2022 7:31:00 AM , 972 ,3/15/2022 7:31:20 AM , 1225 ,3/15/2022 7:31:40 AM , 1313 ,3/15/2022 7:32:00 AM , 1176 ,3/15/2022 7:32:20 AM , 589 ,3/15/2022 7:32:40 AM , 1345 ,3/15/2022 7:33:00 AM , 1305 ,3/15/2022 7:33:20 AM , 573 ,3/15/2022 7:33:40 AM , 1138 ,3/15/2022 7:34:00 AM , 723 ,3/15/2022 7:34:20 AM , 1083 ,3/15/2022 7:34:40 AM , 1106 ,3/15/2022 7:35:00 AM , 1340 ,3/15/2022 7:35:20 AM , 1466 ,
 8 ,3/15/2022 7:36:00 AM , 285 ,3/15/2022 7:36:20 AM , 1333 ,3/15/2022 7:36:40 AM , 1213 ,3/15/2022 7:37:00 AM , 1200 ,3/15/2022 7:37:20 AM , 783 ,3/15/2022 7:37:40 AM , 1534 ,3/15/2022 7:38:00 AM , 1364 ,3/15/2022 7:38:20 AM , 551 ,3/15/2022 7:38:40 AM , 1520 ,3/15/2022 7:39:00 AM , 993 ,3/15/2022 7:39:20 AM , 1404 ,3/15/2022 7:39:40 AM , 1341 ,3/15/2022 7:40:00 AM , 1951 ,3/15/2022 7:40:20 AM , 1234 ,3/15/2022 7:40:40 AM , 1186 ,3/15/2022 7:41:00 AM , 1705 ,
