Oxymax CSV File 

CSV Generation Date,3/15/2022 6:01:44 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0105
O2 Calibration Date,3/14/2022 6:02:27 AM
CO2 Calibration Date,3/14/2022 6:02:27 AM
Subject ID,16-3
Subject Mass (G), 30.4 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0105,3/14/2022 6:56:19 AM ,4103,20.905,20.682,0.223,0.0,3812,0.057,0.267,0.210,0.0,0.929,20.3,0.918,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,306,35,127,68,10,0,0.0,0.0,32.4,30.7,30.2,30.0,0,0,100,
2,0105,3/14/2022 7:01:59 AM ,3520,20.905,20.714,0.191,0.0,3193,0.059,0.235,0.177,0.0,0.907,17.4,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,268,47,241,69,11,0,0.0,0.0,32.7,30.7,30.2,30.0,0,0,100,
3,0105,3/14/2022 7:07:39 AM ,3284,20.905,20.729,0.176,0.0,2806,0.058,0.213,0.155,0.0,0.854,16.0,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,145,0,230,30,0,0,0.0,0.0,32.6,30.6,30.7,30.0,0,0,100,
4,0105,3/14/2022 7:13:19 AM ,3084,20.905,20.741,0.164,0.0,2527,0.058,0.198,0.140,0.0,0.819,14.9,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,276,42,175,56,5,0,0.0,0.0,32.6,30.5,30.5,30.0,0,0,100,
5,0105,3/14/2022 7:18:59 AM ,3078,20.905,20.741,0.164,0.0,2560,0.058,0.199,0.141,0.0,0.832,14.9,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,678,126,441,236,18,0,0.0,0.0,32.7,30.5,30.3,30.0,0,0,100,
6,0105,3/14/2022 7:24:39 AM ,2919,20.905,20.750,0.155,0.0,2373,0.057,0.188,0.131,0.0,0.813,14.1,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,529,100,424,163,7,0,0.0,0.0,33.2,30.5,30.1,30.0,0,0,100,
7,0105,3/14/2022 7:30:19 AM ,2870,20.905,20.752,0.153,0.1,2361,0.056,0.187,0.130,0.0,0.823,13.9,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,486,110,633,326,10,0,0.0,0.0,34.2,30.5,30.5,30.0,0,0,100,
8,0105,3/14/2022 7:35:59 AM ,2721,20.905,20.760,0.145,0.1,2232,0.054,0.177,0.123,0.1,0.820,13.1,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,150,7,48,5,0,0,0.0,0.0,34.2,30.4,30.6,30.0,0,0,100,
9,0105,3/14/2022 7:41:39 AM ,2566,20.905,20.767,0.138,0.1,2242,0.055,0.179,0.124,0.1,0.874,12.6,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,367,32,154,35,1,0,0.0,0.0,33.6,30.4,30.3,30.0,0,0,100,
10,0105,3/14/2022 7:47:19 AM ,2433,20.905,20.774,0.131,0.1,2088,0.055,0.170,0.115,0.1,0.858,11.9,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,523,0,129,16,0,0,0.0,0.0,33.3,30.4,30.1,30.0,0,0,100,
11,0105,3/14/2022 7:52:59 AM ,2190,20.905,20.788,0.117,0.1,1849,0.055,0.157,0.102,0.1,0.844,10.6,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,1828,6,41,8,0,0,0.0,0.0,32.7,30.5,30.3,30.0,0,0,100,
12,0105,3/14/2022 7:58:39 AM ,2212,20.905,20.787,0.117,0.1,1799,0.054,0.153,0.099,0.1,0.813,10.7,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,29,8,62,28,5,0,0.0,0.0,32.8,30.4,30.7,30.0,0,0,100,
13,0105,3/14/2022 8:04:19 AM ,2155,20.905,20.790,0.115,0.1,1777,0.052,0.150,0.098,0.1,0.824,10.4,0.915,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,93,42,94,39,0,0,0.0,0.0,32.9,30.4,30.5,30.0,0,0,100,
14,0105,3/14/2022 8:09:59 AM ,2088,20.905,20.794,0.111,0.1,1698,0.053,0.147,0.094,0.1,0.813,10.1,0.918,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,94,7,74,34,0,0,0.0,0.0,32.5,30.3,30.3,30.0,0,0,100,
15,0105,3/14/2022 8:15:39 AM ,1953,20.905,20.801,0.104,0.1,1609,0.052,0.141,0.089,0.1,0.824,9.4,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,81,26,81,44,0,0,0.0,0.0,32.3,30.4,30.1,30.0,0,0,100,
16,0105,3/14/2022 8:21:19 AM ,1829,20.905,20.808,0.097,0.1,1506,0.052,0.135,0.083,0.1,0.823,8.8,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,0,0.0,0.0,31.9,30.4,30.5,30.0,0,0,100,
17,0105,3/14/2022 8:26:59 AM ,1749,20.905,20.811,0.093,0.1,1457,0.052,0.132,0.081,0.1,0.833,8.5,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,34,0,17,0,0,0,0.0,0.0,31.9,30.4,30.6,30.0,0,0,100,
18,0105,3/14/2022 8:32:39 AM ,1649,20.905,20.817,0.087,0.1,1337,0.052,0.126,0.074,0.1,0.811,7.9,0.918,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,31.9,30.3,30.4,30.0,0,0,100,
19,0105,3/14/2022 8:38:19 AM ,1602,20.905,20.820,0.085,0.1,1270,0.052,0.122,0.070,0.1,0.793,7.7,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,31.6,30.3,30.2,30.0,0,0,100,
20,0105,3/14/2022 8:43:59 AM ,1516,20.905,20.824,0.081,0.1,1240,0.053,0.121,0.069,0.1,0.818,7.3,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,31.4,30.4,30.1,30.0,0,0,100,
21,0105,3/14/2022 8:49:39 AM ,1487,20.905,20.825,0.080,0.1,1278,0.050,0.121,0.071,0.1,0.860,7.2,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,31.2,30.4,30.6,30.0,0,0,100,
22,0105,3/14/2022 8:55:19 AM ,1869,20.905,20.805,0.100,0.1,1598,0.052,0.140,0.088,0.1,0.855,9.1,0.918,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,560,32,188,56,0,0,0.0,0.0,31.7,30.3,30.6,30.0,0,0,100,
23,0105,3/14/2022 9:00:59 AM ,2309,20.905,20.781,0.124,0.1,1982,0.052,0.162,0.110,0.1,0.858,11.3,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,416,28,300,60,1,0,0.0,0.0,32.1,30.3,30.3,30.0,0,0,100,
24,0105,3/14/2022 9:06:39 AM ,2223,20.905,20.786,0.119,0.2,1907,0.051,0.157,0.105,0.1,0.858,10.8,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,104,37,181,18,1,0,0.0,0.0,31.8,30.4,30.1,30.0,0,0,100,
25,0105,3/14/2022 9:12:19 AM ,2141,20.905,20.790,0.115,0.2,1818,0.052,0.152,0.101,0.1,0.849,10.4,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,41,0,93,4,0,0,0.0,0.0,31.6,30.4,30.4,30.0,0,0,100,
26,0105,3/14/2022 9:17:59 AM ,1882,20.905,20.805,0.099,0.2,1498,0.051,0.134,0.083,0.1,0.796,9.0,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,64,0,0,0,0.0,0.0,31.3,30.3,30.6,30.0,0,0,100,
27,0105,3/14/2022 9:23:39 AM ,1725,20.905,20.813,0.092,0.2,1421,0.050,0.129,0.079,0.1,0.824,8.3,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,66,2,62,6,0,0,0.0,0.0,31.3,30.3,30.4,30.0,0,0,100,
28,0105,3/14/2022 9:29:19 AM ,1524,20.905,20.823,0.082,0.2,1312,0.051,0.123,0.072,0.1,0.861,7.4,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,24,1,0,0,0.0,0.0,31.2,30.2,30.2,30.0,0,0,100,
29,0105,3/14/2022 9:34:59 AM ,1494,20.905,20.825,0.080,0.2,1253,0.051,0.121,0.069,0.2,0.839,7.2,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,18,1,35,11,0,0,0.0,0.0,31.0,30.4,30.1,30.0,0,0,100,
30,0105,3/14/2022 9:40:39 AM ,1465,20.905,20.827,0.078,0.2,1209,0.049,0.116,0.067,0.2,0.825,7.1,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,30.8,30.4,30.6,30.0,0,0,100,
31,0105,3/14/2022 9:46:19 AM ,1484,20.905,20.826,0.079,0.2,1218,0.050,0.118,0.067,0.2,0.821,7.2,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,456,0,18,4,0,0,0.0,0.0,30.8,30.3,30.6,30.0,0,0,100,
32,0105,3/14/2022 9:51:59 AM ,1401,20.905,20.830,0.075,0.2,1201,0.049,0.116,0.066,0.2,0.857,6.8,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,24,0,9,0,0,0,0.0,0.0,30.8,30.3,30.4,30.0,0,0,100,
33,0105,3/14/2022 9:57:39 AM ,1439,20.905,20.829,0.076,0.2,1134,0.051,0.113,0.063,0.2,0.788,6.9,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,5,0,0,0,0.0,0.0,30.7,30.3,30.2,30.0,0,0,100,
34,0105,3/14/2022 10:03:19 AM ,1358,20.905,20.832,0.073,0.2,1148,0.050,0.113,0.063,0.2,0.845,6.6,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,30.4,30.3,30.2,30.0,0,0,100,
35,0105,3/14/2022 10:08:59 AM ,1377,20.905,20.832,0.073,0.2,1111,0.051,0.112,0.061,0.2,0.807,6.6,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,34,0,61,1,0,0,0.0,0.0,30.4,30.4,30.7,30.0,0,0,100,
36,0105,3/14/2022 10:14:39 AM ,1330,20.905,20.834,0.071,0.2,1136,0.050,0.113,0.063,0.2,0.854,6.5,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,2001,0,83,0,0,0,0.0,0.0,30.4,30.3,30.5,30.0,0,0,100,
37,0105,3/14/2022 10:20:19 AM ,1441,20.905,20.828,0.077,0.2,1228,0.050,0.117,0.068,0.2,0.853,7.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,7700,0,39,6,0,0,0.0,0.0,30.5,30.2,30.3,30.0,0,0,100,
38,0105,3/14/2022 10:25:59 AM ,1837,20.905,20.806,0.099,0.2,1606,0.050,0.138,0.089,0.2,0.874,9.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,190,2,131,8,0,0,0.0,0.0,30.8,30.3,30.1,30.0,0,0,100,
39,0105,3/14/2022 10:31:39 AM ,2038,20.905,20.795,0.109,0.2,1761,0.049,0.147,0.097,0.2,0.864,9.9,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,513,70,166,64,9,0,0.0,0.0,30.6,30.4,30.4,30.0,0,0,100,
40,0105,3/14/2022 10:37:19 AM ,1719,20.905,20.812,0.092,0.2,1491,0.049,0.132,0.082,0.2,0.868,8.4,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,514,11,38,12,0,0,0.0,0.0,30.3,30.3,30.6,30.0,0,0,100,
41,0105,3/14/2022 10:42:59 AM ,1615,20.905,20.819,0.086,0.2,1297,0.051,0.122,0.072,0.2,0.803,7.8,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,3,0,14,4,0,0,0.0,0.0,30.3,30.3,30.4,30.0,0,0,100,
42,0105,3/14/2022 10:48:39 AM ,1530,20.905,20.823,0.081,0.2,1253,0.050,0.119,0.069,0.2,0.819,7.4,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,7,0,18,5,0,0,0.0,0.0,30.1,30.2,30.1,30.0,0,0,100,
43,0105,3/14/2022 10:54:19 AM ,1474,20.905,20.827,0.078,0.2,1187,0.050,0.116,0.066,0.2,0.805,7.1,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,8,0,24,14,0,0,0.0,0.0,29.9,30.4,30.3,30.0,0,0,100,
44,0105,3/14/2022 10:59:59 AM ,1367,20.905,20.832,0.073,0.2,1120,0.051,0.113,0.062,0.2,0.820,6.6,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,1,1,0,0,0.0,0.0,29.8,30.3,30.6,30.0,0,0,100,
45,0105,3/14/2022 11:05:39 AM ,1407,20.905,20.830,0.074,0.3,1127,0.050,0.112,0.062,0.2,0.801,6.8,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,0,0.0,0.0,29.9,30.2,30.4,30.0,0,0,100,
46,0105,3/14/2022 11:11:19 AM ,1337,20.905,20.834,0.071,0.3,1114,0.050,0.111,0.062,0.2,0.834,6.5,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,29.8,30.2,30.2,30.0,0,0,100,
47,0105,3/14/2022 11:16:59 AM ,1387,20.905,20.831,0.074,0.3,1120,0.050,0.112,0.062,0.2,0.808,6.7,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,81,3,42,4,0,0,0.0,0.0,29.7,30.4,30.1,30.0,0,0,100,
48,0105,3/14/2022 11:22:39 AM ,1347,20.905,20.833,0.072,0.3,1097,0.050,0.111,0.061,0.2,0.815,6.5,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,0,0.0,0.0,29.6,30.3,30.7,30.0,0,0,100,
49,0105,3/14/2022 11:28:19 AM ,1320,20.905,20.835,0.070,0.3,1069,0.050,0.109,0.059,0.2,0.809,6.4,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,26,0,0,0,0,0,0.0,0.0,29.7,30.3,30.5,30.0,0,0,100,
50,0105,3/14/2022 11:33:59 AM ,1270,20.905,20.838,0.067,0.3,1010,0.050,0.106,0.056,0.2,0.795,6.1,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,711,0,0,0,0,0,0.0,0.0,29.6,30.2,30.3,30.0,0,0,100,
51,0105,3/14/2022 11:39:39 AM ,1291,20.905,20.836,0.068,0.3,1036,0.050,0.107,0.057,0.2,0.803,6.2,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1,0,1,0,0,0,0.0,0.0,29.4,30.3,30.1,30.0,0,0,100,
52,0105,3/14/2022 11:45:19 AM ,1267,20.905,20.837,0.067,0.3,1039,0.049,0.106,0.058,0.2,0.820,6.1,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,29.3,30.4,30.4,30.0,0,0,100,
53,0105,3/14/2022 11:50:59 AM ,1261,20.905,20.838,0.067,0.3,1025,0.050,0.106,0.057,0.2,0.813,6.1,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,29.2,30.3,30.6,30.0,0,0,100,
