Oxymax CSV File 

CSV Generation Date,3/16/2022 6:11:16 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0102
O2 Calibration Date,3/15/2022 6:14:43 AM
CO2 Calibration Date,3/15/2022 6:14:43 AM
Subject ID,16-1
Subject Mass (G), 29 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0102,3/15/2022 6:56:40 AM ,6026,20.904,20.594,0.309,0.0,4997,0.058,0.325,0.266,0.0,0.829,29.1,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,121,81,160,113,23,0,0.0,0.0,46.0,31.0,30.1,30.0,0,0,100,
2,0102,3/15/2022 7:02:20 AM ,4748,20.904,20.662,0.242,0.0,3836,0.061,0.265,0.204,0.0,0.808,22.8,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,377,182,691,392,105,0,0.0,0.0,45.7,31.3,30.4,30.0,0,0,100,
3,0102,3/15/2022 7:08:00 AM ,4078,20.904,20.697,0.207,0.0,3175,0.061,0.230,0.169,0.0,0.779,19.5,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,527,317,1130,796,113,0,0.0,0.0,45.4,31.6,30.6,30.0,0,0,100,
4,0102,3/15/2022 7:13:40 AM ,3753,20.904,20.714,0.190,0.0,2858,0.060,0.212,0.152,0.0,0.762,17.8,0.908,75.00,STABLE / OPEN,0.00,0.00,0.250,0.250,612,334,1129,721,107,0,0.0,0.0,45.4,31.8,30.4,30.0,0,0,100,
5,0102,3/15/2022 7:19:20 AM ,3547,20.904,20.725,0.178,0.0,2628,0.060,0.200,0.140,0.0,0.741,16.8,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,314,193,820,443,55,0,0.0,0.0,45.2,31.9,30.2,30.0,0,0,100,
6,0102,3/15/2022 7:25:00 AM ,3466,20.904,20.730,0.173,0.1,2483,0.057,0.189,0.132,0.0,0.716,16.3,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,612,338,1495,1063,91,0,0.0,0.0,45.6,32.0,30.1,30.0,0,0,100,
7,0102,3/15/2022 7:30:40 AM ,3450,20.904,20.731,0.173,0.1,2471,0.058,0.189,0.132,0.1,0.716,16.2,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,595,248,964,563,132,0,0.0,0.0,45.9,32.1,30.6,30.0,0,0,100,
8,0102,3/15/2022 7:36:20 AM ,3396,20.904,20.734,0.170,0.1,2416,0.057,0.186,0.129,0.1,0.711,15.9,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,558,313,1333,915,73,0,0.0,0.0,45.7,32.2,30.6,30.0,0,0,100,
9,0102,3/15/2022 7:42:00 AM ,3318,20.904,20.738,0.166,0.1,2353,0.056,0.182,0.125,0.1,0.709,15.6,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,370,190,962,625,17,0,0.0,0.0,45.5,32.2,30.3,30.0,0,0,100,
10,0102,3/15/2022 7:47:40 AM ,3212,20.904,20.743,0.161,0.1,2313,0.056,0.179,0.123,0.1,0.720,15.1,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,402,229,793,407,70,0,0.0,0.0,45.2,32.3,30.2,30.0,0,0,100,
11,0102,3/15/2022 7:53:20 AM ,3197,20.904,20.745,0.159,0.1,2236,0.057,0.176,0.119,0.1,0.699,14.9,0.910,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,504,267,1211,830,69,0,0.0,0.0,45.3,32.3,30.1,30.0,0,0,100,
12,0102,3/15/2022 7:59:00 AM ,2994,20.904,20.752,0.152,0.1,2324,0.056,0.180,0.124,0.1,0.776,14.3,0.907,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,382,186,1038,478,72,0,0.0,0.0,45.2,32.3,30.5,30.0,0,0,100,
13,0102,3/15/2022 8:04:40 AM ,2899,20.904,20.757,0.147,0.1,2282,0.054,0.175,0.121,0.1,0.787,13.9,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,256,135,501,265,56,0,0.0,0.0,44.9,32.3,30.7,30.0,0,0,100,
14,0102,3/15/2022 8:10:20 AM ,2809,20.904,20.761,0.142,0.1,2187,0.055,0.171,0.116,0.1,0.779,13.4,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,221,42,476,158,2,0,0.0,0.0,44.8,32.4,30.5,30.0,0,0,100,
15,0102,3/15/2022 8:16:00 AM ,2730,20.904,20.765,0.139,0.1,2137,0.055,0.169,0.114,0.1,0.783,13.0,0.907,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,299,166,587,342,65,0,0.0,0.0,44.6,32.4,30.4,30.0,0,0,100,
16,0102,3/15/2022 8:21:40 AM ,2714,20.904,20.767,0.137,0.1,2032,0.054,0.163,0.108,0.1,0.749,12.9,0.906,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,359,140,606,349,133,0,0.0,0.0,44.3,32.4,30.3,30.0,0,0,100,
17,0102,3/15/2022 8:27:20 AM ,2615,20.904,20.772,0.132,0.1,1986,0.054,0.160,0.106,0.1,0.760,12.4,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,161,71,396,134,6,0,0.0,0.0,44.0,32.4,30.1,30.0,0,0,100,
18,0102,3/15/2022 8:33:00 AM ,2560,20.904,20.774,0.130,0.2,1989,0.054,0.160,0.106,0.1,0.777,12.2,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,270,140,521,270,30,0,0.0,0.0,43.9,32.4,30.3,30.0,0,0,100,
19,0102,3/15/2022 8:38:40 AM ,2603,20.904,20.772,0.131,0.2,1988,0.054,0.160,0.106,0.1,0.764,12.4,0.910,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,298,133,527,304,103,0,0.0,0.0,43.7,32.4,30.6,30.0,0,0,100,
20,0102,3/15/2022 8:44:20 AM ,2610,20.904,20.772,0.131,0.2,1951,0.054,0.158,0.104,0.1,0.748,12.4,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,232,134,617,313,31,0,0.0,0.0,43.7,32.4,30.6,30.0,0,0,100,
21,0102,3/15/2022 8:50:00 AM ,2614,20.904,20.772,0.132,0.2,1999,0.055,0.161,0.106,0.1,0.765,12.4,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,377,212,750,445,96,0,0.0,0.0,43.6,32.4,30.5,30.0,0,0,100,
22,0102,3/15/2022 8:55:40 AM ,2591,20.904,20.772,0.132,0.2,2060,0.055,0.165,0.110,0.1,0.795,12.4,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,269,128,593,274,42,0,0.0,0.0,43.3,32.4,30.3,30.0,0,0,100,
23,0102,3/15/2022 9:01:20 AM ,2493,20.904,20.778,0.126,0.2,1886,0.055,0.155,0.100,0.1,0.757,11.8,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,139,46,232,118,18,0,0.0,0.0,43.0,32.4,30.1,30.0,0,0,100,
24,0102,3/15/2022 9:07:00 AM ,2431,20.904,20.781,0.123,0.2,1882,0.054,0.154,0.100,0.2,0.774,11.6,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,120,18,316,67,0,0,0.0,0.0,42.8,32.4,30.3,30.0,0,0,100,
25,0102,3/15/2022 9:12:40 AM ,2364,20.904,20.784,0.119,0.2,1785,0.054,0.149,0.095,0.2,0.755,11.2,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,77,28,252,77,5,0,0.0,0.0,42.7,32.4,30.7,30.0,0,0,100,
26,0102,3/15/2022 9:18:20 AM ,2388,20.904,20.784,0.120,0.2,1781,0.054,0.149,0.095,0.2,0.746,11.3,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,120,25,382,70,0,0,0.0,0.0,42.5,32.4,30.6,30.0,0,0,100,
27,0102,3/15/2022 9:24:00 AM ,1912,20.904,20.807,0.096,0.2,1445,0.054,0.131,0.077,0.2,0.756,9.1,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,7,1,22,12,0,0,0.0,0.0,42.0,32.4,30.4,30.0,0,0,100,
28,0102,3/15/2022 9:29:40 AM ,1616,20.904,20.822,0.082,0.2,1239,0.052,0.118,0.066,0.2,0.767,7.7,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,4,2,20,13,0,0,0.0,0.0,41.6,32.4,30.2,30.0,0,0,100,
29,0102,3/15/2022 9:35:20 AM ,1396,20.904,20.833,0.071,0.2,1061,0.053,0.110,0.057,0.2,0.760,6.6,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,1,0,0,0,0.0,0.0,41.2,32.3,30.1,30.0,0,0,100,
30,0102,3/15/2022 9:41:00 AM ,1284,20.904,20.839,0.065,0.2,1008,0.053,0.106,0.054,0.2,0.785,6.1,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,4,0,0,0,0.0,0.0,40.9,32.3,30.4,30.0,0,0,100,
31,0102,3/15/2022 9:46:40 AM ,1227,20.904,20.842,0.062,0.2,926,0.053,0.103,0.049,0.2,0.755,5.8,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,0,0,0,0,0.0,0.0,40.7,32.3,30.6,30.0,0,0,100,
32,0102,3/15/2022 9:52:20 AM ,1249,20.904,20.841,0.063,0.2,951,0.053,0.104,0.051,0.2,0.761,5.9,0.907,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,11,3,25,20,0,0,0.0,0.0,40.5,32.3,30.5,30.0,0,0,100,
33,0102,3/15/2022 9:58:00 AM ,1222,20.904,20.842,0.061,0.2,906,0.053,0.102,0.048,0.2,0.742,5.8,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,1,0,0,0,0.0,0.0,40.3,32.3,30.3,30.0,0,0,100,
34,0102,3/15/2022 10:03:40 AM ,1213,20.904,20.843,0.061,0.2,920,0.052,0.101,0.049,0.2,0.758,5.8,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,112,0,0,0,0.0,0.0,40.1,32.3,30.1,30.0,0,0,100,
35,0102,3/15/2022 10:09:20 AM ,1268,20.904,20.840,0.064,0.2,919,0.053,0.102,0.049,0.2,0.725,6.0,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,35,0,9,1,0,0,0.0,0.0,39.9,32.3,30.2,30.0,0,0,100,
36,0102,3/15/2022 10:15:00 AM ,1284,20.904,20.839,0.065,0.3,970,0.053,0.104,0.052,0.2,0.755,6.1,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,26,1,34,13,0,0,0.0,0.0,39.9,32.3,30.6,30.0,0,0,100,
37,0102,3/15/2022 10:20:40 AM ,1252,20.904,20.841,0.063,0.3,915,0.052,0.101,0.049,0.2,0.731,5.9,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,0,0,0,0,0.0,0.0,39.6,32.3,30.6,30.0,0,0,100,
38,0102,3/15/2022 10:26:20 AM ,1261,20.904,20.840,0.064,0.3,966,0.052,0.103,0.051,0.2,0.766,6.0,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,35,26,60,29,0,0,0.0,0.0,39.5,32.3,30.1,30.0,0,0,100,
39,0102,3/15/2022 10:32:00 AM ,1619,20.904,20.821,0.083,0.3,1346,0.051,0.123,0.072,0.2,0.831,7.8,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,186,70,309,129,23,0,0.0,0.0,39.8,32.4,30.1,30.0,0,0,100,
40,0102,3/15/2022 10:37:40 AM ,1942,20.904,20.806,0.097,0.3,1407,0.052,0.127,0.075,0.2,0.724,9.1,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,10,3,351,51,0,0,0.0,0.0,39.7,32.3,30.3,30.0,0,0,100,
41,0102,3/15/2022 10:43:20 AM ,2101,20.904,20.798,0.106,0.3,1541,0.051,0.133,0.082,0.2,0.733,9.9,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,156,16,275,38,1,0,0.0,0.0,39.8,32.3,30.7,30.0,0,0,100,
42,0102,3/15/2022 10:49:00 AM ,1734,20.904,20.817,0.087,0.3,1243,0.052,0.118,0.066,0.2,0.717,8.1,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,20,3,43,17,0,0,0.0,0.0,39.3,32.3,30.5,30.0,0,0,100,
43,0102,3/15/2022 10:54:40 AM ,1469,20.904,20.830,0.074,0.3,1077,0.051,0.109,0.057,0.2,0.734,6.9,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,2,0,0,0,0.0,0.0,39.0,32.3,30.4,30.0,0,0,100,
44,0102,3/15/2022 11:00:20 AM ,1357,20.904,20.836,0.068,0.3,962,0.052,0.103,0.051,0.2,0.709,6.4,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,0,0,0,0,0.0,0.0,38.7,32.4,30.2,30.0,0,0,100,
45,0102,3/15/2022 11:06:00 AM ,1253,20.904,20.841,0.063,0.3,947,0.052,0.102,0.050,0.2,0.756,5.9,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,1,0,0,0,0.0,0.0,38.5,32.3,30.1,30.0,0,0,100,
46,0102,3/15/2022 11:11:40 AM ,1208,20.904,20.843,0.061,0.3,892,0.051,0.099,0.047,0.2,0.739,5.7,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,0,0,0,0,0.0,0.0,38.3,32.3,30.5,30.0,0,0,100,
47,0102,3/15/2022 11:17:20 AM ,1212,20.904,20.843,0.061,0.3,906,0.052,0.100,0.048,0.2,0.748,5.7,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,9,1,12,7,0,0,0.0,0.0,38.2,32.3,30.6,30.0,0,0,100,
48,0102,3/15/2022 11:23:00 AM ,1206,20.904,20.843,0.060,0.3,863,0.052,0.098,0.046,0.2,0.716,5.7,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,0,0,0,0,0.0,0.0,38.0,32.3,30.5,30.0,0,0,100,
49,0102,3/15/2022 11:28:40 AM ,1147,20.904,20.846,0.058,0.3,854,0.052,0.097,0.045,0.2,0.744,5.4,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,35,0,2,0,0,0,0.0,0.0,37.9,32.3,30.3,30.0,0,0,100,
50,0102,3/15/2022 11:34:20 AM ,1201,20.904,20.844,0.060,0.3,862,0.052,0.098,0.046,0.2,0.718,5.6,0.907,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,11,1,15,4,0,0,0.0,0.0,37.7,32.3,30.1,30.0,0,0,100,
51,0102,3/15/2022 11:40:00 AM ,1235,20.904,20.842,0.062,0.3,904,0.052,0.100,0.048,0.2,0.732,5.8,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,35,22,45,25,0,0,0.0,0.0,37.7,32.3,30.2,30.0,0,0,100,
52,0102,3/15/2022 11:45:40 AM ,1190,20.904,20.844,0.060,0.3,867,0.052,0.098,0.046,0.2,0.728,5.6,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,2,0,0,0,0.0,0.0,37.5,32.3,30.6,30.0,0,0,100,
53,0102,3/15/2022 11:51:20 AM ,1168,20.904,20.845,0.059,0.3,850,0.051,0.096,0.045,0.2,0.727,5.5,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,21,0,0,0,0.0,0.0,37.3,32.3,30.6,30.0,0,0,100,
54,0102,3/15/2022 11:57:00 AM ,1095,20.904,20.849,0.055,0.3,825,0.052,0.096,0.044,0.2,0.754,5.2,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.250,0,0,67,3,0,0,0.0,0.0,37.2,32.3,30.5,30.0,0,0,100,
