Oxymax CSV File 

CSV Generation Date,3/16/2022 6:11:19 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0107
O2 Calibration Date,3/15/2022 6:14:43 AM
CO2 Calibration Date,3/15/2022 6:14:43 AM
Subject ID,16-4
Subject Mass (G), 31.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,3/15/2022 6:58:20 AM ,4605,20.904,20.642,0.262,0.0,3953,0.058,0.290,0.232,0.0,0.858,22.4,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,325,176,412,298,17,0,0.0,0.0,30.5,30.7,30.3,30.0,0,0,100,
2,0107,3/15/2022 7:04:00 AM ,3927,20.904,20.682,0.222,0.0,3266,0.061,0.253,0.191,0.0,0.832,19.0,0.902,75.00,STABLE / OPEN,0.00,0.00,0.741,0.741,458,208,616,330,18,0,0.0,0.0,30.5,30.9,30.1,30.0,0,0,100,
3,0107,3/15/2022 7:09:40 AM ,3657,20.904,20.698,0.205,0.0,2945,0.061,0.233,0.173,0.0,0.805,17.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.482,1.224,987,587,1230,835,76,0,0.0,0.0,31.2,31.0,30.5,30.0,0,0,100,
4,0107,3/15/2022 7:15:20 AM ,3496,20.904,20.708,0.196,0.0,2800,0.060,0.224,0.164,0.0,0.801,16.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.170,1.393,1088,587,1473,995,41,0,0.0,0.0,33.2,31.1,30.6,30.0,0,0,100,
5,0107,3/15/2022 7:21:00 AM ,3433,20.904,20.713,0.191,0.0,2578,0.060,0.211,0.151,0.0,0.751,16.3,0.902,75.00,STABLE / OPEN,0.00,0.00,0.409,1.802,675,378,942,558,51,0,0.0,0.0,32.9,31.1,30.4,30.0,0,0,100,
6,0107,3/15/2022 7:26:40 AM ,3230,20.904,20.724,0.180,0.1,2476,0.057,0.202,0.145,0.0,0.767,15.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,584,326,827,431,112,0,0.0,0.0,32.7,31.1,30.2,30.0,0,0,100,
7,0107,3/15/2022 7:32:20 AM ,3221,20.904,20.725,0.179,0.1,2375,0.058,0.197,0.139,0.1,0.737,15.2,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,548,288,589,359,34,0,0.0,0.0,32.4,31.2,30.1,30.0,0,0,100,
8,0107,3/15/2022 7:38:00 AM ,3192,20.904,20.727,0.177,0.1,2383,0.057,0.197,0.140,0.1,0.747,15.1,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,1094,597,1364,913,40,0,0.0,0.0,33.0,31.2,30.5,30.0,0,0,100,
9,0107,3/15/2022 7:43:40 AM ,3298,20.904,20.721,0.183,0.1,2463,0.056,0.201,0.144,0.1,0.747,15.6,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,1059,611,1348,892,106,0,0.0,0.0,33.1,31.2,30.6,30.0,0,0,100,
10,0107,3/15/2022 7:49:20 AM ,3334,20.904,20.720,0.184,0.1,2427,0.056,0.199,0.142,0.1,0.728,15.7,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,1005,565,1340,854,84,0,0.0,0.0,32.9,31.2,30.4,30.0,0,0,100,
11,0107,3/15/2022 7:55:00 AM ,3244,20.904,20.725,0.178,0.1,2295,0.057,0.191,0.135,0.1,0.708,15.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,798,473,1099,718,62,0,0.0,0.0,32.6,31.2,30.3,30.0,0,0,100,
12,0107,3/15/2022 8:00:40 AM ,3244,20.904,20.725,0.179,0.1,2300,0.056,0.191,0.135,0.1,0.709,15.2,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,883,475,1366,908,118,0,0.0,0.0,32.8,31.3,30.1,30.0,0,0,100,
13,0107,3/15/2022 8:06:20 AM ,3125,20.904,20.731,0.173,0.1,2311,0.054,0.189,0.135,0.1,0.740,14.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,383,159,597,331,50,0,0.0,0.0,32.7,31.2,30.2,30.0,0,0,100,
14,0107,3/15/2022 8:12:00 AM ,3185,20.904,20.728,0.176,0.1,2284,0.055,0.189,0.134,0.1,0.717,15.0,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,1249,668,1633,1144,97,0,0.0,0.0,34.6,31.3,30.6,30.0,0,0,100,
15,0107,3/15/2022 8:17:40 AM ,3072,20.904,20.735,0.168,0.1,2137,0.055,0.180,0.125,0.1,0.696,14.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,350,151,734,426,20,0,0.0,0.0,33.8,31.3,30.6,30.0,0,0,100,
16,0107,3/15/2022 8:23:20 AM ,3167,20.904,20.729,0.174,0.2,2221,0.054,0.185,0.130,0.1,0.701,14.8,0.899,74.99,STABLE / OPEN,0.00,0.00,0.000,1.802,584,308,1114,693,120,0,0.0,0.0,33.4,31.2,30.5,30.0,0,0,100,
17,0107,3/15/2022 8:29:00 AM ,3059,20.904,20.736,0.168,0.2,2110,0.054,0.177,0.124,0.1,0.690,14.3,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,1.802,756,323,782,493,86,0,0.0,0.0,33.1,31.2,30.3,30.0,0,0,100,
18,0107,3/15/2022 8:34:40 AM ,2964,20.904,20.741,0.163,0.2,2023,0.054,0.173,0.119,0.1,0.682,13.8,0.899,75.00,STABLE / OPEN,0.00,0.00,1.148,2.950,457,174,599,355,35,0,0.0,0.0,32.8,31.3,30.1,30.0,0,0,100,
19,0107,3/15/2022 8:40:20 AM ,2847,20.904,20.746,0.158,0.2,2094,0.054,0.177,0.123,0.1,0.735,13.4,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,196,75,247,109,3,0,0.0,0.0,32.5,31.3,30.1,30.0,0,0,100,
20,0107,3/15/2022 8:46:00 AM ,2739,20.904,20.752,0.152,0.2,2026,0.054,0.173,0.119,0.1,0.740,12.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,486,179,548,314,62,0,0.0,0.0,32.8,31.3,30.3,30.0,0,0,100,
21,0107,3/15/2022 8:51:40 AM ,2770,20.904,20.751,0.153,0.2,2031,0.055,0.174,0.119,0.1,0.733,13.1,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,581,236,646,392,42,0,0.0,0.0,32.4,31.3,30.7,30.0,0,0,100,
22,0107,3/15/2022 8:57:20 AM ,2961,20.904,20.741,0.163,0.2,2085,0.055,0.177,0.122,0.2,0.704,13.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,734,445,1171,744,166,0,0.0,0.0,32.3,31.3,30.5,30.0,0,0,100,
23,0107,3/15/2022 9:03:00 AM ,2802,20.904,20.749,0.155,0.2,2036,0.055,0.174,0.119,0.2,0.727,13.2,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,410,237,500,268,39,0,0.0,0.0,32.1,31.3,30.3,30.0,0,0,100,
24,0107,3/15/2022 9:08:40 AM ,2730,20.904,20.752,0.152,0.2,2054,0.054,0.174,0.120,0.2,0.752,12.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,292,159,558,292,40,0,0.0,0.0,32.2,31.2,30.2,30.0,0,0,100,
25,0107,3/15/2022 9:14:20 AM ,2805,20.904,20.748,0.156,0.2,2073,0.054,0.176,0.122,0.2,0.739,13.3,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,863,472,1255,831,48,0,0.0,0.0,31.9,31.3,30.1,30.0,0,0,100,
26,0107,3/15/2022 9:20:00 AM ,2774,20.904,20.751,0.153,0.2,2008,0.054,0.172,0.118,0.2,0.724,13.1,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,559,285,680,418,78,0,0.0,0.0,31.9,31.3,30.5,30.0,0,0,100,
27,0107,3/15/2022 9:25:40 AM ,2672,20.904,20.755,0.149,0.2,2040,0.054,0.173,0.120,0.2,0.763,12.7,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,528,203,610,315,25,0,0.0,0.0,31.9,31.3,30.7,30.0,0,0,100,
28,0107,3/15/2022 9:31:20 AM ,2663,20.904,20.756,0.148,0.3,2014,0.052,0.170,0.118,0.2,0.756,12.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,462,248,787,441,59,0,0.0,0.0,31.8,31.2,30.5,30.0,0,0,100,
29,0107,3/15/2022 9:37:00 AM ,2667,20.904,20.756,0.148,0.3,2010,0.053,0.171,0.118,0.2,0.754,12.6,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,313,148,531,268,47,0,0.0,0.0,31.5,31.2,30.3,30.0,0,0,100,
30,0107,3/15/2022 9:42:40 AM ,2564,20.904,20.761,0.142,0.3,1919,0.053,0.165,0.112,0.2,0.748,12.1,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,319,145,484,263,32,0,0.0,0.0,31.3,31.2,30.1,30.0,0,0,100,
31,0107,3/15/2022 9:48:20 AM ,2491,20.904,20.765,0.139,0.3,1885,0.053,0.164,0.110,0.2,0.757,11.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,706,165,423,195,25,0,0.0,0.0,31.6,31.2,30.2,30.0,0,0,100,
32,0107,3/15/2022 9:54:00 AM ,2465,20.904,20.768,0.136,0.3,1786,0.053,0.158,0.105,0.2,0.725,11.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,348,178,571,315,18,0,0.0,0.0,31.4,31.3,30.7,30.0,0,0,100,
33,0107,3/15/2022 9:59:40 AM ,2497,20.904,20.767,0.137,0.3,1779,0.053,0.158,0.104,0.2,0.713,11.7,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,599,290,682,406,27,0,0.0,0.0,31.2,31.2,30.5,30.0,0,0,100,
34,0107,3/15/2022 10:05:20 AM ,2485,20.904,20.766,0.137,0.3,1817,0.052,0.159,0.106,0.2,0.731,11.7,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,181,31,314,51,0,0,0.0,0.0,31.6,31.2,30.4,30.0,0,0,100,
35,0107,3/15/2022 10:11:00 AM ,2499,20.904,20.766,0.138,0.3,1789,0.053,0.158,0.105,0.2,0.716,11.7,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,297,71,332,68,0,0,0.0,0.0,31.6,31.2,30.2,30.0,0,0,100,
36,0107,3/15/2022 10:16:40 AM ,2073,20.904,20.789,0.114,0.3,1501,0.053,0.140,0.088,0.2,0.724,9.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,62,31,184,30,0,0,0.0,0.0,31.1,31.3,30.1,30.0,0,0,100,
37,0107,3/15/2022 10:22:20 AM ,1831,20.904,20.803,0.101,0.3,1294,0.052,0.128,0.076,0.2,0.707,8.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,4,1,32,14,0,0,0.0,0.0,30.8,31.2,30.6,30.0,0,0,100,
38,0107,3/15/2022 10:28:00 AM ,1816,20.904,20.802,0.102,0.3,1420,0.052,0.135,0.083,0.2,0.782,8.7,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,249,144,269,190,14,0,0.0,0.0,31.0,31.2,30.4,30.0,0,0,100,
39,0107,3/15/2022 10:33:40 AM ,2003,20.904,20.792,0.112,0.3,1557,0.051,0.142,0.091,0.2,0.777,9.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,350,188,570,359,69,0,0.0,0.0,31.0,31.2,30.3,30.0,0,0,100,
40,0107,3/15/2022 10:39:20 AM ,2083,20.904,20.789,0.115,0.3,1514,0.052,0.141,0.089,0.2,0.727,9.8,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,213,110,381,166,14,0,0.0,0.0,30.8,31.2,30.1,30.0,0,0,100,
41,0107,3/15/2022 10:45:00 AM ,2166,20.904,20.784,0.120,0.3,1554,0.051,0.142,0.091,0.3,0.717,10.2,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,457,195,480,213,24,0,0.0,0.0,30.8,31.3,30.2,30.0,0,0,100,
42,0107,3/15/2022 10:50:40 AM ,2255,20.904,20.780,0.124,0.3,1585,0.052,0.145,0.093,0.3,0.703,10.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,230,17,224,60,0,0,0.0,0.0,30.8,31.2,30.6,30.0,0,0,100,
43,0107,3/15/2022 10:56:20 AM ,1962,20.904,20.795,0.109,0.4,1426,0.051,0.135,0.084,0.3,0.727,9.2,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,51,28,48,26,0,0,0.0,0.0,30.4,31.1,30.6,30.0,0,0,100,
44,0107,3/15/2022 11:02:00 AM ,1696,20.904,20.811,0.093,0.4,1190,0.052,0.122,0.070,0.3,0.702,7.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,0,0,12,10,0,0,0.0,0.0,30.2,31.2,30.4,30.0,0,0,100,
45,0107,3/15/2022 11:07:40 AM ,1494,20.904,20.822,0.082,0.4,1021,0.052,0.112,0.060,0.3,0.683,7.0,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,0,0,0,0,0,0,0.0,0.0,30.0,31.2,30.2,30.0,0,0,100,
46,0107,3/15/2022 11:13:20 AM ,1372,20.904,20.828,0.075,0.4,973,0.051,0.108,0.057,0.3,0.710,6.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,0,0,0,0,0,0,0.0,0.0,30.1,31.2,30.1,30.0,0,0,100,
47,0107,3/15/2022 11:19:00 AM ,1327,20.904,20.831,0.073,0.4,901,0.052,0.105,0.053,0.3,0.679,6.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,0,0,0,0,0,0,0.0,0.0,29.7,31.2,30.3,30.0,0,0,100,
48,0107,3/15/2022 11:24:40 AM ,1321,20.904,20.831,0.072,0.4,913,0.052,0.106,0.053,0.3,0.691,6.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,0,0,35,5,0,0,0.0,0.0,29.6,31.2,30.6,30.0,0,0,100,
49,0107,3/15/2022 11:30:20 AM ,1359,20.904,20.829,0.075,0.4,1003,0.052,0.110,0.059,0.3,0.738,6.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,12,2,302,29,0,0,0.0,0.0,29.7,31.1,30.5,30.0,0,0,100,
50,0107,3/15/2022 11:36:00 AM ,1337,20.904,20.830,0.074,0.4,939,0.052,0.107,0.055,0.3,0.702,6.3,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,36,0,3,0,0,0,0.0,0.0,29.5,31.2,30.4,30.0,0,0,100,
51,0107,3/15/2022 11:41:40 AM ,1282,20.904,20.834,0.070,0.4,891,0.052,0.104,0.052,0.3,0.695,6.0,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,5,0,5,0,0,0,0.0,0.0,29.4,31.2,30.2,30.0,0,0,100,
52,0107,3/15/2022 11:47:20 AM ,1280,20.904,20.833,0.070,0.4,898,0.052,0.105,0.053,0.3,0.701,6.0,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,0,0,3,0,0,0,0.0,0.0,29.2,31.1,30.1,30.0,0,0,100,
53,0107,3/15/2022 11:53:00 AM ,1276,20.904,20.834,0.070,0.4,894,0.051,0.104,0.052,0.3,0.701,6.0,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,2.950,1,1,0,0,0,0,0.0,0.0,29.3,31.2,30.4,30.0,0,0,100,
