Oxymax CSV File 

CSV Generation Date,3/16/2022 6:11:22 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0112
O2 Calibration Date,3/15/2022 6:14:43 AM
CO2 Calibration Date,3/15/2022 6:14:43 AM
Subject ID,F16-2
Subject Mass (G), 25.4 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0112,3/15/2022 7:00:00 AM ,4114,20.904,20.722,0.182,0.0,3002,0.058,0.199,0.141,0.0,0.730,19.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,557,331,1308,905,69,0,0.0,0.0,30.7,31.0,30.5,30.0,0,0,100,
2,0112,3/15/2022 7:05:40 AM ,3851,20.904,20.735,0.169,0.0,2666,0.061,0.186,0.125,0.0,0.692,18.0,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,678,382,1615,1117,68,0,0.0,0.0,30.8,31.2,30.3,30.0,0,0,100,
3,0112,3/15/2022 7:11:20 AM ,3644,20.904,20.744,0.160,0.0,2447,0.061,0.176,0.115,0.0,0.672,16.9,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,628,360,1333,937,65,0,0.0,0.0,31.0,31.4,30.0,30.0,0,0,100,
4,0112,3/15/2022 7:17:00 AM ,3533,20.904,20.749,0.155,0.0,2408,0.060,0.173,0.113,0.0,0.682,16.4,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,501,281,1109,685,63,0,0.0,0.0,31.5,31.5,30.4,30.0,0,0,100,
5,0112,3/15/2022 7:22:40 AM ,3528,20.904,20.749,0.155,0.0,2434,0.060,0.175,0.115,0.0,0.690,16.5,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,824,502,1940,1455,58,0,0.0,0.0,31.2,31.6,30.6,30.0,0,0,100,
6,0112,3/15/2022 7:28:20 AM ,3372,20.904,20.754,0.149,0.0,2456,0.057,0.172,0.115,0.0,0.728,15.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,475,212,796,483,29,0,0.0,0.0,31.0,31.6,30.5,30.0,0,0,100,
7,0112,3/15/2022 7:34:00 AM ,3303,20.904,20.758,0.146,0.1,2378,0.058,0.169,0.112,0.0,0.720,15.5,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,368,187,723,438,58,0,0.0,0.0,31.2,31.7,30.3,30.0,0,0,100,
8,0112,3/15/2022 7:39:40 AM ,3337,20.904,20.757,0.147,0.1,2376,0.057,0.169,0.111,0.0,0.712,15.7,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,552,330,1341,857,75,0,0.0,0.0,31.7,31.7,30.1,30.0,0,0,100,
9,0112,3/15/2022 7:45:20 AM ,3253,20.904,20.760,0.144,0.1,2382,0.056,0.168,0.112,0.0,0.732,15.3,0.902,75.00,STABLE / OPEN,0.00,0.00,0.108,0.108,607,314,1200,829,61,0,0.0,0.0,32.1,31.7,30.5,30.0,0,0,100,
10,0112,3/15/2022 7:51:00 AM ,3129,20.904,20.766,0.138,0.1,2214,0.056,0.160,0.104,0.1,0.708,14.7,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.108,273,107,707,404,16,0,0.0,0.0,32.1,31.7,30.6,30.0,0,0,100,
11,0112,3/15/2022 7:56:40 AM ,3097,20.904,20.768,0.136,0.1,2170,0.057,0.159,0.102,0.1,0.701,14.5,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.108,438,234,800,457,43,0,0.0,0.0,31.6,31.7,30.5,30.0,0,0,100,
12,0112,3/15/2022 8:02:20 AM ,3162,20.904,20.765,0.139,0.1,2209,0.056,0.160,0.104,0.1,0.699,14.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.108,422,197,1089,753,34,0,0.0,0.0,31.4,31.8,30.4,30.0,0,0,100,
13,0112,3/15/2022 8:08:00 AM ,2912,20.904,20.775,0.129,0.1,2079,0.054,0.152,0.098,0.1,0.714,13.7,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.108,207,95,692,351,5,0,0.0,0.0,31.5,31.8,30.2,30.0,0,0,100,
14,0112,3/15/2022 8:13:40 AM ,3170,20.904,20.764,0.140,0.1,2282,0.055,0.162,0.107,0.1,0.720,14.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.030,0.138,583,325,1376,961,136,0,0.0,0.0,32.0,31.8,30.1,30.0,0,0,100,
15,0112,3/15/2022 8:19:20 AM ,3082,20.904,20.768,0.136,0.1,2199,0.055,0.158,0.103,0.1,0.714,14.5,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.138,373,166,1188,772,18,0,0.0,0.0,31.4,31.8,30.3,30.0,0,0,100,
16,0112,3/15/2022 8:25:00 AM ,3055,20.904,20.770,0.134,0.1,2115,0.054,0.154,0.099,0.1,0.692,14.3,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.138,295,141,672,388,33,0,0.0,0.0,31.6,31.8,30.7,30.0,0,0,100,
17,0112,3/15/2022 8:30:40 AM ,2994,20.904,20.772,0.132,0.1,2086,0.054,0.152,0.098,0.1,0.697,14.0,0.902,75.00,STABLE / OPEN,0.00,0.00,0.057,0.195,362,193,653,338,31,0,0.0,0.0,31.9,31.8,30.5,30.0,0,0,100,
18,0112,3/15/2022 8:36:20 AM ,2975,20.904,20.773,0.131,0.1,2095,0.054,0.153,0.098,0.1,0.704,13.9,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.195,450,242,1063,682,110,0,0.0,0.0,31.5,31.8,30.4,30.0,0,0,100,
19,0112,3/15/2022 8:42:00 AM ,2821,20.904,20.780,0.124,0.1,1943,0.054,0.145,0.091,0.1,0.689,13.2,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.195,192,68,386,200,5,0,0.0,0.0,31.4,31.8,30.3,30.0,0,0,100,
20,0112,3/15/2022 8:47:40 AM ,2824,20.904,20.780,0.124,0.1,1958,0.054,0.146,0.092,0.1,0.693,13.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.195,471,244,1064,690,17,0,0.0,0.0,31.4,31.8,30.1,30.0,0,0,100,
21,0112,3/15/2022 8:53:20 AM ,2781,20.904,20.782,0.122,0.2,1924,0.055,0.145,0.090,0.1,0.692,13.0,0.902,75.00,STABLE / OPEN,0.00,0.00,0.150,0.345,252,124,610,373,15,0,0.0,0.0,31.5,31.8,30.2,30.0,0,0,100,
22,0112,3/15/2022 8:59:00 AM ,2803,20.904,20.781,0.123,0.2,1946,0.055,0.146,0.091,0.1,0.694,13.1,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,528,273,1273,815,82,0,0.0,0.0,31.4,31.9,30.6,30.0,0,0,100,
23,0112,3/15/2022 9:04:40 AM ,2851,20.904,20.779,0.125,0.2,1955,0.055,0.146,0.092,0.1,0.686,13.3,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,338,197,986,660,2,0,0.0,0.0,31.5,31.8,30.6,30.0,0,0,100,
24,0112,3/15/2022 9:10:20 AM ,2643,20.904,20.788,0.116,0.2,1839,0.054,0.140,0.086,0.1,0.696,12.3,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,157,17,213,61,0,0,0.0,0.0,31.6,31.8,30.4,30.0,0,0,100,
25,0112,3/15/2022 9:16:00 AM ,2471,20.904,20.795,0.109,0.2,1711,0.054,0.135,0.080,0.1,0.692,11.5,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,182,4,283,38,0,0,0.0,0.0,31.3,31.8,30.3,30.0,0,0,100,
26,0112,3/15/2022 9:21:40 AM ,2207,20.904,20.807,0.096,0.2,1465,0.054,0.123,0.069,0.1,0.664,10.2,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,165,4,105,17,0,0,0.0,0.0,31.1,31.8,30.1,30.0,0,0,100,
27,0112,3/15/2022 9:27:20 AM ,1825,20.904,20.824,0.080,0.2,1244,0.054,0.112,0.058,0.1,0.682,8.5,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,917,0,40,8,0,0,0.0,0.0,30.8,31.8,30.2,30.0,0,0,100,
28,0112,3/15/2022 9:33:00 AM ,1625,20.904,20.832,0.071,0.2,1111,0.052,0.105,0.052,0.1,0.684,7.6,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,1,1,106,7,0,0,0.0,0.0,30.8,31.8,30.7,30.0,0,0,100,
29,0112,3/15/2022 9:38:40 AM ,1537,20.904,20.837,0.067,0.2,1036,0.053,0.102,0.049,0.1,0.674,7.1,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,0,0,12,0,0,0,0.0,0.0,30.7,31.8,30.5,30.0,0,0,100,
30,0112,3/15/2022 9:44:20 AM ,1478,20.904,20.839,0.065,0.2,1011,0.053,0.100,0.047,0.1,0.684,6.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,5602,15,103,26,0,0,0.0,0.0,30.6,31.8,30.3,30.0,0,0,100,
31,0112,3/15/2022 9:50:00 AM ,1395,20.904,20.843,0.061,0.2,939,0.053,0.098,0.044,0.1,0.673,6.5,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,30,0,8,3,0,0,0.0,0.0,30.4,31.8,30.2,30.0,0,0,100,
32,0112,3/15/2022 9:55:40 AM ,1436,20.904,20.841,0.063,0.2,956,0.053,0.098,0.045,0.1,0.666,6.7,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,9,3,9,4,0,0,0.0,0.0,30.2,31.8,30.1,30.0,0,0,100,
33,0112,3/15/2022 10:01:20 AM ,1417,20.904,20.842,0.062,0.2,926,0.053,0.097,0.044,0.1,0.654,6.5,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,0,0,93,0,0,0,0.0,0.0,30.3,31.8,30.6,30.0,0,0,100,
34,0112,3/15/2022 10:07:00 AM ,1399,20.904,20.843,0.061,0.2,962,0.052,0.098,0.045,0.2,0.688,6.5,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,3,0,39,0,0,0,0.0,0.0,30.1,31.8,30.6,30.0,0,0,100,
35,0112,3/15/2022 10:12:40 AM ,1447,20.904,20.841,0.063,0.2,900,0.053,0.095,0.042,0.2,0.622,6.6,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,0,0,0,0,0,0,0.0,0.0,30.0,31.8,30.4,30.0,0,0,100,
36,0112,3/15/2022 10:18:20 AM ,1322,20.904,20.846,0.058,0.2,920,0.053,0.096,0.043,0.2,0.696,6.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.345,20,1,51,5,0,0,0.0,0.0,29.9,31.8,30.2,30.0,0,0,100,
37,0112,3/15/2022 10:24:00 AM ,1472,20.904,20.839,0.065,0.2,1022,0.052,0.100,0.048,0.2,0.694,6.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.050,0.395,73,19,168,43,0,0,0.0,0.0,30.0,31.8,30.1,30.0,0,0,100,
38,0112,3/15/2022 10:29:40 AM ,1994,20.904,20.816,0.088,0.2,1444,0.052,0.120,0.068,0.2,0.724,9.4,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.395,283,53,312,108,2,0,0.0,0.0,30.3,31.7,30.7,30.0,0,0,100,
39,0112,3/15/2022 10:35:20 AM ,1974,20.904,20.816,0.088,0.2,1450,0.051,0.119,0.068,0.2,0.734,9.3,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.395,156,21,189,34,0,0,0.0,0.0,30.2,31.7,30.5,30.0,0,0,100,
40,0112,3/15/2022 10:41:00 AM ,1689,20.904,20.829,0.074,0.2,1182,0.052,0.107,0.056,0.2,0.700,7.9,0.901,75.00,STABLE / OPEN,0.00,0.00,0.062,0.457,210,1,70,0,0,0,0.0,0.0,30.1,31.8,30.4,30.0,0,0,100,
41,0112,3/15/2022 10:46:40 AM ,1581,20.904,20.834,0.069,0.2,1083,0.051,0.102,0.051,0.2,0.685,7.4,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,98,0,278,2,0,0,0.0,0.0,29.8,31.8,30.2,30.0,0,0,100,
42,0112,3/15/2022 10:52:20 AM ,1495,20.904,20.838,0.065,0.2,1003,0.052,0.099,0.047,0.2,0.671,6.9,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,29,1,8,2,0,0,0.0,0.0,29.8,31.8,30.0,30.0,0,0,100,
43,0112,3/15/2022 10:58:00 AM ,1446,20.904,20.841,0.063,0.3,960,0.051,0.096,0.045,0.2,0.664,6.7,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,3,0,73,0,0,0,0.0,0.0,29.6,31.8,30.5,30.0,0,0,100,
44,0112,3/15/2022 11:03:40 AM ,1462,20.904,20.840,0.064,0.3,976,0.052,0.098,0.046,0.2,0.668,6.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,65,2,135,38,0,0,0.0,0.0,29.6,31.8,30.6,30.0,0,0,100,
45,0112,3/15/2022 11:09:20 AM ,1419,20.904,20.842,0.062,0.3,955,0.052,0.096,0.045,0.2,0.673,6.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,40,1,4,1,0,0,0.0,0.0,29.5,31.8,30.5,30.0,0,0,100,
46,0112,3/15/2022 11:15:00 AM ,1387,20.904,20.843,0.061,0.3,956,0.051,0.096,0.045,0.2,0.689,6.5,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,52,0,58,3,0,0,0.0,0.0,29.3,31.8,30.3,30.0,0,0,100,
47,0112,3/15/2022 11:20:40 AM ,1398,20.904,20.843,0.061,0.3,941,0.052,0.096,0.044,0.2,0.673,6.5,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,0,0,64,0,0,0,0.0,0.0,29.4,31.8,30.1,30.0,0,0,100,
48,0112,3/15/2022 11:26:20 AM ,1429,20.904,20.842,0.062,0.3,929,0.052,0.096,0.044,0.2,0.650,6.6,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,25,3,140,6,0,0,0.0,0.0,29.3,31.8,30.1,30.0,0,0,100,
49,0112,3/15/2022 11:32:00 AM ,1527,20.904,20.837,0.067,0.3,1055,0.052,0.101,0.050,0.2,0.691,7.1,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,68,4,108,9,0,0,0.0,0.0,29.3,31.8,30.7,30.0,0,0,100,
50,0112,3/15/2022 11:37:40 AM ,1507,20.904,20.838,0.066,0.3,1003,0.052,0.099,0.047,0.2,0.665,7.0,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,407,2,3,1,0,0,0.0,0.0,29.2,31.8,30.6,30.0,0,0,100,
51,0112,3/15/2022 11:43:20 AM ,1432,20.904,20.841,0.062,0.3,946,0.052,0.096,0.044,0.2,0.661,6.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,1119,1,0,0,0,0,0.0,0.0,29.1,31.8,30.4,30.0,0,0,100,
52,0112,3/15/2022 11:49:00 AM ,1931,20.904,20.819,0.085,0.3,1346,0.052,0.116,0.063,0.2,0.697,9.0,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.457,160,22,342,69,0,0,0.0,0.0,29.5,31.8,30.3,30.0,0,0,100,
53,0112,3/15/2022 11:54:40 AM ,1916,20.904,20.820,0.084,0.3,1307,0.051,0.113,0.061,0.2,0.682,8.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.065,0.521,3941,29,128,83,1,0,0.0,0.0,29.2,31.8,30.1,30.0,0,0,100,
54,0112,3/15/2022 12:00:20 PM ,1631,20.904,20.832,0.072,0.3,1140,0.052,0.105,0.054,0.2,0.699,7.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.521,4869,2,10,1,0,0,0.0,0.0,29.1,31.8,30.2,30.0,0,0,100,
