CLAMS,Ear tag,Genotype,Sex,Weight,Fat mass,Lean mass,Condition,Age,filename
1,8wks-1,B6,Male,29,1.15,26.27,Pre,8wks,2022-03-25 B6 Temp Decline 15c.0101.CSV
2,16wks-1,B6,Male,28.4,1.14,26.15,Pre,16wks,2022-03-25 B6 Temp Decline 15c.0102.CSV
3,16wks-2,B6,Male,28,1.12,25.15,Pre,16wks,2022-03-25 B6 Temp Decline 15c.0103.CSV
4,8wks-2,B6,Male,27.6,1.45,24.41,Pre,8wks,2022-03-25 B6 Temp Decline 15c.0104.CSV
5,16wks-3,B6,Male,32,1.56,28.43,Pre,16wks,2022-03-25 B6 Temp Decline 15c.0105.CSV
6,8wks-3,B6,Male,25.8,1.51,23.27,Pre,8wks,2022-03-25 B6 Temp Decline 15c.0106.CSV
7,16wks-4,B6,Male,29,2.31,25.55,Pre,16wks,2022-03-25 B6 Temp Decline 15c.0107.CSV
8,8wks-4,B6,Male,25.8,1.72,22.94,Pre,8wks,2022-03-25 B6 Temp Decline 15c.0108.CSV
9,8wks-1,B6,Female,18.7,1.19,16.2,Pre,8wks,2022-03-25 B6 Temp Decline 15c.0109.CSV
10,16wks-1,B6,Female,21.2,2,17.79,Pre,16wks,2022-03-25 B6 Temp Decline 15c.0110.CSV
11,8wks-2,B6,Female,20,1.3,17.36,Pre,8wks,2022-03-25 B6 Temp Decline 15c.0111.CSV
12,16wks-2,B6,Female,22.3,1.64,19.42,Pre,16wks,2022-03-25 B6 Temp Decline 15c.0112.CSV
13,16wks-3,B6,Female,22,2,18.49,Pre,16wks,2022-03-25 B6 Temp Decline 15c.0113.CSV
14,8wks-3,B6,Female,19.1,2.43,15.47,Pre,8wks,2022-03-25 B6 Temp Decline 15c.0114.CSV
15,8wks-4,B6,Female,18.7,1.28,16.11,Pre,8wks,2022-03-25 B6 Temp Decline 15c.0115.CSV
16,16wks-4,B6,Female,22.5,1.87,19.08,Pre,16wks,2022-03-25 B6 Temp Decline 15c.0116.CSV
1,8wks-1,B6,Male,29.5,1.28,26.7,Post,8wks,2022-03-25 B6 Temp Decline 15c.0101.CSV
2,16wks-1,B6,Male,28.5,1.16,26.16,Post,16wks,2022-03-25 B6 Temp Decline 15c.0102.CSV
3,16wks-2,B6,Male,28,1.48,24.97,Post,16wks,2022-03-25 B6 Temp Decline 15c.0103.CSV
4,8wks-2,B6,Male,27.1,1.62,24.29,Post,8wks,2022-03-25 B6 Temp Decline 15c.0104.CSV
5,16wks-3,B6,Male,31.4,1.63,28.06,Post,16wks,2022-03-25 B6 Temp Decline 15c.0105.CSV
6,8wks-3,B6,Male,25.6,1.44,23.03,Post,8wks,2022-03-25 B6 Temp Decline 15c.0106.CSV
7,16wks-4,B6,Male,28.8,2.16,25.53,Post,16wks,2022-03-25 B6 Temp Decline 15c.0107.CSV
8,8wks-4,B6,Male,26.2,1.88,23.31,Post,8wks,2022-03-25 B6 Temp Decline 15c.0108.CSV
9,8wks-1,B6,Female,18.7,1.16,16.48,Post,8wks,2022-03-25 B6 Temp Decline 15c.0109.CSV
10,16wks-1,B6,Female,21.2,1.86,18.23,Post,16wks,2022-03-25 B6 Temp Decline 15c.0110.CSV
11,8wks-2,B6,Female,20.4,1.41,17.93,Post,8wks,2022-03-25 B6 Temp Decline 15c.0111.CSV
12,16wks-2,B6,Female,22.8,1.84,19.61,Post,16wks,2022-03-25 B6 Temp Decline 15c.0112.CSV
13,16wks-3,B6,Female,22.2,1.94,19.15,Post,16wks,2022-03-25 B6 Temp Decline 15c.0113.CSV
14,8wks-3,B6,Female,19.1,2.52,15.72,Post,8wks,2022-03-25 B6 Temp Decline 15c.0114.CSV
15,8wks-4,B6,Female,18.5,1.28,16.15,Post,8wks,2022-03-25 B6 Temp Decline 15c.0115.CSV
16,16wks-4,B6,Female,23.1,2.05,19.81,Post,16wks,2022-03-25 B6 Temp Decline 15c.0116.CSV
