CLAMS,Ear tag,Genotype,Sex,Weight,Fat mass,Lean mass,Condition,filename
1,8wks-1,B6,Male,29.3,1.01,26.3,Pre,2022-03-24 B6 Temp Decline 20c.0101.CSV
2,16wks-1,B6,Male,28.9,1.27,25.94,Pre,2022-03-24 B6 Temp Decline 20c.0102.CSV
3,16wks-2,B6,Male,28.2,1.19,25.26,Pre,2022-03-24 B6 Temp Decline 20c.0103.CSV
4,8wks-2,B6,Male,27.4,1.36,24.77,Pre,2022-03-24 B6 Temp Decline 20c.0104.CSV
5,16wks-3,B6,Male,32.2,1.65,28.39,Pre,2022-03-24 B6 Temp Decline 20c.0105.CSV
6,8wks-3,B6,Male,26.7,2.01,23.17,Pre,2022-03-24 B6 Temp Decline 20c.0106.CSV
7,16wks-4,B6,Male,29.3,2.61,25.51,Pre,2022-03-24 B6 Temp Decline 20c.0107.CSV
8,8wks-4,B6,Male,26.6,1.91,23.04,Pre,2022-03-24 B6 Temp Decline 20c.0108.CSV
9,8wks-1,B6,Female,18.9,1.27,16.01,Pre,2022-03-24 B6 Temp Decline 20c.0109.CSV
10,16wks-1,B6,Female,21.2,2.16,17.74,Pre,2022-03-24 B6 Temp Decline 20c.0110.CSV
11,8wks-2,B6,Female,19.5,1.48,16.47,Pre,2022-03-24 B6 Temp Decline 20c.0111.CSV
12,16wks-2,B6,Female,22,1.52,18.99,Pre,2022-03-24 B6 Temp Decline 20c.0112.CSV
13,16wks-3,B6,Female,22.21,2.23,18.45,Pre,2022-03-24 B6 Temp Decline 20c.0113.CSV
14,8wks-3,B6,Female,18.6,2.29,14.96,Pre,2022-03-24 B6 Temp Decline 20c.0114.CSV
15,8wks-4,B6,Female,18.3,1.33,15.74,Pre,2022-03-24 B6 Temp Decline 20c.0115.CSV
16,16wks-4,B6,Female,22.6,2,18.69,Pre,2022-03-24 B6 Temp Decline 20c.0116.CSV
1,8wks-1,B6,Male,29,1.15,26.27,Post,2022-03-24 B6 Temp Decline 20c.0101.CSV
2,16wks-1,B6,Male,28.4,1.14,26.15,Post,2022-03-24 B6 Temp Decline 20c.0102.CSV
3,16wks-2,B6,Male,28,1.12,25.15,Post,2022-03-24 B6 Temp Decline 20c.0103.CSV
4,8wks-2,B6,Male,27.6,1.45,24.41,Post,2022-03-24 B6 Temp Decline 20c.0104.CSV
5,16wks-3,B6,Male,32,1.56,28.43,Post,2022-03-24 B6 Temp Decline 20c.0105.CSV
6,8wks-3,B6,Male,25.8,1.51,23.27,Post,2022-03-24 B6 Temp Decline 20c.0106.CSV
7,16wks-4,B6,Male,29,2.31,25.55,Post,2022-03-24 B6 Temp Decline 20c.0107.CSV
8,8wks-4,B6,Male,25.8,1.72,22.94,Post,2022-03-24 B6 Temp Decline 20c.0108.CSV
9,8wks-1,B6,Female,18.7,1.19,16.2,Post,2022-03-24 B6 Temp Decline 20c.0109.CSV
10,16wks-1,B6,Female,21.2,2,17.79,Post,2022-03-24 B6 Temp Decline 20c.0110.CSV
11,8wks-2,B6,Female,20,1.3,17.36,Post,2022-03-24 B6 Temp Decline 20c.0111.CSV
12,16wks-2,B6,Female,22.3,1.64,19.42,Post,2022-03-24 B6 Temp Decline 20c.0112.CSV
13,16wks-3,B6,Female,22,2,18.49,Post,2022-03-24 B6 Temp Decline 20c.0113.CSV
14,8wks-3,B6,Female,19.1,2.43,15.47,Post,2022-03-24 B6 Temp Decline 20c.0114.CSV
15,8wks-4,B6,Female,18.7,1.28,16.11,Post,2022-03-24 B6 Temp Decline 20c.0115.CSV
16,16wks-4,B6,Female,22.5,1.87,19.08,Post,2022-03-24 B6 Temp Decline 20c.0116.CSV
