CLAMS,Ear tag,Genotype,Sex,Weight,Fat mass,Lean mass,Condition,Age,filename
1,8wks-1,B6,Male,29.9,1.15,26.89,Pre,8wks,2022-03-22 B6 Temp Decline 30c.0101.CSV
2,16wks-1,B6,Male,29.4,1.27,26.05,Pre,16wks,2022-03-22 B6 Temp Decline 30c.0102.CSV
3,16wks-2,B6,Male,27.7,1.15,25.02,Pre,16wks,2022-03-22 B6 Temp Decline 30c.0103.CSV
4,8wks-2,B6,Male,27.1,0.87,24.51,Pre,8wks,2022-03-22 B6 Temp Decline 30c.0104.CSV
5,16wks-3,B6,Male,31.8,1.65,28.03,Pre,16wks,2022-03-22 B6 Temp Decline 30c.0105.CSV
6,8wks-3,B6,Male,26.4,2.17,22.93,Pre,8wks,2022-03-22 B6 Temp Decline 30c.0106.CSV
7,16wks-4,B6,Male,30.8,3.16,26.26,Pre,16wks,2022-03-22 B6 Temp Decline 30c.0107.CSV
8,8wks-4,B6,Male,27.3,2.06,23.7,Pre,8wks,2022-03-22 B6 Temp Decline 30c.0108.CSV
9,8wks-1,B6,Female,19.3,1.55,16.15,Pre,8wks,2022-03-22 B6 Temp Decline 30c.0109.CSV
10,16wks-1,B6,Female,21.6,2.6,17.4,Pre,16wks,2022-03-22 B6 Temp Decline 30c.0110.CSV
11,8wks-2,B6,Female,20.4,1.96,16.82,Pre,8wks,2022-03-22 B6 Temp Decline 30c.0111.CSV
12,16wks-2,B6,Female,22.7,2.05,18.85,Pre,16wks,2022-03-22 B6 Temp Decline 30c.0112.CSV
13,16wks-3,B6,Female,22.3,2.73,17.82,Pre,16wks,2022-03-22 B6 Temp Decline 30c.0113.CSV
14,8wks-3,B6,Female,18.7,2.5,14.86,Pre,8wks,2022-03-22 B6 Temp Decline 30c.0114.CSV
15,8wks-4,B6,Female,17.5,1.31,14.73,Pre,8wks,2022-03-22 B6 Temp Decline 30c.0115.CSV
16,16wks-4,B6,Female,23,2.47,18.75,Pre,16wks,2022-03-22 B6 Temp Decline 30c.0116.CSV
