Oxymax CSV File 

CSV Generation Date,3/23/2022 6:30:41 AM 
Experiment Started,3/22/2022 7:10:23 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-22 B6 Temp Decline 30c.CDTA

Group/Cage,0109
O2 Calibration Date,3/22/2022 6:46:00 AM
CO2 Calibration Date,3/22/2022 6:46:00 AM
Subject ID,F8-1
Subject Mass (G), 19.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0109,3/22/2022 7:13:58 AM ,4537,20.902,20.748,0.154,0.0,3355,0.057,0.177,0.121,0.0,0.739,21.4,0.896,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,451,319,641,440,64,0,0.0,0.0,46.9,30.8,30.4,30.0,0,0,100,
2,0109,3/22/2022 7:19:38 AM ,4749,20.902,20.743,0.159,0.0,3170,0.059,0.173,0.114,0.0,0.668,22.0,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1009,683,1298,890,92,0,0.0,0.0,46.3,30.8,30.6,30.0,0,0,100,
3,0109,3/22/2022 7:25:18 AM ,4932,20.902,20.737,0.164,0.0,3235,0.057,0.174,0.116,0.0,0.656,22.8,0.895,75.00,STABLE / OPEN,0.00,0.00,8.472,8.472,810,554,988,665,121,0,0.0,0.0,46.3,30.8,30.4,30.0,0,0,100,
4,0109,3/22/2022 7:30:58 AM ,4961,20.902,20.736,0.165,0.0,3267,0.057,0.174,0.117,0.0,0.658,23.0,0.896,75.00,UNSTABLE / OPEN,0.00,0.00,3.337,11.808,789,517,1161,650,52,0,0.0,0.0,46.9,30.9,30.5,30.0,0,0,100,
5,0109,3/22/2022 7:36:38 AM ,5010,20.902,20.735,0.167,0.0,3321,0.054,0.174,0.119,0.0,0.663,23.2,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,11.808,726,485,891,615,103,0,0.0,0.0,46.2,30.9,30.6,30.0,0,0,100,
6,0109,3/22/2022 7:42:18 AM ,4787,20.902,20.740,0.162,0.0,3467,0.054,0.179,0.125,0.0,0.724,22.5,0.896,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,11.808,924,609,846,557,67,0,0.0,0.0,46.3,30.9,30.7,30.0,0,0,100,
7,0109,3/22/2022 7:47:58 AM ,4690,20.902,20.743,0.159,0.1,3358,0.053,0.174,0.121,0.0,0.716,22.0,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,11.808,812,527,1032,716,94,0,0.0,0.0,45.7,30.8,30.5,30.0,0,0,100,
8,0109,3/22/2022 7:53:38 AM ,4307,20.902,20.756,0.146,0.1,3190,0.053,0.167,0.115,0.0,0.741,20.4,0.896,75.00,STABLE / OPEN,0.00,0.00,0.000,11.808,365,219,439,239,5,0,0.0,0.0,46.0,30.8,30.2,30.0,0,0,100,
9,0109,3/22/2022 7:59:18 AM ,4224,20.902,20.759,0.143,0.1,3068,0.051,0.162,0.110,0.0,0.726,19.9,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,11.808,423,239,525,330,39,0,0.0,0.0,47.0,30.8,30.1,30.0,0,0,100,
10,0109,3/22/2022 8:04:58 AM ,4153,20.902,20.760,0.142,0.1,3153,0.052,0.165,0.113,0.1,0.759,19.7,0.895,75.00,UNSTABLE / OPEN,0.04,0.04,0.000,11.808,1003,674,1130,791,59,0,0.0,0.0,46.3,30.8,30.7,30.0,0,0,100,
11,0109,3/22/2022 8:10:38 AM ,3973,20.902,20.766,0.136,0.1,3105,0.052,0.164,0.112,0.1,0.782,19.0,0.895,75.00,UNSTABLE / OPEN,0.00,0.04,0.000,11.808,683,427,1019,611,67,0,0.0,0.0,46.1,30.7,30.4,30.0,0,0,100,
12,0109,3/22/2022 8:16:18 AM ,4039,20.902,20.764,0.138,0.1,3143,0.051,0.164,0.113,0.1,0.778,19.3,0.895,75.00,UNSTABLE / OPEN,0.06,0.10,0.000,11.808,405,208,569,267,62,0,0.0,0.0,45.7,30.7,30.3,30.0,0,0,100,
13,0109,3/22/2022 8:21:58 AM ,3887,20.902,20.769,0.133,0.1,2982,0.051,0.158,0.107,0.1,0.767,18.5,0.895,75.00,STABLE / OPEN,0.00,0.10,0.000,11.808,509,288,850,376,18,0,0.0,0.0,45.5,30.7,30.1,30.0,0,0,100,
14,0109,3/22/2022 8:27:38 AM ,3888,20.902,20.768,0.134,0.1,3135,0.049,0.162,0.113,0.1,0.806,18.7,0.895,75.00,STABLE / OPEN,0.00,0.10,0.000,11.808,715,477,814,535,52,0,0.0,0.0,45.9,30.7,30.6,30.0,0,0,100,
15,0109,3/22/2022 8:33:18 AM ,3844,20.902,20.770,0.132,0.1,3081,0.051,0.162,0.111,0.1,0.801,18.5,0.895,75.00,STABLE / OPEN,0.00,0.10,0.000,11.808,699,422,808,459,13,0,0.0,0.0,45.9,30.6,30.5,30.0,0,0,100,
16,0109,3/22/2022 8:38:58 AM ,3746,20.902,20.772,0.130,0.1,3074,0.050,0.161,0.110,0.1,0.821,18.1,0.895,75.00,STABLE / OPEN,0.00,0.10,0.000,11.808,614,320,811,461,21,0,0.0,0.0,45.6,30.6,30.2,30.0,0,0,100,
17,0109,3/22/2022 8:44:38 AM ,3738,20.902,20.772,0.129,0.1,3098,0.049,0.160,0.111,0.1,0.829,18.1,0.896,75.00,UNSTABLE / OPEN,0.10,0.20,0.000,11.808,609,396,1091,629,18,0,0.0,0.0,46.4,30.7,30.1,30.0,0,0,100,
18,0109,3/22/2022 8:50:18 AM ,3656,20.902,20.776,0.126,0.1,2963,0.050,0.156,0.106,0.1,0.810,17.6,0.896,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,11.808,481,268,560,357,53,0,0.0,0.0,45.7,30.6,30.7,30.0,0,0,100,
19,0109,3/22/2022 8:55:58 AM ,3592,20.902,20.778,0.124,0.1,2851,0.050,0.152,0.102,0.1,0.794,17.2,0.895,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,11.808,494,269,732,412,31,0,0.0,0.0,45.3,30.6,30.5,30.0,0,0,100,
20,0109,3/22/2022 9:01:38 AM ,3465,20.902,20.782,0.120,0.1,2857,0.050,0.152,0.103,0.1,0.824,16.7,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,440,122,414,203,9,0,0.0,0.0,45.4,30.6,30.3,30.0,0,0,100,
21,0109,3/22/2022 9:07:18 AM ,3279,20.902,20.789,0.113,0.2,2681,0.050,0.147,0.096,0.1,0.818,15.8,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,284,96,358,91,2,0,0.0,0.0,45.6,30.6,30.1,30.0,0,0,100,
22,0109,3/22/2022 9:12:58 AM ,2862,20.902,20.804,0.098,0.2,2258,0.050,0.131,0.081,0.1,0.789,13.7,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,43,0,20,3,0,0,0.0,0.0,45.1,30.6,30.5,30.0,0,0,100,
23,0109,3/22/2022 9:18:38 AM ,2545,20.902,20.815,0.087,0.2,1989,0.049,0.121,0.072,0.1,0.781,12.2,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,31,0,25,1,0,0,0.0,0.0,44.9,30.6,30.5,30.0,0,0,100,
24,0109,3/22/2022 9:24:18 AM ,2274,20.902,20.824,0.078,0.2,1731,0.050,0.112,0.062,0.1,0.761,10.8,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,9,0,9,0,0,0,0.0,0.0,44.7,30.5,30.3,30.0,0,0,100,
25,0109,3/22/2022 9:29:58 AM ,2182,20.902,20.827,0.075,0.2,1679,0.050,0.110,0.060,0.1,0.770,10.4,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,4,0,21,0,0,0,0.0,0.0,44.6,30.6,30.1,30.0,0,0,100,
26,0109,3/22/2022 9:35:38 AM ,2046,20.902,20.832,0.070,0.2,1585,0.050,0.107,0.057,0.1,0.775,9.8,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,146,11,32,0,0,0,0.0,0.0,44.5,30.6,30.5,30.0,0,0,100,
27,0109,3/22/2022 9:41:18 AM ,2007,20.902,20.833,0.069,0.2,1559,0.049,0.105,0.056,0.1,0.777,9.6,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,157,8,29,2,0,0,0.0,0.0,44.5,30.5,30.6,30.0,0,0,100,
28,0109,3/22/2022 9:46:58 AM ,2000,20.902,20.834,0.068,0.2,1487,0.050,0.103,0.053,0.1,0.744,9.5,0.896,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,93,10,5,1,0,0,0.0,0.0,44.2,30.5,30.4,30.0,0,0,100,
29,0109,3/22/2022 9:52:38 AM ,1889,20.902,20.837,0.065,0.2,1451,0.049,0.102,0.052,0.1,0.768,9.0,0.895,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,33,6,19,3,0,0,0.0,0.0,44.4,30.5,30.2,30.0,0,0,100,
30,0109,3/22/2022 9:58:18 AM ,1900,20.902,20.838,0.064,0.2,1361,0.050,0.099,0.049,0.1,0.716,8.9,0.893,75.00,STABLE / OPEN,0.00,0.20,0.000,11.808,0,0,12,0,0,0,0.0,0.0,44.2,30.6,30.3,30.0,0,0,100,
31,0109,3/22/2022 10:03:58 AM ,2626,20.902,20.812,0.090,0.2,2092,0.050,0.125,0.075,0.1,0.797,12.6,0.896,75.00,UNSTABLE / OPEN,0.09,0.30,0.000,11.808,271,110,257,71,17,0,0.0,0.0,44.6,30.5,30.7,30.0,0,0,100,
32,0109,3/22/2022 10:09:38 AM ,3305,20.902,20.788,0.114,0.2,2641,0.050,0.145,0.095,0.2,0.799,15.9,0.895,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,549,347,607,301,87,0,0.0,0.0,44.2,30.5,30.4,30.0,0,0,100,
33,0109,3/22/2022 10:15:18 AM ,3513,20.902,20.781,0.121,0.2,2847,0.050,0.152,0.102,0.2,0.810,16.9,0.896,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,499,271,528,297,89,0,0.0,0.0,44.3,30.5,30.2,30.0,0,0,100,
34,0109,3/22/2022 10:20:58 AM ,3574,20.902,20.779,0.123,0.2,2909,0.050,0.154,0.105,0.2,0.814,17.2,0.895,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,485,261,766,377,51,0,0.0,0.0,44.8,30.6,30.1,30.0,0,0,100,
35,0109,3/22/2022 10:26:38 AM ,3029,20.902,20.798,0.104,0.2,2397,0.050,0.136,0.086,0.2,0.791,14.5,0.896,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,24,3,145,20,0,0,0.0,0.0,44.3,30.6,30.7,30.0,0,0,100,
36,0109,3/22/2022 10:32:18 AM ,2705,20.902,20.809,0.093,0.2,2126,0.048,0.125,0.076,0.2,0.786,12.9,0.896,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,13,0,28,2,0,0,0.0,0.0,44.4,30.5,30.5,30.0,0,0,100,
37,0109,3/22/2022 10:37:58 AM ,2330,20.902,20.822,0.080,0.2,1820,0.050,0.115,0.065,0.2,0.781,11.1,0.894,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,0,0,12,2,0,0,0.0,0.0,43.9,30.5,30.3,30.0,0,0,100,
38,0109,3/22/2022 10:43:38 AM ,2092,20.902,20.830,0.072,0.2,1650,0.050,0.109,0.059,0.2,0.789,10.0,0.895,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,0,0,0,0,0,0,0.0,0.0,43.8,30.6,30.1,30.0,0,0,100,
39,0109,3/22/2022 10:49:18 AM ,1986,20.902,20.834,0.068,0.2,1535,0.048,0.104,0.055,0.2,0.773,9.5,0.896,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,0,0,1,1,0,0,0.0,0.0,43.9,30.6,30.6,30.0,0,0,100,
40,0109,3/22/2022 10:54:58 AM ,1972,20.902,20.835,0.067,0.2,1519,0.049,0.104,0.055,0.2,0.770,9.4,0.896,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,5,1,38,9,0,0,0.0,0.0,43.7,30.5,30.6,30.0,0,0,100,
41,0109,3/22/2022 11:00:38 AM ,1923,20.902,20.836,0.066,0.2,1463,0.049,0.102,0.053,0.2,0.761,9.1,0.896,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,49,0,110,3,0,0,0.0,0.0,43.6,30.5,30.3,30.0,0,0,100,
42,0109,3/22/2022 11:06:18 AM ,1873,20.902,20.838,0.064,0.2,1410,0.049,0.100,0.051,0.2,0.753,8.9,0.895,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,19,0,113,3,0,0,0.0,0.0,43.4,30.6,30.1,30.0,0,0,100,
43,0109,3/22/2022 11:11:58 AM ,1938,20.902,20.836,0.066,0.2,1411,0.049,0.100,0.051,0.2,0.728,9.1,0.895,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,9,0,227,3,0,0,0.0,0.0,43.5,30.5,30.5,30.0,0,0,100,
44,0109,3/22/2022 11:17:38 AM ,1807,20.902,20.840,0.062,0.3,1353,0.049,0.097,0.049,0.2,0.749,8.6,0.895,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,0,0,42,1,0,0,0.0,0.0,43.3,30.5,30.6,30.0,0,0,100,
45,0109,3/22/2022 11:23:18 AM ,1803,20.902,20.840,0.062,0.3,1379,0.050,0.099,0.050,0.2,0.764,8.6,0.894,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,0,0,13,0,0,0,0.0,0.0,43.1,30.5,30.3,30.0,0,0,100,
46,0109,3/22/2022 11:28:58 AM ,1769,20.902,20.841,0.061,0.3,1392,0.050,0.100,0.050,0.2,0.787,8.5,0.896,75.00,STABLE / OPEN,0.00,0.30,0.000,11.808,3,1,25,8,0,0,0.0,0.0,42.9,30.6,30.0,30.0,0,0,100,
47,0109,3/22/2022 11:34:38 AM ,2659,20.902,20.811,0.091,0.3,2090,0.050,0.126,0.075,0.2,0.786,12.7,0.895,75.00,STABLE / OPEN,0.16,0.46,0.000,11.808,263,84,320,128,13,0,0.0,0.0,43.4,30.5,30.4,30.0,0,0,100,
48,0109,3/22/2022 11:40:18 AM ,2306,20.902,20.823,0.079,0.3,1816,0.048,0.114,0.065,0.2,0.788,11.0,0.895,75.00,STABLE / OPEN,0.00,0.46,0.000,11.808,8,0,21,0,0,0,0.0,0.0,43.2,30.5,30.6,30.0,0,0,100,
49,0109,3/22/2022 11:45:58 AM ,2077,20.902,20.831,0.071,0.3,1636,0.050,0.108,0.059,0.2,0.788,9.9,0.895,75.00,STABLE / OPEN,0.00,0.46,0.000,11.808,5,0,25,0,0,0,0.0,0.0,42.6,30.5,30.3,30.0,0,0,100,
50,0109,3/22/2022 11:51:38 AM ,1948,20.902,20.835,0.067,0.3,1523,0.049,0.104,0.055,0.2,0.782,9.3,0.895,75.00,STABLE / OPEN,0.00,0.46,0.000,11.808,1,0,11,0,0,0,0.0,0.0,42.9,30.6,30.1,30.0,0,0,100,
51,0109,3/22/2022 11:57:18 AM ,1787,20.902,20.841,0.061,0.3,1401,0.050,0.100,0.050,0.2,0.784,8.5,0.895,75.00,STABLE / OPEN,0.00,0.46,0.000,11.808,1,0,0,0,0,0,0.0,0.0,42.9,30.5,30.4,30.0,0,0,100,
52,0109,3/22/2022 12:02:58 PM ,1855,20.902,20.838,0.064,0.3,1510,0.048,0.103,0.054,0.2,0.814,8.9,0.895,75.00,STABLE / OPEN,0.00,0.46,0.000,11.808,20,0,22,3,0,0,0.0,0.0,42.7,30.5,30.6,30.0,0,0,100,
53,0109,3/22/2022 12:08:38 PM ,1830,20.902,20.839,0.063,0.3,1469,0.048,0.101,0.053,0.2,0.803,8.8,0.895,75.00,STABLE / OPEN,0.00,0.46,0.000,11.808,3,1,19,6,0,0,0.0,0.0,42.4,30.5,30.4,30.0,0,0,100,
