Oxymax CSV File 

CSV Generation Date,3/24/2022 6:30:25 AM 
Experiment Started,3/23/2022 7:09:44 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-23 B6 Temp Decline 25c.CDTA

Group/Cage,0107
O2 Calibration Date,3/22/2022 6:46:00 AM
CO2 Calibration Date,3/22/2022 6:46:00 AM
Subject ID,16-4
Subject Mass (G), 29.9 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,3/23/2022 7:12:28 AM ,3625,20.902,20.712,0.190,0.0,2693,0.058,0.207,0.149,0.0,0.743,17.1,0.902,75.00,STABLE / OPEN,0.04,0.04,0.000,0.000,193,40,285,140,17,0,0.0,0.0,36.2,30.7,30.0,27.6,0,0,100,
2,0107,3/23/2022 7:18:08 AM ,3654,20.902,20.710,0.192,0.0,2744,0.061,0.213,0.152,0.0,0.751,17.3,0.901,75.00,STABLE / OPEN,0.00,0.04,0.000,0.000,242,44,915,239,3,0,0.0,0.0,36.5,30.6,28.3,25.0,0,0,100,
3,0107,3/23/2022 7:23:48 AM ,3570,20.902,20.717,0.185,0.0,2539,0.060,0.201,0.140,0.0,0.711,16.7,0.901,75.00,STABLE / OPEN,0.00,0.04,0.045,0.045,166,13,402,52,2,0,0.0,0.0,37.1,30.1,26.8,25.0,0,0,100,
4,0107,3/23/2022 7:29:28 AM ,3427,20.902,20.724,0.178,0.0,2466,0.060,0.197,0.136,0.0,0.720,16.1,0.902,75.00,UNSTABLE / OPEN,0.00,0.04,0.000,0.045,337,13,516,73,3,0,0.0,0.0,37.8,29.2,25.4,25.0,0,0,100,
5,0107,3/23/2022 7:35:08 AM ,3169,20.902,20.738,0.164,0.0,2259,0.058,0.183,0.125,0.0,0.713,14.9,0.902,75.00,STABLE / OPEN,0.12,0.16,0.000,0.045,149,62,314,141,34,0,0.0,0.0,37.8,28.4,25.2,25.0,0,0,100,
6,0107,3/23/2022 7:40:48 AM ,2480,20.902,20.772,0.130,0.0,1853,0.057,0.160,0.102,0.0,0.747,11.7,0.901,75.00,STABLE / OPEN,0.00,0.16,0.000,0.045,24,0,0,0,0,0,0.0,0.0,37.4,27.9,25.2,25.0,0,0,100,
7,0107,3/23/2022 7:46:28 AM ,2203,20.902,20.786,0.116,0.1,1673,0.056,0.149,0.093,0.0,0.759,10.5,0.901,75.00,STABLE / OPEN,0.00,0.16,0.000,0.045,21,0,93,1,0,0,0.0,0.0,37.2,27.5,25.2,25.0,0,0,100,
8,0107,3/23/2022 7:52:08 AM ,2434,20.902,20.774,0.128,0.1,1839,0.056,0.158,0.102,0.0,0.756,11.6,0.901,75.00,STABLE / OPEN,0.08,0.24,0.579,0.623,136,30,117,67,35,0,0.0,0.0,37.2,27.1,25.1,25.0,0,0,100,
9,0107,3/23/2022 7:57:48 AM ,2645,20.902,20.762,0.140,0.1,2067,0.055,0.169,0.114,0.1,0.782,12.6,0.900,75.00,STABLE / OPEN,0.00,0.24,0.000,0.623,96,2,515,61,0,0,0.0,0.0,37.6,26.9,25.1,25.0,0,0,100,
10,0107,3/23/2022 8:03:28 AM ,3058,20.902,20.742,0.160,0.1,2273,0.055,0.181,0.126,0.1,0.743,14.5,0.901,75.00,STABLE / OPEN,0.00,0.24,0.000,0.623,199,36,501,88,10,0,0.0,0.0,37.9,26.8,25.1,25.0,0,0,100,
11,0107,3/23/2022 8:09:08 AM ,2620,20.902,20.764,0.138,0.1,2009,0.054,0.165,0.111,0.1,0.767,12.5,0.901,75.00,STABLE / OPEN,0.00,0.24,0.000,0.623,38,0,147,17,0,0,0.0,0.0,36.8,26.6,25.1,25.0,0,0,100,
12,0107,3/23/2022 8:14:48 AM ,2181,20.902,20.787,0.115,0.1,1658,0.052,0.144,0.092,0.1,0.760,10.4,0.900,75.00,STABLE / OPEN,0.00,0.24,0.000,0.623,3,0,15,3,0,0,0.0,0.0,36.5,26.5,25.2,25.0,0,0,100,
13,0107,3/23/2022 8:20:28 AM ,1904,20.902,20.802,0.100,0.1,1431,0.053,0.132,0.079,0.1,0.752,9.0,0.902,75.00,STABLE / OPEN,0.00,0.24,0.000,0.623,0,0,12,0,0,0,0.0,0.0,36.3,26.4,25.2,25.0,0,0,100,
14,0107,3/23/2022 8:26:08 AM ,1877,20.902,20.803,0.099,0.1,1455,0.053,0.133,0.080,0.1,0.775,9.0,0.902,75.00,STABLE / OPEN,0.00,0.24,0.000,0.623,0,0,2,0,0,0,0.0,0.0,36.3,26.3,25.4,25.0,0,0,100,
15,0107,3/23/2022 8:31:48 AM ,2155,20.902,20.789,0.113,0.1,1616,0.053,0.142,0.089,0.1,0.750,10.2,0.901,75.00,UNSTABLE / OPEN,0.00,0.24,0.000,0.623,71,42,127,62,19,0,0.0,0.0,36.3,26.2,25.4,25.0,0,0,100,
16,0107,3/23/2022 8:37:28 AM ,2947,20.902,20.747,0.155,0.1,2277,0.051,0.177,0.126,0.1,0.773,14.0,0.902,75.00,UNSTABLE / OPEN,0.00,0.24,0.000,0.623,90,2,144,24,22,0,0.0,0.0,36.5,26.2,25.5,25.0,0,0,100,
17,0107,3/23/2022 8:43:08 AM ,3267,20.902,20.733,0.169,0.1,2259,0.052,0.177,0.125,0.1,0.691,15.2,0.903,75.00,STABLE / OPEN,0.06,0.30,0.363,0.986,124,78,331,188,33,0,0.0,0.0,36.5,26.2,25.7,25.0,0,0,100,
18,0107,3/23/2022 8:48:48 AM ,2615,20.902,20.766,0.136,0.1,1904,0.052,0.157,0.105,0.1,0.728,12.3,0.903,75.00,STABLE / OPEN,0.00,0.30,0.000,0.986,0,0,15,0,0,0,0.0,0.0,36.1,26.1,25.6,25.0,0,0,100,
19,0107,3/23/2022 8:54:28 AM ,3581,20.902,20.715,0.187,0.1,2630,0.053,0.198,0.145,0.1,0.734,16.9,0.901,75.00,UNSTABLE / OPEN,0.00,0.30,0.105,1.091,350,155,468,272,101,0,0.0,0.0,36.9,26.2,25.6,25.0,0,0,100,
20,0107,3/23/2022 9:00:08 AM ,3631,20.902,20.714,0.188,0.2,2545,0.053,0.194,0.141,0.1,0.701,17.0,0.902,75.00,STABLE / OPEN,0.00,0.30,0.000,1.091,266,93,403,197,27,0,0.0,0.0,37.0,26.1,25.6,25.0,0,0,100,
21,0107,3/23/2022 9:05:48 AM ,3445,20.902,20.724,0.178,0.2,2405,0.053,0.186,0.133,0.1,0.698,16.1,0.904,75.00,STABLE / OPEN,0.00,0.30,0.000,1.091,154,0,195,9,0,0,0.0,0.0,36.9,26.1,25.5,25.0,0,0,100,
22,0107,3/23/2022 9:11:28 AM ,3052,20.902,20.742,0.160,0.2,2294,0.052,0.179,0.127,0.1,0.752,14.5,0.902,75.00,STABLE / OPEN,0.00,0.30,0.000,1.091,234,1,96,5,0,0,0.0,0.0,36.5,26.1,25.4,25.0,0,0,100,
23,0107,3/23/2022 9:17:08 AM ,2382,20.902,20.777,0.125,0.2,1758,0.053,0.150,0.097,0.1,0.738,11.3,0.901,75.00,STABLE / OPEN,0.00,0.30,0.000,1.091,54,0,83,1,0,0,0.0,0.0,36.1,26.0,25.3,25.0,0,0,100,
24,0107,3/23/2022 9:22:48 AM ,2010,20.902,20.797,0.105,0.2,1451,0.052,0.133,0.080,0.1,0.722,9.5,0.902,75.00,STABLE / OPEN,0.00,0.30,0.000,1.091,3,0,39,0,0,0,0.0,0.0,35.9,26.0,25.2,25.0,0,0,100,
25,0107,3/23/2022 9:28:28 AM ,1805,20.902,20.808,0.094,0.2,1312,0.052,0.125,0.073,0.1,0.727,8.5,0.900,75.00,STABLE / OPEN,0.00,0.30,0.000,1.091,4,0,9,0,0,0,0.0,0.0,35.8,26.0,25.2,25.0,0,0,100,
26,0107,3/23/2022 9:34:08 AM ,1926,20.902,20.801,0.101,0.2,1426,0.052,0.131,0.079,0.1,0.741,9.1,0.902,75.00,STABLE / OPEN,0.00,0.30,0.000,1.091,31,0,29,1,0,0,0.0,0.0,35.7,26.0,25.1,25.0,0,0,100,
27,0107,3/23/2022 9:39:48 AM ,1981,20.902,20.798,0.104,0.2,1465,0.050,0.131,0.081,0.1,0.739,9.4,0.901,75.00,STABLE / OPEN,0.00,0.30,0.000,1.091,0,0,5,0,0,0,0.0,0.0,35.6,26.0,25.1,25.0,0,0,100,
28,0107,3/23/2022 9:45:28 AM ,1895,20.902,20.804,0.098,0.2,1321,0.052,0.125,0.073,0.2,0.697,8.9,0.899,75.00,STABLE / OPEN,0.00,0.30,0.160,1.251,0,0,13,0,0,0,0.0,0.0,35.4,26.0,25.1,25.0,0,0,100,
29,0107,3/23/2022 9:51:08 AM ,1976,20.902,20.800,0.102,0.2,1391,0.052,0.129,0.077,0.2,0.704,9.3,0.903,75.00,STABLE / OPEN,0.00,0.30,0.000,1.251,4,0,11,3,0,0,0.0,0.0,35.3,26.0,25.2,25.0,0,0,100,
30,0107,3/23/2022 9:56:48 AM ,1955,20.902,20.801,0.101,0.2,1359,0.051,0.126,0.075,0.2,0.695,9.1,0.902,75.00,STABLE / OPEN,0.00,0.30,0.000,1.251,0,0,0,0,0,0,0.0,0.0,35.3,26.0,25.2,25.0,0,0,100,
31,0107,3/23/2022 10:02:28 AM ,2110,20.902,20.793,0.109,0.2,1482,0.051,0.133,0.082,0.2,0.702,9.9,0.902,75.00,STABLE / OPEN,0.00,0.30,0.000,1.251,0,0,0,0,0,0,0.0,0.0,35.3,26.0,25.4,25.0,0,0,100,
32,0107,3/23/2022 10:08:08 AM ,2529,20.902,20.771,0.131,0.2,1791,0.051,0.150,0.099,0.2,0.708,11.9,0.902,75.00,STABLE / OPEN,0.05,0.35,0.000,1.251,42,1,170,26,0,0,0.0,0.0,35.5,26.0,25.4,25.0,0,0,100,
33,0107,3/23/2022 10:13:48 AM ,3700,20.902,20.710,0.192,0.2,2632,0.051,0.196,0.146,0.2,0.711,17.4,0.901,75.00,UNSTABLE / OPEN,0.00,0.35,0.033,1.284,252,39,384,109,62,0,0.0,0.0,36.3,26.0,25.5,25.0,0,0,100,
34,0107,3/23/2022 10:19:28 AM ,3871,20.902,20.702,0.200,0.2,2708,0.051,0.201,0.150,0.2,0.700,18.1,0.902,75.00,STABLE / OPEN,0.06,0.41,0.223,1.507,178,87,301,128,101,0,0.0,0.0,36.0,25.9,25.7,25.0,0,0,100,
35,0107,3/23/2022 10:25:08 AM ,3598,20.902,20.715,0.187,0.3,2561,0.050,0.192,0.142,0.2,0.712,16.9,0.901,75.00,UNSTABLE / OPEN,0.00,0.41,0.000,1.507,393,220,756,488,22,0,0.0,0.0,36.1,26.0,25.6,25.0,0,0,100,
36,0107,3/23/2022 10:30:48 AM ,3390,20.902,20.726,0.176,0.3,2386,0.049,0.181,0.132,0.2,0.704,15.9,0.900,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,245,24,221,51,0,0,0.0,0.0,35.8,26.0,25.6,25.0,0,0,100,
37,0107,3/23/2022 10:36:28 AM ,3251,20.902,20.734,0.168,0.3,2297,0.051,0.178,0.127,0.2,0.707,15.2,0.903,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,113,0,214,16,0,0,0.0,0.0,36.1,25.9,25.6,25.0,0,0,100,
38,0107,3/23/2022 10:42:08 AM ,3380,20.902,20.725,0.177,0.3,2552,0.050,0.191,0.141,0.2,0.755,16.0,0.902,75.00,UNSTABLE / OPEN,0.00,0.41,0.000,1.507,361,211,663,349,101,0,0.0,0.0,36.2,26.0,25.6,25.0,0,0,100,
39,0107,3/23/2022 10:47:48 AM ,2828,20.902,20.755,0.147,0.3,2052,0.050,0.164,0.113,0.2,0.726,13.3,0.901,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,48,22,220,17,0,0,0.0,0.0,35.5,25.9,25.6,25.0,0,0,100,
40,0107,3/23/2022 10:53:28 AM ,2358,20.902,20.779,0.123,0.3,1695,0.049,0.142,0.094,0.2,0.719,11.1,0.902,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,11,1,167,1,0,0,0.0,0.0,35.3,25.9,25.6,25.0,0,0,100,
41,0107,3/23/2022 10:59:08 AM ,2108,20.902,20.792,0.110,0.3,1580,0.050,0.137,0.087,0.2,0.749,10.0,0.902,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,30,0,14,1,0,0,0.0,0.0,35.1,25.9,25.5,25.0,0,0,100,
42,0107,3/23/2022 11:04:48 AM ,1950,20.902,20.800,0.102,0.3,1400,0.049,0.127,0.077,0.2,0.718,9.2,0.901,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,0,0,1,0,0,0,0.0,0.0,35.0,25.9,25.4,25.0,0,0,100,
43,0107,3/23/2022 11:10:28 AM ,1908,20.902,20.803,0.099,0.3,1332,0.050,0.123,0.074,0.2,0.698,8.9,0.901,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,0,0,0,0,0,0,0.0,0.0,34.8,25.9,25.4,25.0,0,0,100,
44,0107,3/23/2022 11:16:08 AM ,1889,20.902,20.803,0.099,0.3,1376,0.049,0.125,0.076,0.2,0.729,8.9,0.900,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,0,0,0,0,0,0,0.0,0.0,34.9,25.9,25.3,25.0,0,0,100,
45,0107,3/23/2022 11:21:48 AM ,1871,20.902,20.804,0.098,0.3,1384,0.050,0.127,0.077,0.2,0.740,8.8,0.901,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,1,0,0,0,0,0,0.0,0.0,34.7,25.9,25.2,25.0,0,0,100,
46,0107,3/23/2022 11:27:28 AM ,1834,20.902,20.806,0.096,0.3,1343,0.050,0.124,0.074,0.2,0.733,8.7,0.900,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,0,0,12,0,0,0,0.0,0.0,34.6,25.9,25.2,25.0,0,0,100,
47,0107,3/23/2022 11:33:08 AM ,3032,20.902,20.743,0.159,0.3,2300,0.051,0.178,0.127,0.3,0.759,14.4,0.902,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,199,2,336,35,0,0,0.0,0.0,35.3,26.0,25.1,25.0,0,0,100,
48,0107,3/23/2022 11:38:48 AM ,3483,20.902,20.721,0.181,0.4,2499,0.051,0.189,0.138,0.3,0.718,16.4,0.902,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,170,49,209,47,5,0,0.0,0.0,35.4,25.9,25.1,25.0,0,0,100,
49,0107,3/23/2022 11:44:28 AM ,3001,20.902,20.743,0.159,0.4,2370,0.048,0.180,0.131,0.3,0.790,14.4,0.901,75.00,STABLE / OPEN,0.00,0.41,0.000,1.507,46,11,73,32,60,0,0.0,0.0,35.2,25.9,25.1,25.0,0,0,100,
50,0107,3/23/2022 11:50:08 AM ,2624,20.902,20.764,0.138,0.4,2033,0.050,0.162,0.112,0.3,0.775,12.5,0.901,75.00,STABLE / OPEN,0.13,0.54,0.000,1.507,10,6,41,10,0,0,0.0,0.0,34.9,25.9,25.2,25.0,0,0,100,
51,0107,3/23/2022 11:55:48 AM ,2260,20.902,20.783,0.119,0.4,1793,0.050,0.149,0.099,0.3,0.794,10.8,0.903,75.00,STABLE / OPEN,0.00,0.54,0.000,1.507,6,0,21,0,0,0,0.0,0.0,34.7,25.9,25.2,25.0,0,0,100,
52,0107,3/23/2022 12:01:28 PM ,2104,20.902,20.791,0.111,0.4,1644,0.050,0.141,0.091,0.3,0.781,10.1,0.901,75.00,STABLE / OPEN,0.00,0.54,0.000,1.507,0,0,0,0,0,0,0.0,0.0,34.7,25.9,25.4,25.0,0,0,100,
53,0107,3/23/2022 12:07:08 PM ,2072,20.902,20.793,0.110,0.4,1653,0.049,0.141,0.091,0.3,0.798,9.9,0.903,75.00,STABLE / OPEN,0.00,0.54,0.000,1.507,1,0,0,0,0,0,0.0,0.0,34.6,25.9,25.6,25.0,0,0,100,
