Oxymax CSV File 

CSV Generation Date,3/25/2022 6:26:33 AM 
Experiment Started,3/24/2022 7:07:39 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-24 B6 Temp Decline 20c.CDTA

Group/Cage,0112
O2 Calibration Date,3/24/2022 6:47:06 AM
CO2 Calibration Date,3/24/2022 6:47:06 AM
Subject ID,F16-2
Subject Mass (G), 22 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0112,3/24/2022 7:12:02 AM ,4534,20.902,20.728,0.174,0.0,3314,0.058,0.193,0.135,0.0,0.731,21.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.061,0.061,239,105,338,174,17,0,0.0,0.0,35.3,26.2,25.2,23.0,0,0,100,
2,0112,3/24/2022 7:17:42 AM ,4623,20.902,20.726,0.176,0.0,3213,0.063,0.194,0.131,0.0,0.695,21.6,0.902,75.00,STABLE / OPEN,0.00,0.00,1.874,1.934,470,241,719,439,57,0,0.0,0.0,35.2,26.1,23.6,20.0,0,0,100,
3,0112,3/24/2022 7:23:22 AM ,3914,20.902,20.752,0.150,0.0,2821,0.063,0.178,0.115,0.0,0.721,18.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,1.934,20,2,31,2,0,0,0.0,0.0,35.1,25.7,22.2,20.0,0,0,100,
4,0112,3/24/2022 7:29:02 AM ,4120,20.902,20.746,0.156,0.0,2717,0.062,0.173,0.111,0.0,0.659,19.1,0.902,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,1.934,269,134,353,214,19,0,0.0,0.0,36.0,24.9,21.2,20.0,0,0,100,
5,0112,3/24/2022 7:34:42 AM ,3816,20.902,20.757,0.145,0.0,2653,0.062,0.170,0.108,0.0,0.695,17.8,0.902,75.00,CELL NOT RESPONDING / OPEN,0.05,0.05,0.000,1.934,182,97,260,113,17,0,0.0,0.0,36.1,24.1,20.3,20.0,0,0,100,
6,0112,3/24/2022 7:40:22 AM ,3607,20.902,20.765,0.137,0.0,2508,0.061,0.163,0.102,0.0,0.695,16.9,0.902,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,1,0,3,2,0,0,0.0,0.0,36.2,23.5,20.4,20.0,0,0,100,
7,0112,3/24/2022 7:46:02 AM ,3424,20.902,20.772,0.130,0.1,2301,0.061,0.155,0.094,0.0,0.672,15.9,0.901,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,3,1,68,2,0,0,0.0,0.0,36.1,23.0,20.5,20.0,0,0,100,
8,0112,3/24/2022 7:51:42 AM ,3534,20.902,20.769,0.134,0.1,2342,0.060,0.155,0.095,0.0,0.663,16.4,0.902,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,46,33,55,23,3,0,0.0,0.0,36.0,22.6,20.7,20.0,0,0,100,
9,0112,3/24/2022 7:57:22 AM ,4347,20.902,20.737,0.165,0.1,2994,0.059,0.181,0.122,0.0,0.689,20.3,0.901,75.00,UNSTABLE / OPEN,0.00,0.05,0.000,1.934,163,70,162,71,111,0,0.0,0.0,36.7,22.4,20.4,20.0,0,0,100,
10,0112,3/24/2022 8:03:02 AM ,3924,20.902,20.752,0.150,0.1,2775,0.063,0.176,0.113,0.1,0.707,18.4,0.902,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,53,4,69,12,0,0,0.0,0.0,36.1,22.2,20.7,20.0,0,0,100,
11,0112,3/24/2022 8:08:42 AM ,3856,20.902,20.755,0.147,0.1,2653,0.063,0.171,0.108,0.1,0.688,18.0,0.901,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,34,0,11,2,0,0,0.0,0.0,35.7,22.1,20.6,20.0,0,0,100,
12,0112,3/24/2022 8:14:22 AM ,3762,20.902,20.759,0.143,0.1,2607,0.062,0.168,0.106,0.1,0.693,17.6,0.902,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,300,2,32,8,0,0,0.0,0.0,35.4,22.0,20.4,20.0,0,0,100,
13,0112,3/24/2022 8:20:02 AM ,4159,20.902,20.745,0.157,0.1,2775,0.060,0.173,0.113,0.1,0.667,19.3,0.901,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,239,3,71,15,0,0,0.0,0.0,35.3,22.0,20.3,20.0,0,0,100,
14,0112,3/24/2022 8:25:42 AM ,3772,20.902,20.758,0.144,0.1,2649,0.059,0.167,0.108,0.1,0.702,17.7,0.901,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,4,0,17,1,0,0,0.0,0.0,35.0,22.0,20.2,20.0,0,0,100,
15,0112,3/24/2022 8:31:22 AM ,3794,20.902,20.757,0.145,0.1,2661,0.059,0.167,0.108,0.1,0.701,17.8,0.901,75.00,STABLE / OPEN,0.00,0.05,0.000,1.934,0,0,49,0,0,0,0.0,0.0,34.8,21.9,20.2,20.0,0,0,100,
16,0112,3/24/2022 8:37:02 AM ,4346,20.902,20.737,0.165,0.1,2919,0.058,0.177,0.119,0.1,0.672,20.2,0.900,75.00,UNSTABLE / OPEN,0.00,0.05,0.000,1.934,90,4,123,21,40,0,0.0,0.0,35.0,21.9,20.2,20.0,0,0,100,
17,0112,3/24/2022 8:42:42 AM ,4983,20.902,20.712,0.191,0.1,3569,0.058,0.203,0.145,0.1,0.716,23.4,0.902,75.00,STABLE / OPEN,0.06,0.11,0.000,1.934,298,151,429,195,18,0,0.0,0.0,35.9,21.9,20.3,20.0,0,0,100,
18,0112,3/24/2022 8:48:22 AM ,5386,20.902,20.694,0.208,0.1,4059,0.057,0.222,0.165,0.1,0.754,25.5,0.902,75.00,UNSTABLE / OPEN,0.00,0.11,0.000,1.934,382,229,542,334,485,0,0.0,0.0,37.0,21.8,20.4,20.0,0,0,100,
19,0112,3/24/2022 8:54:02 AM ,5341,20.902,20.695,0.207,0.2,4153,0.056,0.225,0.169,0.1,0.778,25.5,0.902,75.00,STABLE / OPEN,0.09,0.21,0.000,1.934,434,250,709,360,40,0,0.0,0.0,37.9,21.8,20.5,20.0,0,0,100,
20,0112,3/24/2022 8:59:42 AM ,4623,20.902,20.724,0.178,0.2,3426,0.057,0.196,0.139,0.1,0.741,21.9,0.902,75.00,STABLE / OPEN,0.00,0.21,0.047,1.981,92,18,91,18,0,0,0.0,0.0,37.1,21.8,20.6,20.0,0,0,100,
21,0112,3/24/2022 9:05:22 AM ,4345,20.902,20.735,0.168,0.2,3260,0.056,0.188,0.133,0.1,0.750,20.6,0.902,75.00,STABLE / OPEN,0.00,0.21,0.044,2.026,300,6,704,66,0,0,0.0,0.0,36.8,21.8,21.0,20.0,0,0,100,
22,0112,3/24/2022 9:11:02 AM ,4924,20.902,20.710,0.192,0.2,4023,0.061,0.224,0.164,0.1,0.817,23.7,0.902,75.00,UNSTABLE / OPEN,0.00,0.21,0.079,2.105,430,239,449,259,59,0,0.0,0.0,37.3,21.8,20.5,20.0,0,0,100,
23,0112,3/24/2022 9:16:42 AM ,4402,20.902,20.733,0.169,0.2,3184,0.067,0.196,0.129,0.1,0.723,20.7,0.902,75.00,STABLE / OPEN,0.00,0.21,0.000,2.105,54,1,125,29,0,0,0.0,0.0,36.4,21.8,20.6,20.0,0,0,100,
24,0112,3/24/2022 9:22:22 AM ,3924,20.902,20.753,0.149,0.2,2701,0.066,0.176,0.110,0.1,0.688,18.3,0.901,75.00,STABLE / OPEN,0.00,0.21,0.000,2.105,0,0,163,5,0,0,0.0,0.0,36.1,21.8,20.7,20.0,0,0,100,
25,0112,3/24/2022 9:28:02 AM ,3837,20.902,20.754,0.148,0.2,2844,0.063,0.179,0.116,0.1,0.741,18.1,0.901,75.00,STABLE / OPEN,0.00,0.21,0.000,2.105,75,11,50,10,0,0,0.0,0.0,35.8,21.7,20.7,20.0,0,0,100,
26,0112,3/24/2022 9:33:42 AM ,4795,20.902,20.719,0.183,0.2,3424,0.063,0.202,0.139,0.2,0.714,22.5,0.901,75.00,UNSTABLE / OPEN,0.00,0.21,0.000,2.105,68,17,156,39,176,0,0.0,0.0,36.2,21.7,20.5,20.0,0,0,100,
27,0112,3/24/2022 9:39:22 AM ,5066,20.902,20.706,0.196,0.2,3849,0.060,0.217,0.157,0.2,0.760,24.1,0.901,75.00,STABLE / OPEN,0.14,0.35,0.051,2.156,112,57,307,54,124,0,0.0,0.0,36.2,21.8,20.3,20.0,0,0,100,
28,0112,3/24/2022 9:45:02 AM ,4860,20.902,20.713,0.189,0.2,3868,0.059,0.217,0.157,0.2,0.796,23.3,0.901,75.00,STABLE / OPEN,0.00,0.35,0.155,2.311,238,120,388,199,39,0,0.0,0.0,36.6,21.8,20.3,20.0,0,0,100,
29,0112,3/24/2022 9:50:42 AM ,4718,20.902,20.719,0.183,0.2,3660,0.059,0.208,0.149,0.2,0.776,22.5,0.901,75.00,STABLE / OPEN,0.00,0.35,0.000,2.311,315,110,397,221,10,0,0.0,0.0,37.0,21.7,20.2,20.0,0,0,100,
30,0112,3/24/2022 9:56:22 AM ,4132,20.902,20.743,0.159,0.3,3040,0.058,0.181,0.124,0.2,0.736,19.5,0.902,75.00,STABLE / OPEN,0.03,0.38,0.000,2.311,277,0,23,0,0,0,0.0,0.0,36.4,21.7,20.2,20.0,0,0,100,
31,0112,3/24/2022 10:02:02 AM ,3815,20.902,20.754,0.148,0.3,3005,0.057,0.179,0.122,0.2,0.788,18.3,0.901,75.00,STABLE / OPEN,0.00,0.38,0.000,2.311,307,0,17,0,0,0,0.0,0.0,36.1,21.7,20.2,20.0,0,0,100,
32,0112,3/24/2022 10:07:42 AM ,3745,20.902,20.757,0.145,0.3,2883,0.056,0.173,0.117,0.2,0.770,17.8,0.903,75.00,STABLE / OPEN,0.00,0.38,0.000,2.311,17,0,6,2,0,0,0.0,0.0,35.9,21.7,20.3,20.0,0,0,100,
33,0112,3/24/2022 10:13:22 AM ,3692,20.902,20.759,0.143,0.3,2869,0.055,0.171,0.117,0.2,0.777,17.6,0.901,75.00,STABLE / OPEN,0.00,0.38,0.000,2.311,142,0,4,1,0,0,0.0,0.0,35.7,21.7,20.3,20.0,0,0,100,
34,0112,3/24/2022 10:19:02 AM ,3784,20.902,20.756,0.146,0.3,2919,0.055,0.174,0.119,0.2,0.771,18.0,0.903,75.00,STABLE / OPEN,0.00,0.38,0.000,2.311,678,0,320,2,0,0,0.0,0.0,35.6,21.7,20.4,20.0,0,0,100,
35,0112,3/24/2022 10:24:42 AM ,3716,20.902,20.758,0.144,0.3,2845,0.055,0.170,0.116,0.2,0.766,17.7,0.901,75.00,STABLE / OPEN,0.00,0.38,0.000,2.311,184,0,295,0,0,0,0.0,0.0,35.5,21.7,20.5,20.0,0,0,100,
36,0112,3/24/2022 10:30:22 AM ,3567,20.902,20.764,0.138,0.3,2742,0.056,0.167,0.111,0.2,0.769,17.0,0.902,75.00,STABLE / OPEN,0.00,0.38,0.000,2.311,269,3,446,4,0,0,0.0,0.0,35.3,21.7,20.7,20.0,0,0,100,
37,0112,3/24/2022 10:36:02 AM ,3439,20.902,20.769,0.133,0.3,2654,0.055,0.162,0.108,0.2,0.772,16.4,0.903,75.00,STABLE / OPEN,0.00,0.38,0.000,2.311,22,5,258,1,0,0,0.0,0.0,35.2,21.7,20.7,20.0,0,0,100,
38,0112,3/24/2022 10:41:42 AM ,3506,20.902,20.767,0.135,0.3,2634,0.055,0.162,0.107,0.2,0.751,16.6,0.902,75.00,STABLE / OPEN,0.00,0.38,0.000,2.311,22,0,609,77,0,0,0.0,0.0,35.1,21.7,20.6,20.0,0,0,100,
39,0112,3/24/2022 10:47:22 AM ,4681,20.902,20.721,0.181,0.3,3573,0.055,0.200,0.145,0.2,0.763,22.3,0.901,75.00,UNSTABLE / OPEN,0.00,0.38,0.000,2.311,196,51,238,78,91,0,0.0,0.0,35.7,21.7,20.5,20.0,0,0,100,
40,0112,3/24/2022 10:53:02 AM ,5033,20.902,20.705,0.197,0.3,4134,0.055,0.223,0.168,0.2,0.821,24.3,0.901,75.00,STABLE / OPEN,0.17,0.55,0.000,2.311,143,60,311,204,181,0,0.0,0.0,35.9,21.7,20.4,20.0,0,0,100,
41,0112,3/24/2022 10:58:42 AM ,5384,20.902,20.692,0.210,0.3,4386,0.054,0.233,0.178,0.3,0.815,25.9,0.902,75.00,STABLE / OPEN,0.00,0.55,0.200,2.511,918,550,1121,754,41,0,0.0,0.0,36.5,21.7,20.3,20.0,0,0,100,
42,0112,3/24/2022 11:04:22 AM ,5210,20.902,20.698,0.204,0.4,4330,0.054,0.230,0.176,0.3,0.831,25.2,0.902,75.00,UNSTABLE / OPEN,0.00,0.55,0.092,2.603,463,224,704,427,36,0,0.0,0.0,36.1,21.7,20.2,20.0,0,0,100,
43,0112,3/24/2022 11:10:02 AM ,5017,20.902,20.705,0.197,0.4,4184,0.054,0.224,0.170,0.3,0.834,24.3,0.903,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,99,11,442,83,1,0,0.0,0.0,36.5,21.7,20.2,20.0,0,0,100,
44,0112,3/24/2022 11:15:42 AM ,4757,20.902,20.716,0.186,0.4,3912,0.055,0.214,0.159,0.3,0.823,23.0,0.901,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,8,2,379,40,0,0,0.0,0.0,36.4,21.7,20.1,20.0,0,0,100,
45,0112,3/24/2022 11:21:22 AM ,4456,20.902,20.729,0.173,0.4,3544,0.054,0.198,0.144,0.3,0.795,21.4,0.902,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,192,98,233,143,0,0,0.0,0.0,36.1,21.7,20.2,20.0,0,0,100,
46,0112,3/24/2022 11:27:02 AM ,3768,20.902,20.754,0.148,0.4,3146,0.053,0.181,0.128,0.3,0.835,18.3,0.902,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,9,1,17,1,0,0,0.0,0.0,35.7,21.7,20.4,20.0,0,0,100,
47,0112,3/24/2022 11:32:42 AM ,3704,20.902,20.757,0.145,0.4,3024,0.053,0.176,0.123,0.3,0.817,17.9,0.902,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,27,3,167,2,0,0,0.0,0.0,35.5,21.7,20.4,20.0,0,0,100,
48,0112,3/24/2022 11:38:22 AM ,3524,20.902,20.764,0.139,0.4,2971,0.051,0.172,0.121,0.3,0.843,17.1,0.902,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,232,0,10,0,0,0,0.0,0.0,35.4,21.7,20.5,20.0,0,0,100,
49,0112,3/24/2022 11:44:02 AM ,3760,20.902,20.755,0.147,0.4,3072,0.052,0.177,0.125,0.3,0.817,18.1,0.902,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,0,0,5,1,0,0,0.0,0.0,35.3,21.6,20.6,20.0,0,0,100,
50,0112,3/24/2022 11:49:42 AM ,3558,20.902,20.763,0.139,0.4,2862,0.053,0.170,0.116,0.3,0.805,17.1,0.901,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,15,1,7,2,0,0,0.0,0.0,35.2,21.7,20.6,20.0,0,0,100,
51,0112,3/24/2022 11:55:22 AM ,3617,20.902,20.762,0.141,0.4,2853,0.054,0.170,0.116,0.3,0.789,17.3,0.902,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,340,3,91,0,0,0,0.0,0.0,35.0,21.7,20.7,20.0,0,0,100,
52,0112,3/24/2022 12:01:02 PM ,3583,20.902,20.763,0.139,0.4,2847,0.053,0.169,0.116,0.3,0.795,17.2,0.902,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,5,1,7,5,0,0,0.0,0.0,35.0,21.7,20.7,20.0,0,0,100,
53,0112,3/24/2022 12:06:42 PM ,3375,20.902,20.770,0.132,0.5,2773,0.051,0.164,0.113,0.3,0.822,16.3,0.903,75.00,STABLE / OPEN,0.00,0.55,0.000,2.603,309,3,23,0,0,0,0.0,0.0,34.9,21.7,20.5,20.0,0,0,100,
