Oxymax CSV File 

CSV Generation Date,3/28/2022 10:02:53 AM 
Experiment Started,3/25/2022 7:15:34 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-25 B6 Temp Decline 15c.CDTA

Group/Cage,0101
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,8-1
Subject Mass (G), 29 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,3/25/2022 7:16:18 AM ,4300,20.908,20.690,0.217,0.0,3476,0.057,0.240,0.183,0.0,0.808,20.7,0.919,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,5,2,35,29,4,0,0.0,0.0,44.0,20.9,20.0,18.8,0,0,100,
2,0101,3/25/2022 7:21:58 AM ,4054,20.908,20.704,0.203,0.0,3124,0.062,0.227,0.164,0.0,0.771,19.3,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,53,7,102,37,9,0,0.0,0.0,43.8,20.6,18.3,15.0,0,0,100,
3,0101,3/25/2022 7:27:38 AM ,3847,20.908,20.716,0.192,0.0,2881,0.061,0.213,0.152,0.0,0.749,18.2,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,59,31,287,93,2,0,0.0,0.0,44.2,20.0,17.1,15.0,0,0,100,
4,0101,3/25/2022 7:33:18 AM ,3675,20.908,20.725,0.183,0.0,2717,0.060,0.203,0.143,0.0,0.739,17.4,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,20,6,6,2,0,0,0.0,0.0,44.5,19.4,16.1,15.0,0,0,100,
5,0101,3/25/2022 7:38:58 AM ,4288,20.908,20.692,0.216,0.0,3366,0.058,0.235,0.177,0.0,0.785,20.5,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,187,58,225,96,5,0,0.0,0.0,45.5,18.7,15.2,15.0,0,0,100,
6,0101,3/25/2022 7:44:38 AM ,3979,20.908,20.707,0.200,0.1,3182,0.057,0.224,0.167,0.0,0.800,19.1,0.920,75.00,STABLE / OPEN,0.00,0.00,0.448,0.448,136,51,131,68,2,0,0.0,0.0,45.7,18.1,15.2,15.0,0,0,100,
7,0101,3/25/2022 7:50:18 AM ,3815,20.908,20.715,0.192,0.1,3044,0.057,0.217,0.160,0.1,0.798,18.3,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,7,0,69,7,0,0,0.0,0.0,45.6,17.6,15.3,15.0,0,0,100,
8,0101,3/25/2022 7:55:58 AM ,3741,20.908,20.721,0.187,0.1,2870,0.056,0.206,0.151,0.1,0.767,17.8,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,1009,0,191,0,0,0,0.0,0.0,45.7,17.2,15.4,15.0,0,0,100,
9,0101,3/25/2022 8:01:38 AM ,3768,20.908,20.719,0.189,0.1,2893,0.055,0.208,0.152,0.1,0.768,17.9,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,755,0,63,0,0,0,0.0,0.0,45.5,16.9,15.4,15.0,0,0,100,
10,0101,3/25/2022 8:07:18 AM ,3854,20.908,20.715,0.192,0.1,2916,0.056,0.209,0.153,0.1,0.757,18.3,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,797,1,34,0,0,0,0.0,0.0,45.5,16.7,15.5,15.0,0,0,100,
11,0101,3/25/2022 8:12:58 AM ,3873,20.908,20.714,0.193,0.1,2923,0.055,0.209,0.154,0.1,0.755,18.4,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,29,0,37,0,0,0,0.0,0.0,45.3,16.6,15.5,15.0,0,0,100,
12,0101,3/25/2022 8:18:38 AM ,3986,20.908,20.708,0.200,0.1,3104,0.054,0.217,0.163,0.1,0.779,19.0,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,93,2,93,6,0,0,0.0,0.0,45.2,16.5,15.6,15.0,0,0,100,
13,0101,3/25/2022 8:24:18 AM ,4008,20.908,20.708,0.200,0.1,2979,0.054,0.211,0.157,0.1,0.743,19.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,35,0,84,2,0,0,0.0,0.0,45.0,16.4,15.7,15.0,0,0,100,
14,0101,3/25/2022 8:29:58 AM ,3859,20.908,20.715,0.192,0.1,2882,0.054,0.205,0.152,0.1,0.747,18.3,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,111,0,15,0,0,0,0.0,0.0,44.8,16.4,15.7,15.0,0,0,100,
15,0101,3/25/2022 8:35:38 AM ,4046,20.908,20.707,0.201,0.2,2981,0.054,0.210,0.157,0.1,0.737,19.1,0.921,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,21,0,95,3,0,0,0.0,0.0,44.7,16.3,15.7,15.0,0,0,100,
16,0101,3/25/2022 8:41:18 AM ,4812,20.908,20.666,0.242,0.2,3749,0.053,0.251,0.198,0.1,0.779,23.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.448,234,9,104,22,0,0,0.0,0.0,45.6,16.3,15.7,15.0,0,0,100,
17,0101,3/25/2022 8:46:58 AM ,4981,20.908,20.656,0.252,0.2,4040,0.054,0.266,0.212,0.1,0.811,24.0,0.919,75.00,STABLE / OPEN,0.00,0.00,0.156,0.603,155,83,293,167,5,0,0.0,0.0,46.0,16.3,15.6,15.0,0,0,100,
18,0101,3/25/2022 8:52:38 AM ,5116,20.908,20.648,0.260,0.2,4237,0.054,0.277,0.223,0.1,0.828,24.7,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.603,320,107,466,187,12,0,0.0,0.0,46.6,16.3,15.4,15.0,0,0,100,
19,0101,3/25/2022 8:58:18 AM ,5568,20.908,20.623,0.284,0.2,4712,0.053,0.302,0.248,0.2,0.846,27.0,0.917,75.00,STABLE / OPEN,0.07,0.07,0.000,0.603,208,75,273,133,199,0,0.0,0.0,46.8,16.3,15.3,15.0,0,0,100,
20,0101,3/25/2022 9:03:58 AM ,5460,20.908,20.630,0.278,0.2,4575,0.054,0.295,0.241,0.2,0.838,26.5,0.918,75.00,STABLE / OPEN,0.05,0.12,0.134,0.737,321,93,343,160,47,0,0.0,0.0,46.7,16.3,15.2,15.0,0,0,100,
21,0101,3/25/2022 9:09:38 AM ,5313,20.908,20.638,0.270,0.2,4450,0.054,0.288,0.234,0.2,0.838,25.8,0.919,75.00,STABLE / OPEN,0.00,0.12,0.041,0.778,323,151,392,227,19,0,0.0,0.0,47.8,16.3,15.1,15.0,0,0,100,
22,0101,3/25/2022 9:15:18 AM ,5240,20.908,20.641,0.266,0.2,4359,0.053,0.283,0.230,0.2,0.832,25.4,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,297,126,543,294,4,0,0.0,0.0,47.3,16.3,15.2,15.0,0,0,100,
23,0101,3/25/2022 9:20:58 AM ,5110,20.908,20.648,0.259,0.3,4266,0.053,0.278,0.224,0.2,0.835,24.8,0.919,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,302,146,680,381,6,0,0.0,0.0,47.2,16.3,15.4,15.0,0,0,100,
24,0101,3/25/2022 9:26:38 AM ,4698,20.908,20.670,0.237,0.3,3819,0.053,0.254,0.201,0.2,0.813,22.6,0.919,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,126,14,256,14,0,0,0.0,0.0,47.3,16.3,15.5,15.0,0,0,100,
25,0101,3/25/2022 9:32:18 AM ,3994,20.908,20.707,0.201,0.3,3068,0.053,0.215,0.162,0.2,0.768,19.0,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,6,2,38,6,0,0,0.0,0.0,46.5,16.3,15.7,15.0,0,0,100,
26,0101,3/25/2022 9:37:58 AM ,3565,20.908,20.730,0.177,0.3,2582,0.052,0.188,0.136,0.2,0.724,16.8,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,0,0,92,1,0,0,0.0,0.0,46.1,16.3,15.8,15.0,0,0,100,
27,0101,3/25/2022 9:43:38 AM ,3505,20.908,20.734,0.173,0.3,2485,0.053,0.184,0.131,0.2,0.709,16.4,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,0,0,33,7,0,0,0.0,0.0,45.9,16.3,15.6,15.0,0,0,100,
28,0101,3/25/2022 9:49:18 AM ,3551,20.908,20.731,0.176,0.3,2538,0.051,0.185,0.134,0.2,0.715,16.7,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,1,0,25,9,0,0,0.0,0.0,45.8,16.3,15.6,15.0,0,0,100,
29,0101,3/25/2022 9:54:58 AM ,3316,20.908,20.744,0.164,0.3,2275,0.053,0.173,0.120,0.3,0.686,15.5,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,0,0,28,3,0,0,0.0,0.0,45.7,16.2,15.4,15.0,0,0,100,
30,0101,3/25/2022 10:00:38 AM ,3469,20.908,20.736,0.172,0.3,2451,0.052,0.181,0.129,0.3,0.706,16.3,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,1,1,59,0,0,0,0.0,0.0,45.6,16.2,15.4,15.0,0,0,100,
31,0101,3/25/2022 10:06:18 AM ,3550,20.908,20.732,0.175,0.3,2435,0.052,0.181,0.129,0.3,0.686,16.5,0.915,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,12,0,34,6,0,0,0.0,0.0,45.5,16.2,15.3,15.0,0,0,100,
32,0101,3/25/2022 10:11:58 AM ,3474,20.908,20.737,0.170,0.4,2279,0.053,0.173,0.120,0.3,0.656,16.1,0.915,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,9,0,31,2,0,0,0.0,0.0,45.3,16.2,15.2,15.0,0,0,100,
33,0101,3/25/2022 10:17:38 AM ,3491,20.908,20.736,0.172,0.4,2376,0.052,0.177,0.125,0.3,0.680,16.2,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,7,0,17,0,0,0,0.0,0.0,45.3,16.2,15.2,15.0,0,0,100,
34,0101,3/25/2022 10:23:18 AM ,3402,20.908,20.740,0.167,0.4,2310,0.052,0.174,0.122,0.3,0.679,15.8,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,116,0,20,4,0,0,0.0,0.0,45.2,16.2,15.2,15.0,0,0,100,
35,0101,3/25/2022 10:28:58 AM ,3480,20.908,20.736,0.172,0.4,2398,0.050,0.177,0.127,0.3,0.689,16.2,0.914,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,6,0,3,0,0,0,0.0,0.0,45.1,16.2,15.4,15.0,0,0,100,
36,0101,3/25/2022 10:34:38 AM ,3471,20.908,20.737,0.171,0.4,2359,0.052,0.177,0.124,0.3,0.680,16.2,0.918,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,6,0,11,3,0,0,0.0,0.0,45.0,16.2,15.6,15.0,0,0,100,
37,0101,3/25/2022 10:40:18 AM ,3403,20.908,20.739,0.168,0.4,2365,0.052,0.177,0.125,0.3,0.695,15.9,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,30,5,41,5,0,0,0.0,0.0,45.1,16.2,15.6,15.0,0,0,100,
38,0101,3/25/2022 10:45:58 AM ,3431,20.908,20.738,0.170,0.4,2376,0.052,0.178,0.126,0.3,0.692,16.0,0.915,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,439,0,0,0,0,0,0.0,0.0,44.9,16.2,15.7,15.0,0,0,100,
39,0101,3/25/2022 10:51:38 AM ,3994,20.908,20.708,0.200,0.4,3015,0.052,0.211,0.159,0.3,0.755,19.0,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,230,24,119,40,0,0,0.0,0.0,45.2,16.2,15.7,15.0,0,0,100,
40,0101,3/25/2022 10:57:18 AM ,3691,20.908,20.724,0.184,0.4,2695,0.052,0.194,0.142,0.3,0.730,17.4,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,36,0,3,0,0,0,0.0,0.0,45.0,16.2,15.6,15.0,0,0,100,
41,0101,3/25/2022 11:02:58 AM ,3562,20.908,20.730,0.177,0.4,2579,0.053,0.189,0.136,0.3,0.724,16.8,0.915,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,0,0,2,0,0,0,0.0,0.0,44.9,16.2,15.5,15.0,0,0,100,
42,0101,3/25/2022 11:08:38 AM ,3377,20.908,20.740,0.167,0.5,2371,0.052,0.177,0.125,0.3,0.702,15.8,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,5,0,2,0,0,0,0.0,0.0,44.8,16.2,15.3,15.0,0,0,100,
43,0101,3/25/2022 11:14:18 AM ,3448,20.908,20.737,0.171,0.5,2433,0.052,0.180,0.128,0.4,0.706,16.2,0.916,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,0,0,0,0,0,0,0.0,0.0,44.7,16.2,15.2,15.0,0,0,100,
44,0101,3/25/2022 11:19:58 AM ,3390,20.908,20.740,0.167,0.5,2357,0.052,0.177,0.124,0.4,0.695,15.8,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,0,0,3,0,0,0,0.0,0.0,44.7,16.2,15.2,15.0,0,0,100,
45,0101,3/25/2022 11:25:38 AM ,3522,20.908,20.734,0.174,0.5,2456,0.052,0.182,0.130,0.4,0.697,16.5,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,32,4,68,0,0,0,0.0,0.0,44.6,16.2,15.3,15.0,0,0,100,
46,0101,3/25/2022 11:31:18 AM ,3569,20.908,20.732,0.176,0.5,2457,0.052,0.182,0.129,0.4,0.688,16.6,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,10,4,3,0,0,0,0.0,0.0,44.6,16.2,15.5,15.0,0,0,100,
47,0101,3/25/2022 11:36:58 AM ,3970,20.908,20.709,0.198,0.5,2999,0.052,0.210,0.158,0.4,0.755,18.8,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,160,19,87,9,0,0,0.0,0.0,44.9,16.2,15.7,15.0,0,0,100,
48,0101,3/25/2022 11:42:38 AM ,4405,20.908,20.686,0.221,0.5,3419,0.052,0.232,0.180,0.4,0.776,21.0,0.917,75.00,STABLE / OPEN,0.00,0.12,0.000,0.778,145,18,270,34,0,0,0.0,0.0,45.5,16.2,15.7,15.0,0,0,100,
49,0101,3/25/2022 11:48:18 AM ,5183,20.908,20.646,0.262,0.5,4151,0.052,0.270,0.219,0.4,0.801,24.9,0.918,75.00,UNSTABLE / OPEN,0.00,0.12,0.000,0.778,52,11,147,18,472,0,0.0,0.0,45.8,16.2,15.7,15.0,0,0,100,
50,0101,3/25/2022 11:53:58 AM ,5468,20.908,20.630,0.277,0.5,4464,0.052,0.288,0.236,0.4,0.816,26.4,0.916,75.00,UNSTABLE / OPEN,0.21,0.33,0.057,0.835,233,104,321,193,58,0,0.0,0.0,46.2,16.2,15.5,15.0,0,0,100,
51,0101,3/25/2022 11:59:38 AM ,5576,20.908,20.624,0.284,0.6,4622,0.050,0.294,0.244,0.4,0.829,27.0,0.916,75.00,STABLE / OPEN,0.00,0.33,0.147,0.982,439,247,845,592,33,0,0.0,0.0,46.5,16.2,15.4,15.0,0,0,100,
52,0101,3/25/2022 12:05:18 PM ,5594,20.908,20.623,0.285,0.6,4643,0.051,0.296,0.245,0.4,0.830,27.1,0.915,75.00,STABLE / OPEN,0.00,0.33,0.000,0.982,425,252,895,573,11,0,0.0,0.0,47.6,16.3,15.2,15.0,0,0,100,
53,0101,3/25/2022 12:10:58 PM ,5193,20.908,20.644,0.264,0.6,4257,0.052,0.277,0.225,0.4,0.820,25.1,0.915,75.00,STABLE / OPEN,0.00,0.33,0.000,0.982,323,21,160,59,0,0,0.0,0.0,47.5,16.3,15.2,15.0,0,0,100,
54,0101,3/25/2022 12:16:38 PM ,4190,20.908,20.696,0.211,0.6,3314,0.052,0.226,0.175,0.5,0.791,20.1,0.918,75.00,STABLE / OPEN,0.00,0.33,0.000,0.982,0,0,30,4,0,0,0.0,0.0,46.6,16.2,15.3,15.0,0,0,100,
