Oxymax CSV File 

CSV Generation Date,3/28/2022 10:02:59 AM 
Experiment Started,3/25/2022 7:15:34 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-25 B6 Temp Decline 15c.CDTA

Group/Cage,0109
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,F8-1
Subject Mass (G), 18.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0109,3/25/2022 7:18:58 AM ,6508,20.908,20.687,0.220,0.0,5748,0.057,0.257,0.199,0.0,0.883,31.9,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,231,112,277,155,11,0,0.0,0.0,44.5,19.7,19.1,16.1,0,0,100,
2,0109,3/25/2022 7:24:38 AM ,6558,20.908,20.687,0.220,0.0,5545,0.062,0.255,0.192,0.0,0.846,31.8,0.898,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,384,205,648,273,68,0,0.0,0.0,44.2,19.2,17.7,15.0,0,0,100,
3,0109,3/25/2022 7:30:18 AM ,6588,20.908,20.688,0.219,0.0,5296,0.061,0.245,0.184,0.0,0.804,31.7,0.898,75.00,STABLE / OPEN,0.08,0.08,0.000,0.000,216,51,424,127,19,0,0.0,0.0,44.5,18.4,16.6,15.0,0,0,100,
4,0109,3/25/2022 7:35:58 AM ,6615,20.908,20.686,0.221,0.0,5475,0.060,0.250,0.190,0.0,0.828,32.0,0.898,75.00,STABLE / OPEN,0.04,0.12,0.000,0.000,435,243,748,459,15,0,0.0,0.0,44.3,17.7,15.6,15.0,0,0,100,
5,0109,3/25/2022 7:41:38 AM ,6319,20.908,20.697,0.211,0.0,5172,0.058,0.238,0.179,0.0,0.819,30.5,0.898,75.00,STABLE / OPEN,0.00,0.12,0.000,0.000,154,11,422,71,0,0,0.0,0.0,44.4,16.9,15.6,15.0,0,0,100,
6,0109,3/25/2022 7:47:18 AM ,6131,20.908,20.703,0.204,0.1,4985,0.057,0.230,0.173,0.0,0.813,29.5,0.898,75.00,STABLE / OPEN,0.05,0.17,0.000,0.000,182,56,554,167,0,0,0.0,0.0,44.5,16.4,15.7,15.0,0,0,100,
7,0109,3/25/2022 7:52:58 AM ,5566,20.908,20.724,0.184,0.1,4262,0.057,0.205,0.148,0.1,0.766,26.5,0.898,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,104,0,638,1,0,0,0.0,0.0,44.2,16.0,15.5,15.0,0,0,100,
8,0109,3/25/2022 7:58:38 AM ,5534,20.908,20.726,0.181,0.1,4049,0.056,0.196,0.141,0.1,0.732,26.1,0.898,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,22,1,1051,24,0,0,0.0,0.0,44.3,15.7,15.6,15.0,0,0,100,
9,0109,3/25/2022 8:04:18 AM ,5411,20.908,20.731,0.176,0.1,3835,0.055,0.188,0.133,0.1,0.709,25.4,0.899,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,17,1,761,9,0,0,0.0,0.0,44.4,15.5,15.5,15.0,0,0,100,
10,0109,3/25/2022 8:09:58 AM ,5364,20.908,20.734,0.174,0.1,3627,0.056,0.182,0.126,0.1,0.676,24.9,0.898,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,0,0,335,8,0,0,0.0,0.0,44.1,15.3,15.4,15.0,0,0,100,
11,0109,3/25/2022 8:15:38 AM ,5277,20.908,20.738,0.170,0.1,3452,0.055,0.174,0.120,0.1,0.654,24.4,0.899,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,5,0,1242,77,0,0,0.0,0.0,44.1,15.2,15.4,15.0,0,0,100,
12,0109,3/25/2022 8:21:18 AM ,5146,20.908,20.742,0.166,0.1,3421,0.054,0.173,0.119,0.1,0.665,23.8,0.899,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,75,1,522,90,0,0,0.0,0.0,44.1,15.1,15.4,15.0,0,0,100,
13,0109,3/25/2022 8:26:58 AM ,5310,20.908,20.737,0.171,0.1,3468,0.054,0.174,0.120,0.1,0.653,24.5,0.898,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,2,0,574,3,0,0,0.0,0.0,44.0,15.0,15.3,15.0,0,0,100,
14,0109,3/25/2022 8:32:38 AM ,5596,20.908,20.726,0.182,0.1,3875,0.054,0.188,0.134,0.1,0.692,26.1,0.899,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,64,17,655,60,0,0,0.0,0.0,44.1,15.0,15.3,15.0,0,0,100,
15,0109,3/25/2022 8:38:18 AM ,6786,20.908,20.685,0.222,0.1,4986,0.054,0.227,0.173,0.1,0.735,32.0,0.899,75.00,STABLE / OPEN,0.03,0.21,0.000,0.000,199,68,651,136,0,0,0.0,0.0,45.1,14.9,15.1,15.0,0,0,100,
16,0109,3/25/2022 8:43:58 AM ,6998,20.908,20.678,0.230,0.2,5257,0.053,0.236,0.182,0.1,0.751,33.2,0.900,75.00,UNSTABLE / OPEN,0.00,0.21,0.000,0.000,63,11,760,37,6,0,0.0,0.0,45.1,14.9,15.2,15.0,0,0,100,
17,0109,3/25/2022 8:49:38 AM ,7217,20.908,20.669,0.239,0.2,5621,0.054,0.249,0.195,0.1,0.779,34.5,0.899,75.00,STABLE / OPEN,0.74,0.95,0.000,0.000,237,81,480,310,0,0,0.0,0.0,45.7,14.9,15.3,15.0,0,0,100,
18,0109,3/25/2022 8:55:18 AM ,7402,20.908,20.661,0.246,0.2,6026,0.054,0.262,0.209,0.1,0.814,35.7,0.900,75.00,STABLE / OPEN,0.03,0.99,0.000,0.000,552,314,863,496,21,0,0.0,0.0,46.1,14.9,15.6,15.0,0,0,100,
19,0109,3/25/2022 9:00:58 AM ,7478,20.908,20.658,0.249,0.2,6114,0.053,0.265,0.212,0.1,0.818,36.1,0.899,75.00,STABLE / OPEN,0.00,0.99,0.000,0.000,569,348,973,605,31,0,0.0,0.0,46.1,14.9,15.6,15.0,0,0,100,
20,0109,3/25/2022 9:06:38 AM ,7125,20.908,20.670,0.237,0.2,5769,0.054,0.254,0.200,0.2,0.810,34.3,0.899,75.00,STABLE / OPEN,0.00,0.99,0.000,0.000,321,106,459,204,21,0,0.0,0.0,46.1,14.9,15.7,15.0,0,0,100,
21,0109,3/25/2022 9:12:18 AM ,6968,20.908,20.674,0.233,0.2,5814,0.054,0.255,0.202,0.2,0.834,33.7,0.899,75.00,STABLE / OPEN,0.09,1.07,0.000,0.000,253,37,219,80,0,0,0.0,0.0,45.6,14.9,15.7,15.0,0,0,100,
22,0109,3/25/2022 9:17:58 AM ,6955,20.908,20.674,0.234,0.2,5972,0.053,0.260,0.207,0.2,0.859,33.9,0.900,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,556,283,736,446,1,0,0.0,0.0,45.6,14.8,15.6,15.0,0,0,100,
23,0109,3/25/2022 9:23:38 AM ,6866,20.908,20.677,0.230,0.2,5769,0.053,0.253,0.200,0.2,0.840,33.3,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,157,12,1713,162,0,0,0.0,0.0,46.4,14.9,15.5,15.0,0,0,100,
24,0109,3/25/2022 9:29:18 AM ,6661,20.908,20.686,0.222,0.3,5413,0.053,0.241,0.188,0.2,0.813,32.1,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,77,2,1786,104,0,0,0.0,0.0,46.1,14.9,15.4,15.0,0,0,100,
25,0109,3/25/2022 9:34:58 AM ,5964,20.908,20.711,0.196,0.3,4518,0.053,0.210,0.157,0.2,0.758,28.3,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,0,0,3744,176,0,0,0.0,0.0,45.6,14.9,15.2,15.0,0,0,100,
26,0109,3/25/2022 9:40:38 AM ,5780,20.908,20.717,0.190,0.3,4368,0.052,0.204,0.151,0.2,0.756,27.4,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,9,0,5421,1475,0,0,0.0,0.0,45.4,14.8,15.1,15.0,0,0,100,
27,0109,3/25/2022 9:46:18 AM ,5691,20.908,20.721,0.186,0.3,4155,0.053,0.197,0.144,0.2,0.730,26.8,0.900,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,0,0,2818,112,0,0,0.0,0.0,45.2,14.8,15.2,15.0,0,0,100,
28,0109,3/25/2022 9:51:58 AM ,5494,20.908,20.727,0.180,0.3,4051,0.051,0.191,0.141,0.2,0.738,25.9,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,0,0,3468,143,0,0,0.0,0.0,44.9,14.8,15.3,15.0,0,0,100,
29,0109,3/25/2022 9:57:38 AM ,5424,20.908,20.730,0.177,0.3,3922,0.053,0.189,0.136,0.2,0.723,25.5,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,47,2,1750,37,0,0,0.0,0.0,44.9,14.8,15.4,15.0,0,0,100,
30,0109,3/25/2022 10:03:18 AM ,5351,20.908,20.733,0.174,0.3,3825,0.052,0.184,0.133,0.2,0.715,25.1,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,2,0,272,11,0,0,0.0,0.0,44.8,14.8,15.5,15.0,0,0,100,
31,0109,3/25/2022 10:08:58 AM ,5283,20.908,20.736,0.172,0.3,3719,0.052,0.181,0.129,0.3,0.704,24.7,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,5,1,19,0,0,0,0.0,0.0,44.6,14.8,15.6,15.0,0,0,100,
32,0109,3/25/2022 10:14:38 AM ,5481,20.908,20.729,0.178,0.3,3895,0.053,0.188,0.135,0.3,0.711,25.7,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,78,0,238,3,0,0,0.0,0.0,44.7,14.8,15.7,15.0,0,0,100,
33,0109,3/25/2022 10:20:18 AM ,5214,20.908,20.738,0.170,0.3,3719,0.052,0.181,0.129,0.3,0.713,24.5,0.899,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,25,0,24,1,0,0,0.0,0.0,44.6,14.8,15.8,15.0,0,0,100,
34,0109,3/25/2022 10:25:58 AM ,5441,20.908,20.730,0.177,0.4,3926,0.052,0.188,0.136,0.3,0.722,25.6,0.900,75.00,STABLE / OPEN,0.00,1.07,0.000,0.000,109,24,1307,255,0,0,0.0,0.0,44.8,14.8,15.6,15.0,0,0,100,
35,0109,3/25/2022 10:31:38 AM ,6283,20.908,20.701,0.207,0.4,4793,0.050,0.216,0.166,0.3,0.763,29.9,0.900,75.00,UNSTABLE / OPEN,0.00,1.07,0.000,0.000,190,12,2430,308,0,0,0.0,0.0,45.4,14.8,15.4,15.0,0,0,100,
36,0109,3/25/2022 10:37:18 AM ,6904,20.908,20.679,0.229,0.4,5438,0.052,0.241,0.189,0.3,0.788,33.0,0.899,75.00,UNSTABLE / OPEN,0.00,1.07,0.000,0.000,42,16,172,48,0,0,0.0,0.0,45.1,14.8,15.3,15.0,0,0,100,
37,0109,3/25/2022 10:42:58 AM ,6914,20.908,20.677,0.231,0.4,5678,0.052,0.249,0.197,0.3,0.821,33.4,0.900,75.00,UNSTABLE / OPEN,0.11,1.18,0.000,0.000,591,342,977,473,2,0,0.0,0.0,45.5,14.8,15.3,15.0,0,0,100,
38,0109,3/25/2022 10:48:38 AM ,6789,20.908,20.680,0.227,0.4,5655,0.052,0.248,0.196,0.3,0.833,32.9,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,535,122,1015,225,18,0,0.0,0.0,46.2,14.8,15.2,15.0,0,0,100,
39,0109,3/25/2022 10:54:18 AM ,6100,20.908,20.705,0.202,0.4,4813,0.052,0.219,0.167,0.3,0.789,29.2,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,86,0,1994,102,0,0,0.0,0.0,45.6,14.8,15.2,15.0,0,0,100,
40,0109,3/25/2022 10:59:58 AM ,5471,20.908,20.728,0.180,0.4,4121,0.052,0.195,0.143,0.3,0.753,26.0,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,0,0,2521,22,0,0,0.0,0.0,45.6,14.8,15.2,15.0,0,0,100,
41,0109,3/25/2022 11:05:38 AM ,5228,20.908,20.737,0.171,0.4,3800,0.053,0.184,0.132,0.3,0.727,24.6,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,1,0,3304,21,0,0,0.0,0.0,45.4,14.8,15.5,15.0,0,0,100,
42,0109,3/25/2022 11:11:18 AM ,5150,20.908,20.740,0.167,0.4,3606,0.052,0.177,0.125,0.3,0.700,24.1,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,0,0,1347,0,0,0,0.0,0.0,45.4,14.8,15.7,15.0,0,0,100,
43,0109,3/25/2022 11:16:58 AM ,5193,20.908,20.739,0.169,0.5,3608,0.052,0.177,0.125,0.3,0.695,24.3,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,25,0,553,16,0,0,0.0,0.0,45.2,14.8,15.8,15.0,0,0,100,
44,0109,3/25/2022 11:22:38 AM ,5270,20.908,20.737,0.171,0.5,3608,0.052,0.178,0.125,0.4,0.685,24.6,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,290,0,1405,8,0,0,0.0,0.0,45.1,14.8,15.6,15.0,0,0,100,
45,0109,3/25/2022 11:28:18 AM ,5444,20.908,20.730,0.178,0.5,3906,0.052,0.187,0.136,0.4,0.717,25.6,0.898,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,27,2,250,5,0,0,0.0,0.0,45.3,14.8,15.5,15.0,0,0,100,
46,0109,3/25/2022 11:33:58 AM ,5241,20.908,20.738,0.169,0.5,3525,0.052,0.174,0.122,0.4,0.673,24.3,0.898,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,1,1,134,0,0,0,0.0,0.0,45.2,14.8,15.4,15.0,0,0,100,
47,0109,3/25/2022 11:39:38 AM ,5254,20.908,20.738,0.170,0.5,3524,0.052,0.174,0.122,0.4,0.671,24.4,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,0,0,98,0,0,0,0.0,0.0,45.1,14.8,15.2,15.0,0,0,100,
48,0109,3/25/2022 11:45:18 AM ,5301,20.908,20.737,0.171,0.5,3525,0.052,0.174,0.122,0.4,0.665,24.6,0.898,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,0,0,30,0,0,0,0.0,0.0,45.0,14.8,15.2,15.0,0,0,100,
49,0109,3/25/2022 11:50:58 AM ,5274,20.908,20.737,0.170,0.5,3526,0.052,0.174,0.122,0.4,0.669,24.5,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,0,0,569,12,0,0,0.0,0.0,45.0,14.8,15.3,15.0,0,0,100,
50,0109,3/25/2022 11:56:38 AM ,6018,20.908,20.710,0.197,0.5,4459,0.052,0.207,0.155,0.4,0.741,28.5,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,0.000,121,26,1154,146,0,0,0.0,0.0,45.8,14.8,15.4,15.0,0,0,100,
51,0109,3/25/2022 12:02:18 PM ,7103,20.908,20.672,0.235,0.5,5607,0.050,0.245,0.194,0.4,0.789,34.0,0.899,75.00,UNSTABLE / OPEN,0.00,1.18,0.000,0.000,474,27,456,101,51,0,0.0,0.0,45.9,14.8,15.5,15.0,0,0,100,
52,0109,3/25/2022 12:07:58 PM ,7480,20.908,20.658,0.249,0.5,6104,0.051,0.263,0.211,0.4,0.816,36.1,0.900,75.00,UNSTABLE / OPEN,0.00,1.18,0.000,0.000,152,44,249,81,98,0,0.0,0.0,45.9,14.8,15.7,15.0,0,0,100,
53,0109,3/25/2022 12:13:38 PM ,7667,20.908,20.650,0.257,0.6,6487,0.052,0.277,0.225,0.4,0.846,37.2,0.900,75.00,STABLE / OPEN,0.19,1.38,0.586,0.586,399,242,602,356,39,0,0.0,0.0,46.1,14.8,15.6,15.0,0,0,100,
