Oxymax CSV File 

CSV Generation Date,3/28/2022 10:03:00 AM 
Experiment Started,3/25/2022 7:15:34 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-25 B6 Temp Decline 15c.CDTA

Group/Cage,0111
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,F8-2
Subject Mass (G), 20 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0111,3/25/2022 7:19:38 AM ,5080,20.908,20.722,0.186,0.0,4500,0.057,0.226,0.169,0.0,0.886,24.9,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,205,57,360,105,1,0,0.0,0.0,39.2,21.6,18.9,15.4,0,0,100,
2,0111,3/25/2022 7:25:18 AM ,4822,20.908,20.734,0.173,0.0,3898,0.062,0.208,0.146,0.0,0.808,23.2,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,156,94,323,195,5,0,0.0,0.0,39.0,21.3,17.6,15.0,0,0,100,
3,0111,3/25/2022 7:30:58 AM ,4091,20.908,20.762,0.145,0.0,3054,0.061,0.176,0.115,0.0,0.747,19.4,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,39.0,20.8,16.5,15.0,0,0,100,
4,0111,3/25/2022 7:36:38 AM ,3919,20.908,20.766,0.141,0.0,3201,0.060,0.180,0.120,0.0,0.817,18.9,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,12,0,30,2,0,0,0.0,0.0,39.4,20.2,15.5,15.0,0,0,100,
5,0111,3/25/2022 7:42:18 AM ,3603,20.908,20.778,0.129,0.0,2866,0.058,0.166,0.107,0.0,0.796,17.3,0.890,75.00,STABLE / OPEN,0.00,0.00,0.357,0.357,146,0,0,0,0,0,0.0,0.0,39.5,19.5,15.5,15.0,0,0,100,
6,0111,3/25/2022 7:47:58 AM ,3542,20.908,20.781,0.127,0.0,2802,0.057,0.162,0.105,0.0,0.791,17.0,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.357,5,0,4,0,0,0,0.0,0.0,39.7,19.0,15.5,15.0,0,0,100,
7,0111,3/25/2022 7:53:38 AM ,3662,20.908,20.777,0.131,0.0,2803,0.057,0.162,0.105,0.0,0.765,17.4,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.357,5,0,3,0,0,0,0.0,0.0,39.7,18.5,15.4,15.0,0,0,100,
8,0111,3/25/2022 7:59:18 AM ,3686,20.908,20.776,0.131,0.1,2823,0.056,0.161,0.106,0.0,0.766,17.5,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.357,72,0,4,0,0,0,0.0,0.0,39.7,18.2,15.4,15.0,0,0,100,
9,0111,3/25/2022 8:04:58 AM ,3589,20.908,20.780,0.128,0.1,2727,0.055,0.158,0.102,0.0,0.760,17.1,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,0.357,34,0,2,0,0,0,0.0,0.0,39.6,18.0,15.3,15.0,0,0,100,
10,0111,3/25/2022 8:10:38 AM ,3731,20.908,20.775,0.133,0.1,2803,0.056,0.161,0.105,0.1,0.751,17.7,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.357,24,0,0,0,0,0,0.0,0.0,39.5,17.8,15.3,15.0,0,0,100,
11,0111,3/25/2022 8:16:18 AM ,3850,20.908,20.771,0.136,0.1,2866,0.055,0.162,0.107,0.1,0.744,18.2,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,0.357,23,0,1,0,0,0,0.0,0.0,39.3,17.6,15.3,15.0,0,0,100,
12,0111,3/25/2022 8:21:58 AM ,4359,20.908,20.752,0.156,0.1,3367,0.054,0.180,0.126,0.1,0.772,20.8,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,0.357,71,12,36,3,0,0,0.0,0.0,39.7,17.5,15.2,15.0,0,0,100,
13,0111,3/25/2022 8:27:38 AM ,5596,20.908,20.708,0.199,0.1,4239,0.054,0.213,0.159,0.1,0.758,26.6,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.357,279,97,336,194,58,0,0.0,0.0,40.6,17.4,15.2,15.0,0,0,100,
14,0111,3/25/2022 8:33:18 AM ,6015,20.908,20.693,0.214,0.1,4611,0.054,0.226,0.173,0.1,0.766,28.6,0.890,75.00,STABLE / OPEN,0.00,0.00,1.492,1.849,381,213,607,427,63,0,0.0,0.0,42.0,17.3,15.1,15.0,0,0,100,
15,0111,3/25/2022 8:38:58 AM ,6106,20.908,20.690,0.218,0.1,4690,0.054,0.229,0.176,0.1,0.768,29.1,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,581,314,627,415,19,0,0.0,0.0,41.9,17.2,15.2,15.0,0,0,100,
16,0111,3/25/2022 8:44:38 AM ,5753,20.908,20.702,0.205,0.1,4495,0.053,0.222,0.168,0.1,0.781,27.5,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,70,34,103,49,1,0,0.0,0.0,41.6,17.2,15.3,15.0,0,0,100,
17,0111,3/25/2022 8:50:18 AM ,5405,20.908,20.714,0.194,0.1,4315,0.054,0.215,0.162,0.1,0.798,25.9,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,435,0,22,1,0,0,0.0,0.0,41.5,17.2,15.5,15.0,0,0,100,
18,0111,3/25/2022 8:55:58 AM ,4594,20.908,20.744,0.163,0.1,3491,0.054,0.185,0.131,0.1,0.760,21.8,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,75,1,9,1,0,0,0.0,0.0,40.9,17.1,15.7,15.0,0,0,100,
19,0111,3/25/2022 9:01:38 AM ,4217,20.908,20.757,0.151,0.2,3304,0.053,0.177,0.124,0.1,0.784,20.2,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,10,0,211,1,0,0,0.0,0.0,40.4,17.1,15.8,15.0,0,0,100,
20,0111,3/25/2022 9:07:18 AM ,4198,20.908,20.757,0.150,0.2,3279,0.054,0.177,0.123,0.1,0.781,20.1,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,9,1,19,2,0,0,0.0,0.0,40.3,17.0,15.7,15.0,0,0,100,
21,0111,3/25/2022 9:12:58 AM ,3946,20.908,20.767,0.140,0.2,2998,0.054,0.166,0.112,0.1,0.760,18.7,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,1,0,3,0,0,0,0.0,0.0,40.1,17.0,15.5,15.0,0,0,100,
22,0111,3/25/2022 9:18:38 AM ,3882,20.908,20.769,0.139,0.2,3012,0.053,0.166,0.113,0.1,0.776,18.5,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,0,0,0,0,0,0,0.0,0.0,39.9,17.0,15.4,15.0,0,0,100,
23,0111,3/25/2022 9:24:18 AM ,3813,20.908,20.772,0.136,0.2,2920,0.053,0.163,0.109,0.1,0.766,18.1,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,0,0,3,0,0,0,0.0,0.0,39.8,17.0,15.3,15.0,0,0,100,
24,0111,3/25/2022 9:29:58 AM ,4009,20.908,20.765,0.142,0.2,3012,0.053,0.166,0.113,0.1,0.751,19.0,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,0,0,3,0,0,0,0.0,0.0,39.6,16.9,15.2,15.0,0,0,100,
25,0111,3/25/2022 9:35:38 AM ,4022,20.908,20.765,0.143,0.2,3024,0.053,0.166,0.113,0.2,0.752,19.1,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,46,0,1,0,0,0,0.0,0.0,39.5,16.9,15.2,15.0,0,0,100,
26,0111,3/25/2022 9:41:18 AM ,3822,20.908,20.771,0.136,0.2,2939,0.052,0.162,0.110,0.2,0.769,18.2,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,339,0,3,0,0,0,0.0,0.0,39.5,17.0,15.2,15.0,0,0,100,
27,0111,3/25/2022 9:46:58 AM ,3986,20.908,20.766,0.141,0.2,2961,0.053,0.164,0.111,0.2,0.743,18.9,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,105,0,4,0,0,0,0.0,0.0,39.3,16.9,15.3,15.0,0,0,100,
28,0111,3/25/2022 9:52:38 AM ,3689,20.908,20.777,0.131,0.2,2753,0.051,0.154,0.103,0.2,0.746,17.5,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,197,0,0,0,0,0,0.0,0.0,39.2,16.9,15.5,15.0,0,0,100,
29,0111,3/25/2022 9:58:18 AM ,3842,20.908,20.771,0.136,0.2,2850,0.053,0.160,0.107,0.2,0.742,18.2,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,0,0,4,0,0,0,0.0,0.0,39.2,16.9,15.6,15.0,0,0,100,
30,0111,3/25/2022 10:03:58 AM ,3842,20.908,20.771,0.137,0.2,2940,0.052,0.162,0.110,0.2,0.765,18.3,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,1.849,1,0,0,0,0,0,0.0,0.0,39.1,16.9,15.7,15.0,0,0,100,
31,0111,3/25/2022 10:09:38 AM ,5052,20.908,20.729,0.178,0.2,3645,0.052,0.189,0.137,0.2,0.722,23.8,0.890,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,1.849,178,76,180,98,44,0,0.0,0.0,40.0,16.9,15.7,15.0,0,0,100,
32,0111,3/25/2022 10:15:18 AM ,6027,20.908,20.693,0.214,0.3,4574,0.053,0.224,0.171,0.2,0.759,28.6,0.890,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,1.849,292,38,177,56,40,0,0.0,0.0,40.5,16.9,15.7,15.0,0,0,100,
33,0111,3/25/2022 10:20:58 AM ,6600,20.908,20.671,0.236,0.3,5248,0.052,0.248,0.196,0.2,0.795,31.6,0.891,75.00,STABLE / OPEN,0.19,0.19,0.000,1.849,408,239,530,344,105,0,0.0,0.0,40.8,16.9,15.6,15.0,0,0,100,
34,0111,3/25/2022 10:26:38 AM ,6614,20.908,20.670,0.238,0.3,5324,0.052,0.251,0.199,0.2,0.805,31.8,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,399,227,537,251,46,0,0.0,0.0,40.5,16.9,15.4,15.0,0,0,100,
35,0111,3/25/2022 10:32:18 AM ,5489,20.908,20.710,0.197,0.3,4426,0.050,0.216,0.166,0.2,0.806,26.4,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,119,0,138,1,0,0,0.0,0.0,40.0,16.9,15.2,15.0,0,0,100,
36,0111,3/25/2022 10:37:58 AM ,5381,20.908,20.714,0.194,0.3,4383,0.052,0.217,0.164,0.2,0.814,25.9,0.890,75.00,UNSTABLE / OPEN,0.00,0.19,0.000,1.849,649,303,543,361,0,0,0.0,0.0,40.3,16.9,15.2,15.0,0,0,100,
37,0111,3/25/2022 10:43:38 AM ,5910,20.908,20.694,0.214,0.3,4928,0.052,0.236,0.184,0.2,0.834,28.6,0.891,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,489,258,499,259,32,0,0.0,0.0,40.2,16.9,15.1,15.0,0,0,100,
38,0111,3/25/2022 10:49:18 AM ,4833,20.908,20.734,0.174,0.3,3924,0.052,0.199,0.147,0.2,0.812,23.3,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,2,1,10,0,0,0,0.0,0.0,39.7,16.9,15.2,15.0,0,0,100,
39,0111,3/25/2022 10:54:58 AM ,4417,20.908,20.750,0.157,0.3,3346,0.052,0.177,0.125,0.3,0.757,21.0,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,3,0,5,0,0,0,0.0,0.0,39.5,16.9,15.4,15.0,0,0,100,
40,0111,3/25/2022 11:00:38 AM ,4115,20.908,20.759,0.148,0.3,3359,0.052,0.178,0.126,0.3,0.816,19.8,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,40,1,5,0,0,0,0.0,0.0,39.4,16.9,15.4,15.0,0,0,100,
41,0111,3/25/2022 11:06:18 AM ,4065,20.908,20.761,0.146,0.3,3311,0.053,0.177,0.124,0.3,0.815,19.6,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,10,1,2,0,0,0,0.0,0.0,39.3,16.9,15.7,15.0,0,0,100,
42,0111,3/25/2022 11:11:58 AM ,3949,20.908,20.765,0.142,0.4,3224,0.052,0.173,0.121,0.3,0.816,19.0,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,69,2,4,0,0,0,0.0,0.0,39.3,16.8,15.7,15.0,0,0,100,
43,0111,3/25/2022 11:17:38 AM ,3876,20.908,20.768,0.139,0.4,3115,0.052,0.168,0.117,0.3,0.804,18.6,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,49,2,9,0,0,0,0.0,0.0,39.2,16.9,15.6,15.0,0,0,100,
44,0111,3/25/2022 11:23:18 AM ,4385,20.908,20.751,0.156,0.4,3365,0.052,0.179,0.126,0.3,0.768,20.9,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,45,12,79,11,0,0,0.0,0.0,39.2,16.9,15.4,15.0,0,0,100,
45,0111,3/25/2022 11:28:58 AM ,3990,20.908,20.764,0.144,0.4,3223,0.052,0.173,0.121,0.3,0.808,19.2,0.889,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,4,0,26,0,0,0,0.0,0.0,39.0,16.8,15.3,15.0,0,0,100,
46,0111,3/25/2022 11:34:38 AM ,4241,20.908,20.755,0.152,0.4,3397,0.052,0.179,0.127,0.3,0.801,20.4,0.889,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,15,4,50,2,0,0,0.0,0.0,39.2,16.8,15.2,15.0,0,0,100,
47,0111,3/25/2022 11:40:18 AM ,3803,20.908,20.771,0.136,0.4,3032,0.052,0.166,0.114,0.3,0.797,18.2,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,43,0,325,2,0,0,0.0,0.0,39.0,16.9,15.2,15.0,0,0,100,
48,0111,3/25/2022 11:45:58 AM ,3684,20.908,20.775,0.132,0.4,2922,0.052,0.162,0.109,0.3,0.793,17.7,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,20,0,95,2,0,0,0.0,0.0,39.0,16.9,15.3,15.0,0,0,100,
49,0111,3/25/2022 11:51:38 AM ,3724,20.908,20.774,0.134,0.4,2968,0.052,0.163,0.111,0.3,0.797,17.9,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,49,0,240,5,0,0,0.0,0.0,39.1,16.9,15.4,15.0,0,0,100,
50,0111,3/25/2022 11:57:18 AM ,4891,20.908,20.733,0.175,0.4,3807,0.052,0.195,0.143,0.3,0.778,23.3,0.890,75.00,STABLE / OPEN,0.00,0.19,0.000,1.849,183,2,329,13,0,0,0.0,0.0,40.5,16.9,15.6,15.0,0,0,100,
51,0111,3/25/2022 12:02:58 PM ,5887,20.908,20.696,0.211,0.4,4740,0.050,0.228,0.177,0.3,0.805,28.3,0.890,75.00,UNSTABLE / OPEN,0.00,0.19,0.000,1.849,531,183,419,183,20,0,0.0,0.0,40.8,16.9,15.8,15.0,0,0,100,
52,0111,3/25/2022 12:08:38 PM ,6275,20.908,20.681,0.227,0.4,5220,0.051,0.247,0.195,0.3,0.832,30.4,0.891,75.00,STABLE / OPEN,0.14,0.33,0.000,1.849,311,143,336,223,97,0,0.0,0.0,41.6,16.9,15.6,15.0,0,0,100,
53,0111,3/25/2022 12:14:18 PM ,6443,20.908,20.675,0.232,0.4,5308,0.052,0.251,0.199,0.4,0.824,31.1,0.890,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,1.849,416,151,472,296,63,0,0.0,0.0,41.7,16.9,15.5,15.0,0,0,100,
