Oxymax CSV File 

CSV Generation Date,3/28/2022 10:06:09 AM 
Experiment Started,3/26/2022 7:20:17 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-26 B6 Temp Decline 10C.CDTA

Group/Cage,0101
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,0
Subject Mass (G), 29.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,3/26/2022 7:20:59 AM ,4844,20.902,20.652,0.250,0.0,3980,0.063,0.276,0.214,0.0,0.822,23.4,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,46,1,0,0.0,0.0,0.0,54.5,15.9,14.0,10.0,0,0,100,
2,0101,3/26/2022 7:26:39 AM ,4393,20.902,20.677,0.225,0.0,3440,0.063,0.248,0.185,0.0,0.783,21.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,58,3,0,0.0,0.0,0.0,54.5,15.6,13.0,10.0,0,0,100,
3,0101,3/26/2022 7:32:19 AM ,4241,20.902,20.686,0.216,0.0,3211,0.063,0.235,0.172,0.0,0.757,20.1,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,3,1,12,0,0,0.0,0.0,0.0,54.6,15.0,12.2,10.0,0,0,100,
4,0101,3/26/2022 7:37:59 AM ,4293,20.902,20.683,0.219,0.0,3280,0.062,0.238,0.176,0.0,0.764,20.4,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,5,0,18,1,0,0.0,0.0,0.0,54.9,14.5,12.1,10.0,0,0,100,
5,0101,3/26/2022 7:43:39 AM ,4071,20.902,20.695,0.207,0.0,3054,0.061,0.225,0.164,0.0,0.750,19.3,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,5,0,12,1,0,0.0,0.0,0.0,55.0,13.8,11.0,10.0,0,0,100,
6,0101,3/26/2022 7:49:19 AM ,3863,20.902,20.706,0.196,0.1,2847,0.060,0.213,0.152,0.0,0.737,18.2,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,97,0,17,0,0,0.0,0.0,0.0,55.3,13.3,10.3,10.0,0,0,100,
7,0101,3/26/2022 7:54:59 AM ,4163,20.902,20.691,0.211,0.1,3090,0.060,0.225,0.166,0.1,0.742,19.7,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1,0,37,0,0,0.0,0.0,0.0,55.4,12.8,10.5,10.0,0,0,100,
