Oxymax CSV File 

CSV Generation Date,3/28/2022 10:06:10 AM 
Experiment Started,3/26/2022 7:20:17 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-26 B6 Temp Decline 10C.CDTA

Group/Cage,0103
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,1
Subject Mass (G), 28 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,3/26/2022 7:21:39 AM ,5204,20.902,20.644,0.258,0.0,4530,0.063,0.294,0.231,0.0,0.871,25.4,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,16,1,0,0.0,0.0,0.0,53.1,15.3,13.8,10.0,0,0,100,
2,0103,3/26/2022 7:27:19 AM ,4582,20.902,20.676,0.226,0.0,3810,0.063,0.258,0.194,0.0,0.831,22.2,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,186,0,0,0.0,0.0,0.0,53.4,14.8,13.0,10.0,0,0,100,
3,0103,3/26/2022 7:32:59 AM ,4514,20.902,20.681,0.221,0.0,3691,0.063,0.251,0.188,0.0,0.818,21.8,0.917,75.00,STABLE / OPEN,0.00,0.00,0.053,0.053,8,1,183,14,0,0.0,0.0,0.0,53.6,14.4,12.1,10.0,0,0,100,
4,0103,3/26/2022 7:38:39 AM ,4478,20.902,20.684,0.218,0.0,3565,0.062,0.244,0.182,0.0,0.796,21.5,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.053,393,0,33,4,0,0.0,0.0,0.0,53.7,13.9,11.8,10.0,0,0,100,
5,0103,3/26/2022 7:44:19 AM ,4609,20.902,20.677,0.225,0.0,3646,0.061,0.247,0.186,0.0,0.791,22.1,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.053,65,0,54,1,0,0.0,0.0,0.0,54.0,13.3,10.9,10.0,0,0,100,
6,0103,3/26/2022 7:49:59 AM ,4508,20.902,20.683,0.219,0.1,3500,0.060,0.238,0.178,0.0,0.776,21.5,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.053,103,0,53,0,0,0.0,0.0,0.0,54.0,12.7,10.3,10.0,0,0,100,
7,0103,3/26/2022 7:55:39 AM ,4227,20.902,20.697,0.205,0.1,3202,0.060,0.223,0.163,0.1,0.758,20.1,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.053,23,0,58,0,0,0.0,0.0,0.0,54.0,12.2,10.5,10.0,0,0,100,
