Oxymax CSV File 

CSV Generation Date,3/28/2022 10:06:19 AM 
Experiment Started,3/26/2022 7:20:17 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-26 B6 Temp Decline 10C.CDTA

Group/Cage,0115
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,
Subject Mass (G), 18.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0115,3/26/2022 7:25:39 AM ,7143,20.902,20.665,0.237,0.0,5849,0.063,0.265,0.202,0.0,0.819,34.5,0.893,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,206,97,1644,212,2,0.0,0.0,0.0,51.6,14.0,13.2,10.0,0,0,100,
2,0115,3/26/2022 7:31:19 AM ,6900,20.902,20.674,0.228,0.0,5425,0.063,0.251,0.187,0.0,0.786,33.0,0.893,75.00,STABLE / OPEN,0.04,0.04,0.000,0.000,410,227,3046,551,52,0.0,0.0,0.0,52.0,13.3,12.4,10.0,0,0,100,
3,0115,3/26/2022 7:36:59 AM ,6685,20.902,20.682,0.220,0.0,5141,0.063,0.241,0.178,0.0,0.769,31.8,0.892,75.00,STABLE / OPEN,0.00,0.04,0.000,0.000,239,139,2569,295,4,0.0,0.0,0.0,52.8,12.5,13.1,10.0,0,0,100,
4,0115,3/26/2022 7:42:39 AM ,6851,20.902,20.677,0.225,0.0,5274,0.062,0.245,0.182,0.0,0.770,32.6,0.893,75.00,STABLE / OPEN,0.06,0.10,0.000,0.000,186,94,1830,269,10,0.0,0.0,0.0,53.4,11.8,11.1,10.0,0,0,100,
5,0115,3/26/2022 7:48:19 AM ,7339,20.902,20.661,0.241,0.0,5647,0.061,0.256,0.195,0.0,0.769,35.0,0.893,75.00,UNSTABLE / OPEN,0.00,0.10,0.039,0.039,449,236,1417,498,31,0.0,0.0,0.0,54.2,11.1,10.5,10.0,0,0,100,
6,0115,3/26/2022 7:53:59 AM ,7092,20.902,20.669,0.233,0.1,5485,0.060,0.249,0.189,0.0,0.773,33.8,0.893,75.00,STABLE / OPEN,0.00,0.10,0.000,0.039,175,86,3173,264,14,0.0,0.0,0.0,54.6,10.5,10.7,10.0,0,0,100,
7,0115,3/26/2022 7:59:39 AM ,6532,20.902,20.688,0.214,0.1,4867,0.060,0.228,0.168,0.1,0.745,30.9,0.893,75.00,STABLE / OPEN,0.00,0.10,0.000,0.039,19,6,1105,28,0,0.0,0.0,0.0,54.0,10.1,10.4,10.0,0,0,100,
