Oxymax CSV File 

CSV Generation Date,3/28/2022 10:07:37 AM 
Experiment Started,3/27/2022 7:55:00 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-27 B6 Temp Decline 5C.CDTA

Group/Cage,0101
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,8-1 M
Subject Mass (G), 29 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,3/27/2022 7:55:44 AM ,12169,20.909,20.289,0.620,0.0,10332,0.056,0.599,0.544,0.0,0.849,59.2,0.919,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,38,1,11,1,36,0.0,0.0,0.0,66.7,11.5,14.4,5.0,0,0,100,
2,0101,3/27/2022 8:01:24 AM ,9705,20.909,20.412,0.497,0.0,8300,0.062,0.500,0.438,0.0,0.855,47.3,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,326,123,417,271,60,0.0,0.0,0.0,66.1,11.5,10.7,5.0,0,0,100,
3,0101,3/27/2022 8:07:04 AM ,7925,20.909,20.502,0.406,0.1,6799,0.061,0.420,0.359,0.0,0.858,38.6,0.914,75.00,STABLE / OPEN,0.03,0.03,0.204,0.204,286,117,389,213,3,0.0,0.0,0.0,65.5,11.3,9.7,5.0,0,0,100,
4,0101,3/27/2022 8:12:44 AM ,7037,20.909,20.547,0.362,0.1,6100,0.060,0.383,0.323,0.1,0.867,34.4,0.914,75.00,STABLE / OPEN,0.00,0.03,0.000,0.204,172,91,353,203,2,0.0,0.0,0.0,65.9,11.0,8.9,5.0,0,0,100,
5,0101,3/27/2022 8:18:24 AM ,5851,20.909,20.609,0.299,0.1,4990,0.059,0.323,0.263,0.1,0.853,28.5,0.916,75.00,STABLE / OPEN,0.00,0.03,0.000,0.204,1,1,50,2,0,0.0,0.0,0.0,65.7,10.6,8.3,5.0,0,0,100,
6,0101,3/27/2022 8:24:04 AM ,4993,20.909,20.654,0.254,0.1,4135,0.058,0.276,0.218,0.1,0.828,24.1,0.915,75.00,STABLE / OPEN,0.00,0.03,0.000,0.204,0,0,2,0,0,0.0,0.0,0.0,65.7,10.1,7.8,5.0,0,0,100,
7,0101,3/27/2022 8:29:44 AM ,4750,20.909,20.669,0.240,0.1,3758,0.059,0.258,0.198,0.1,0.791,22.8,0.916,75.00,STABLE / OPEN,0.00,0.03,0.000,0.204,0,0,0,0,0,0.0,0.0,0.0,65.8,9.6,7.4,5.0,0,0,100,
