Oxymax CSV File 

CSV Generation Date,3/28/2022 10:07:40 AM 
Experiment Started,3/27/2022 7:55:00 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-27 B6 Temp Decline 5C.CDTA

Group/Cage,0105
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,16-M
Subject Mass (G), 30.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0105,3/27/2022 7:57:04 AM ,8656,20.909,20.446,0.463,0.0,7064,0.056,0.449,0.393,0.0,0.816,41.7,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,45,4,35,4,0,0.0,0.0,0.0,66.5,9.3,12.3,5.0,0,0,100,
2,0105,3/27/2022 8:02:44 AM ,7242,20.909,20.523,0.386,0.0,5744,0.062,0.382,0.320,0.0,0.793,34.7,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,4,0,58,6,0,0.0,0.0,0.0,65.9,9.0,10.4,5.0,0,0,100,
3,0105,3/27/2022 8:08:24 AM ,6280,20.909,20.573,0.335,0.0,4995,0.061,0.339,0.279,0.0,0.796,30.1,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,53,30,120,33,7,0.0,0.0,0.0,66.9,8.4,9.5,5.0,0,0,100,
4,0105,3/27/2022 8:14:04 AM ,5669,20.909,20.607,0.302,0.1,4418,0.060,0.307,0.247,0.0,0.779,27.1,0.917,75.00,STABLE / OPEN,0.00,0.00,0.042,0.042,0,0,15,0,0,0.0,0.0,0.0,67.5,7.8,8.8,5.0,0,0,100,
5,0105,3/27/2022 8:19:44 AM ,5407,20.909,20.622,0.287,0.1,4147,0.059,0.291,0.231,0.1,0.767,25.7,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.042,0,0,4,0,0,0.0,0.0,0.0,68.1,7.2,8.2,5.0,0,0,100,
6,0105,3/27/2022 8:25:24 AM ,5596,20.909,20.612,0.297,0.1,4278,0.058,0.296,0.239,0.1,0.764,26.6,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.042,32,1,31,4,0,0.0,0.0,0.0,68.9,6.7,7.7,5.0,0,0,100,
7,0105,3/27/2022 8:31:04 AM ,5718,20.909,20.607,0.302,0.1,4289,0.059,0.298,0.239,0.1,0.750,27.1,0.919,75.00,STABLE / OPEN,0.00,0.00,0.049,0.091,21,2,56,8,0,0.0,0.0,0.0,69.4,6.2,7.3,5.0,0,0,100,
