Oxymax CSV File 

CSV Generation Date,3/28/2022 10:07:42 AM 
Experiment Started,3/27/2022 7:55:00 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-27 B6 Temp Decline 5C.CDTA

Group/Cage,0107
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,16-4 M
Subject Mass (G), 28.6 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,3/27/2022 7:57:44 AM ,13711,20.909,20.208,0.701,0.0,11608,0.056,0.669,0.613,0.0,0.847,66.6,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,10,1,95,3,0,0.0,0.0,0.0,61.7,10.7,11.9,5.0,0,0,100,
2,0107,3/27/2022 8:03:24 AM ,10573,20.909,20.370,0.538,0.0,8727,0.062,0.523,0.461,0.0,0.825,51.1,0.902,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,124,23,112,34,36,0.0,0.0,0.0,61.3,10.8,10.3,5.0,0,0,100,
3,0107,3/27/2022 8:09:04 AM ,8739,20.909,20.464,0.444,0.1,7149,0.061,0.439,0.378,0.0,0.818,42.1,0.902,75.00,STABLE / OPEN,0.17,0.17,0.000,0.000,55,24,173,62,69,0.0,0.0,0.0,61.0,10.4,9.5,5.0,0,0,100,
4,0107,3/27/2022 8:14:44 AM ,6946,20.909,20.556,0.353,0.1,5647,0.060,0.359,0.299,0.1,0.813,33.5,0.901,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,4,0,890,19,0,0.0,0.0,0.0,60.7,10.1,8.7,5.0,0,0,100,
5,0107,3/27/2022 8:20:24 AM ,5827,20.909,20.613,0.296,0.1,4750,0.059,0.310,0.251,0.1,0.815,28.1,0.902,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,0,0,0,0,0,0.0,0.0,0.0,60.8,9.7,8.2,5.0,0,0,100,
6,0107,3/27/2022 8:26:04 AM ,5147,20.909,20.646,0.262,0.1,4257,0.058,0.283,0.225,0.1,0.827,24.9,0.901,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,0,0,0,0,0,0.0,0.0,0.0,60.9,9.2,7.6,5.0,0,0,100,
7,0107,3/27/2022 8:31:44 AM ,4889,20.909,20.661,0.248,0.1,3919,0.059,0.266,0.207,0.1,0.802,23.5,0.902,75.00,STABLE / OPEN,0.00,0.17,0.000,0.000,0,0,0,0,0,0.0,0.0,0.0,61.0,8.8,7.2,5.0,0,0,100,
