Oxymax CSV File 

CSV Generation Date,3/28/2022 10:07:45 AM 
Experiment Started,3/27/2022 7:55:00 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-27 B6 Temp Decline 5C.CDTA

Group/Cage,0111
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,8-2 F
Subject Mass (G), 20.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0111,3/27/2022 7:59:04 AM ,16922,20.909,20.280,0.629,0.0,15097,0.056,0.629,0.574,0.0,0.892,83.2,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,200,96,278,153,31,0.0,0.0,0.0,60.1,12.6,11.3,5.0,0,0,100,
2,0111,3/27/2022 8:04:44 AM ,12082,20.909,20.461,0.448,0.0,10606,0.062,0.465,0.403,0.0,0.878,59.2,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,30,1,206,27,0,0.0,0.0,0.0,59.0,12.6,10.1,5.0,0,0,100,
3,0111,3/27/2022 8:10:24 AM ,9638,20.909,20.551,0.358,0.0,8499,0.061,0.384,0.324,0.0,0.882,47.2,0.888,75.00,STABLE / OPEN,0.05,0.05,0.000,0.000,343,49,121,52,0,0.0,0.0,0.0,59.3,12.3,9.2,5.0,0,0,100,
4,0111,3/27/2022 8:16:04 AM ,7694,20.909,20.622,0.286,0.1,6833,0.060,0.320,0.260,0.1,0.888,37.8,0.888,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,1,0,0,0,0,0.0,0.0,0.0,58.9,12.0,8.6,5.0,0,0,100,
5,0111,3/27/2022 8:21:44 AM ,6735,20.909,20.659,0.250,0.1,5898,0.059,0.284,0.225,0.1,0.876,33.0,0.889,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,0,0,0,0,0,0.0,0.0,0.0,59.3,11.5,8.0,5.0,0,0,100,
6,0111,3/27/2022 8:27:24 AM ,6031,20.909,20.685,0.223,0.1,5217,0.058,0.257,0.199,0.1,0.865,29.4,0.888,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,37,0,36,1,0,0.0,0.0,0.0,59.3,11.1,7.6,5.0,0,0,100,
7,0111,3/27/2022 8:33:04 AM ,5732,20.909,20.698,0.210,0.1,4739,0.059,0.240,0.181,0.1,0.827,27.7,0.888,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,66,3,0,0,0,0.0,0.0,0.0,59.4,10.6,7.1,5.0,0,0,100,
