Oxymax CSV File 

CSV Generation Date,3/28/2022 10:07:48 AM 
Experiment Started,3/27/2022 7:55:00 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-27 B6 Temp Decline 5C.CDTA

Group/Cage,0116
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,16-4 F
Subject Mass (G), 23 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0116,3/27/2022 8:00:44 AM ,12976,20.909,20.369,0.539,0.0,11493,0.056,0.545,0.489,0.0,0.886,63.7,0.900,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,125,43,427,79,24,0.0,0.0,0.0,63.9,10.1,10.9,5.0,0,0,100,
2,0116,3/27/2022 8:06:24 AM ,10514,20.909,20.473,0.436,0.0,9080,0.062,0.449,0.388,0.0,0.864,51.3,0.898,75.00,STABLE / OPEN,0.20,0.20,0.084,0.084,554,157,960,280,0,0.0,0.0,0.0,65.0,9.4,9.8,5.0,0,0,100,
3,0116,3/27/2022 8:12:04 AM ,8390,20.909,20.560,0.349,0.0,7317,0.061,0.373,0.312,0.0,0.872,41.0,0.898,75.00,STABLE / OPEN,0.00,0.20,0.000,0.084,129,34,660,99,0,0.0,0.0,0.0,65.6,8.6,8.9,5.0,0,0,100,
4,0116,3/27/2022 8:17:44 AM ,7466,20.909,20.598,0.310,0.1,6534,0.060,0.339,0.279,0.1,0.875,36.5,0.898,75.00,STABLE / OPEN,0.00,0.20,0.000,0.084,161,15,518,34,0,0.0,0.0,0.0,66.5,8.0,8.4,5.0,0,0,100,
5,0116,3/27/2022 8:23:24 AM ,6956,20.909,20.621,0.287,0.1,5889,0.059,0.311,0.251,0.1,0.847,33.8,0.898,75.00,STABLE / OPEN,0.00,0.20,0.000,0.084,532,2,257,12,0,0.0,0.0,0.0,67.1,7.4,7.8,5.0,0,0,100,
6,0116,3/27/2022 8:29:04 AM ,7345,20.909,20.606,0.303,0.1,6224,0.058,0.323,0.265,0.1,0.847,35.7,0.899,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,0.084,286,34,1075,177,46,0.0,0.0,0.0,68.5,6.9,7.4,5.0,0,0,100,
7,0116,3/27/2022 8:34:44 AM ,7995,20.909,20.579,0.330,0.1,6760,0.059,0.348,0.288,0.1,0.845,38.8,0.899,75.00,STABLE / OPEN,0.19,0.39,0.000,0.084,289,14,105,37,115,0.0,0.0,0.0,69.2,6.4,7.1,5.0,0,0,100,
