Oxymax CSV File 

CSV Generation Date,10/10/2022 8:55:25 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0104
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,WT ETOH1
Subject Mass (G), 25.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,7/25/2022 5:15:44 PM ,16458,20.921,20.179,0.742,0.0,15011,0.061,0.751,0.689,0.0,0.912,81.3,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,238,145,232,150,50,0.0,0.0,0.0,40.1,23.6,22.9,22.2,0,0,100,
2,0104,7/25/2022 5:21:24 PM ,11059,20.921,20.424,0.497,0.0,9880,0.066,0.520,0.454,0.0,0.893,54.4,0.910,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,589,307,850,438,96,0.0,0.0,0.0,40.3,23.7,22.8,22.2,0,0,100,
3,0104,7/25/2022 5:27:04 PM ,8060,20.921,20.561,0.360,0.1,7036,0.064,0.388,0.323,0.0,0.873,39.4,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,651,229,540,316,26,0.0,0.0,0.0,40.0,23.7,22.8,22.2,0,0,100,
4,0104,7/25/2022 5:32:44 PM ,6279,20.921,20.640,0.281,0.1,5467,0.061,0.312,0.251,0.1,0.871,30.7,0.910,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,288,75,185,49,0,0.0,0.0,0.0,40.2,23.7,22.7,22.2,0,0,100,
5,0104,7/25/2022 5:38:24 PM ,4777,20.921,20.709,0.212,0.1,3997,0.059,0.243,0.184,0.1,0.837,23.1,0.909,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,10,2,0,0.0,0.0,0.0,39.5,23.7,22.7,22.2,0,0,100,
6,0104,7/25/2022 5:44:04 PM ,3911,20.921,20.750,0.172,0.1,3074,0.058,0.199,0.141,0.1,0.786,18.7,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,37,23,66,39,0,0.0,0.0,0.0,39.4,23.7,22.6,22.2,0,0,100,
7,0104,7/25/2022 5:49:44 PM ,3607,20.921,20.765,0.156,0.1,2608,0.057,0.177,0.120,0.1,0.723,17.0,0.910,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,6,1,0,0.0,0.0,0.0,39.3,23.7,22.5,22.2,0,0,100,
