Oxymax CSV File 

CSV Generation Date,10/10/2022 8:55:39 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0106
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,KO MC9032
Subject Mass (G), 21 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0106,7/25/2022 5:16:24 PM ,13682,20.921,20.413,0.509,0.0,11206,0.061,0.494,0.433,0.0,0.819,66.0,0.906,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,40,22,75,41,19,0.0,0.0,0.0,43.1,22.7,22.8,22.2,0,0,100,
2,0106,7/25/2022 5:22:04 PM ,9665,20.921,20.562,0.359,0.0,7827,0.066,0.368,0.303,0.0,0.810,46.5,0.905,75.00,STABLE / OPEN,0.05,0.05,0.000,0.000,266,45,576,135,3,0.0,0.0,0.0,43.2,22.7,22.9,22.2,0,0,100,
3,0106,7/25/2022 5:27:44 PM ,7546,20.921,20.642,0.280,0.0,6106,0.064,0.300,0.236,0.0,0.809,36.3,0.907,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,19,0,291,21,0,0.0,0.0,0.0,43.2,22.7,22.9,22.2,0,0,100,
4,0106,7/25/2022 5:33:24 PM ,6311,20.921,20.687,0.235,0.1,5151,0.061,0.260,0.199,0.0,0.816,30.4,0.906,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,122,0,71,18,0,0.0,0.0,0.0,43.3,22.6,22.9,22.2,0,0,100,
5,0106,7/25/2022 5:39:04 PM ,5258,20.921,20.727,0.194,0.1,4162,0.059,0.220,0.161,0.1,0.792,25.2,0.905,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,4,0,9,4,0,0.0,0.0,0.0,42.9,22.6,22.8,22.2,0,0,100,
6,0106,7/25/2022 5:44:44 PM ,4779,20.921,20.746,0.176,0.1,3676,0.058,0.200,0.142,0.1,0.769,22.8,0.906,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,13,1,43,6,0,0.0,0.0,0.0,43.0,22.5,22.7,22.2,0,0,100,
7,0106,7/25/2022 5:50:24 PM ,5260,20.921,20.728,0.193,0.1,4039,0.057,0.213,0.156,0.1,0.768,25.0,0.905,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,139,24,361,74,0,0.0,0.0,0.0,43.6,22.5,22.6,22.2,0,0,100,
