Oxymax CSV File 

CSV Generation Date,10/10/2022 8:55:46 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0107
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,KO ETOH2
Subject Mass (G), 28.8 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,7/25/2022 5:16:44 PM ,12028,20.921,20.306,0.615,0.0,9706,0.061,0.579,0.518,0.0,0.807,57.8,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,221,100,284,135,1,0.0,0.0,0.0,41.9,23.2,22.7,22.2,0,0,100,
2,0107,7/25/2022 5:22:24 PM ,8920,20.921,20.467,0.455,0.0,7008,0.066,0.440,0.374,0.0,0.786,42.7,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,415,114,539,248,5,0.0,0.0,0.0,41.9,23.1,22.8,22.2,0,0,100,
3,0107,7/25/2022 5:28:04 PM ,6728,20.921,20.580,0.342,0.0,5210,0.064,0.342,0.278,0.0,0.774,32.1,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,197,22,265,50,0,0.0,0.0,0.0,41.8,23.1,22.8,22.2,0,0,100,
4,0107,7/25/2022 5:33:44 PM ,4951,20.921,20.670,0.251,0.1,3795,0.061,0.264,0.203,0.1,0.766,23.6,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,4,1,143,2,0,0.0,0.0,0.0,41.7,23.1,22.9,22.2,0,0,100,
5,0107,7/25/2022 5:39:24 PM ,3943,20.921,20.722,0.199,0.1,2914,0.059,0.215,0.156,0.1,0.739,18.6,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,36,3,45,7,0,0.0,0.0,0.0,41.8,23.1,22.8,22.2,0,0,100,
6,0107,7/25/2022 5:45:04 PM ,3244,20.921,20.759,0.162,0.1,2245,0.058,0.177,0.120,0.1,0.692,15.1,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,3,1,9,0,0,0.0,0.0,0.0,41.6,23.0,22.8,22.2,0,0,100,
7,0107,7/25/2022 5:50:44 PM ,2893,20.921,20.775,0.146,0.1,2127,0.057,0.170,0.114,0.1,0.735,13.7,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,17,2,23,0,0,0.0,0.0,0.0,41.5,23.0,22.7,22.2,0,0,100,
