Oxymax CSV File 

CSV Generation Date,10/10/2022 8:55:53 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0108
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,WT MC9033
Subject Mass (G), 22.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0108,7/25/2022 5:17:04 PM ,6327,20.921,20.672,0.250,0.0,5142,0.061,0.273,0.211,0.0,0.813,30.5,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,266,127,634,437,38,0.0,0.0,0.0,39.0,23.6,22.6,22.2,0,0,100,
2,0108,7/25/2022 5:22:44 PM ,6224,20.921,20.676,0.245,0.0,4948,0.066,0.269,0.203,0.0,0.795,29.8,0.904,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,451,103,893,458,19,0.0,0.0,0.0,39.6,23.6,22.7,22.2,0,0,100,
3,0108,7/25/2022 5:28:24 PM ,6052,20.921,20.686,0.236,0.0,4558,0.064,0.252,0.187,0.0,0.753,28.7,0.905,75.00,UNSTABLE / OPEN,0.06,0.06,0.111,0.111,427,182,875,493,32,0.0,0.0,0.0,39.0,23.7,22.7,22.2,0,0,100,
4,0108,7/25/2022 5:34:04 PM ,5603,20.921,20.703,0.219,0.0,4265,0.061,0.236,0.175,0.0,0.761,26.6,0.904,75.00,STABLE / OPEN,0.00,0.06,0.000,0.111,131,23,319,55,2,0.0,0.0,0.0,39.5,23.7,22.8,22.2,0,0,100,
5,0108,7/25/2022 5:39:44 PM ,5476,20.921,20.709,0.212,0.1,4011,0.059,0.224,0.165,0.0,0.732,25.8,0.904,75.00,STABLE / OPEN,0.06,0.12,0.000,0.111,1,1,244,9,0,0.0,0.0,0.0,40.2,23.7,22.9,22.2,0,0,100,
6,0108,7/25/2022 5:45:24 PM ,5724,20.921,20.700,0.222,0.1,4174,0.058,0.229,0.171,0.0,0.729,27.0,0.905,75.00,STABLE / OPEN,0.00,0.12,0.000,0.111,189,95,464,216,10,0.0,0.0,0.0,40.2,23.7,22.9,22.2,0,0,100,
7,0108,7/25/2022 5:51:04 PM ,5741,20.921,20.700,0.222,0.1,4070,0.057,0.224,0.167,0.1,0.709,26.9,0.905,75.00,STABLE / OPEN,0.00,0.12,0.104,0.215,294,118,559,286,90,0.0,0.0,0.0,40.1,23.7,22.7,22.2,0,0,100,
