Oxymax CSV File 

CSV Generation Date,10/10/2022 8:56:00 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0109
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,KO MC9033
Subject Mass (G), 23.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0109,7/25/2022 5:17:24 PM ,9436,20.921,20.530,0.391,0.0,7314,0.061,0.380,0.318,0.0,0.775,45.0,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,323,165,480,280,15,0.0,0.0,0.0,39.8,22.5,22.5,22.2,0,0,100,
2,0109,7/25/2022 5:23:04 PM ,7297,20.921,20.620,0.301,0.0,5489,0.066,0.305,0.239,0.0,0.752,34.6,0.899,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,177,18,356,80,10,0.0,0.0,0.0,40.3,22.5,22.6,22.2,0,0,100,
3,0109,7/25/2022 5:28:44 PM ,6310,20.921,20.663,0.259,0.0,4550,0.064,0.263,0.198,0.0,0.721,29.7,0.900,75.00,STABLE / OPEN,0.04,0.04,0.000,0.000,359,169,410,186,24,0.0,0.0,0.0,40.0,22.5,22.6,22.2,0,0,100,
4,0109,7/25/2022 5:34:24 PM ,5894,20.921,20.679,0.242,0.0,4275,0.061,0.247,0.186,0.0,0.725,27.8,0.899,75.00,STABLE / OPEN,0.03,0.07,0.000,0.000,432,245,675,341,10,0.0,0.0,0.0,40.0,22.5,22.8,22.2,0,0,100,
5,0109,7/25/2022 5:40:04 PM ,5261,20.921,20.706,0.215,0.1,3752,0.059,0.222,0.163,0.0,0.713,24.7,0.900,75.00,STABLE / OPEN,0.00,0.07,0.000,0.000,77,28,387,110,0,0.0,0.0,0.0,40.1,22.5,22.9,22.2,0,0,100,
6,0109,7/25/2022 5:45:44 PM ,4901,20.921,20.721,0.200,0.1,3500,0.058,0.210,0.152,0.1,0.714,23.0,0.900,75.00,STABLE / OPEN,0.00,0.07,0.000,0.000,18,2,175,31,3,0.0,0.0,0.0,40.6,22.5,22.9,22.2,0,0,100,
7,0109,7/25/2022 5:51:24 PM ,4305,20.921,20.747,0.175,0.1,2876,0.057,0.182,0.125,0.1,0.668,20.0,0.899,75.00,STABLE / OPEN,0.00,0.07,0.000,0.000,0,0,15,0,0,0.0,0.0,0.0,40.0,22.4,22.8,22.2,0,0,100,
