Oxymax CSV File 

CSV Generation Date,10/10/2022 8:55:11 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0102
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,WT MC9031
Subject Mass (G), 22 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0102,7/25/2022 5:15:04 PM ,9293,20.921,20.555,0.367,0.0,8187,0.061,0.393,0.331,0.0,0.881,45.5,0.906,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,62,43,125,72,19,0.0,0.0,0.0,37.4,24.0,22.8,22.2,0,0,100,
2,0102,7/25/2022 5:20:44 PM ,7437,20.921,20.630,0.291,0.0,6297,0.066,0.320,0.255,0.0,0.847,36.1,0.907,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,364,189,710,426,55,0.0,0.0,0.0,37.3,24.0,22.7,22.2,0,0,100,
3,0102,7/25/2022 5:26:24 PM ,6453,20.921,20.670,0.251,0.0,5344,0.064,0.280,0.216,0.0,0.828,31.2,0.908,75.00,STABLE / OPEN,0.13,0.13,0.000,0.000,404,221,746,417,41,0.0,0.0,0.0,37.2,24.0,22.7,22.2,0,0,100,
4,0102,7/25/2022 5:32:04 PM ,5819,20.921,20.693,0.228,0.0,4969,0.061,0.262,0.201,0.0,0.854,28.3,0.906,75.00,STABLE / OPEN,0.03,0.16,0.000,0.000,327,119,578,262,31,0.0,0.0,0.0,37.8,24.1,22.6,22.2,0,0,100,
5,0102,7/25/2022 5:37:44 PM ,5486,20.921,20.707,0.215,0.1,4627,0.059,0.246,0.187,0.0,0.843,26.6,0.906,75.00,STABLE / OPEN,0.00,0.16,0.000,0.000,330,130,545,282,21,0.0,0.0,0.0,37.7,24.1,22.5,22.2,0,0,100,
6,0102,7/25/2022 5:43:24 PM ,5209,20.921,20.718,0.203,0.1,4349,0.058,0.234,0.176,0.1,0.835,25.2,0.906,75.00,UNSTABLE / OPEN,0.00,0.16,0.000,0.000,400,213,908,577,63,0.0,0.0,0.0,37.5,24.1,22.5,22.2,0,0,100,
7,0102,7/25/2022 5:49:04 PM ,5160,20.921,20.720,0.201,0.1,4271,0.057,0.229,0.173,0.1,0.828,24.9,0.907,75.00,STABLE / OPEN,0.08,0.24,0.086,0.086,383,180,689,432,102,0.0,0.0,0.0,37.8,24.1,22.4,22.2,0,0,100,
