Oxymax CSV File 

CSV Generation Date,10/10/2022 8:55:32 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0105
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,WT MC9032
Subject Mass (G), 24.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0105,7/25/2022 5:16:04 PM ,7478,20.921,20.603,0.318,0.0,6431,0.061,0.343,0.282,0.0,0.860,36.5,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,322,197,414,260,16,0.0,0.0,0.0,40.6,22.0,22.9,22.2,0,0,100,
2,0105,7/25/2022 5:21:44 PM ,6659,20.921,20.640,0.281,0.0,5456,0.066,0.305,0.239,0.0,0.819,32.1,0.916,75.00,STABLE / OPEN,0.06,0.06,0.000,0.000,993,539,1470,951,67,0.0,0.0,0.0,40.6,21.9,22.9,22.2,0,0,100,
3,0105,7/25/2022 5:27:24 PM ,6282,20.921,20.657,0.264,0.0,5065,0.064,0.286,0.222,0.0,0.806,30.2,0.917,75.00,STABLE / OPEN,0.00,0.06,0.000,0.000,935,501,1331,890,90,0.0,0.0,0.0,40.8,21.8,22.9,22.2,0,0,100,
4,0105,7/25/2022 5:33:04 PM ,6083,20.921,20.664,0.257,0.0,4982,0.061,0.280,0.219,0.0,0.819,29.3,0.916,75.00,STABLE / OPEN,0.04,0.10,0.000,0.000,833,488,1204,821,66,0.0,0.0,0.0,40.7,21.8,22.8,22.2,0,0,100,
5,0105,7/25/2022 5:38:44 PM ,5982,20.921,20.671,0.251,0.1,4718,0.059,0.266,0.207,0.0,0.789,28.6,0.916,75.00,STABLE / OPEN,0.04,0.13,0.000,0.000,782,384,1251,791,24,0.0,0.0,0.0,41.0,21.8,22.7,22.2,0,0,100,
6,0105,7/25/2022 5:44:24 PM ,6002,20.921,20.670,0.251,0.1,4721,0.058,0.264,0.207,0.1,0.787,28.7,0.917,75.00,UNSTABLE / OPEN,0.00,0.13,0.049,0.049,701,412,1181,758,119,0.0,0.0,0.0,41.0,21.8,22.7,22.2,0,0,100,
7,0105,7/25/2022 5:50:04 PM ,6017,20.921,20.670,0.252,0.1,4696,0.057,0.263,0.206,0.1,0.780,28.7,0.916,75.00,UNSTABLE / OPEN,0.07,0.21,0.000,0.049,1038,618,1616,1135,51,0.0,0.0,0.0,40.8,21.7,22.6,22.2,0,0,100,
