Oxymax CSV File 

CSV Generation Date,10/10/2022 8:56:21 AM 
Experiment Started,7/25/2022 5:14:01 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-07-25 Taku HFD MC903 IL4ra KO vs WT.CDTA

Group/Cage,0112
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,WT ETOH3
Subject Mass (G), 25.4 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0112,7/25/2022 5:18:24 PM ,6815,20.921,20.609,0.312,0.0,6098,0.061,0.347,0.286,0.0,0.895,33.5,0.904,75.00,STABLE / OPEN,0.05,0.05,0.000,0.000,79,41,219,76,2,0.0,0.0,0.0,38.5,23.8,22.3,22.2,0,0,100,
2,0112,7/25/2022 5:24:04 PM ,5368,20.921,20.677,0.244,0.0,4544,0.066,0.279,0.213,0.0,0.847,26.1,0.902,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,39,18,184,44,0,0.0,0.0,0.0,38.2,23.9,22.3,22.2,0,0,100,
3,0112,7/25/2022 5:29:44 PM ,4209,20.921,20.732,0.189,0.0,3335,0.064,0.221,0.156,0.0,0.792,20.2,0.903,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,5,1,11,4,0,0.0,0.0,0.0,38.1,23.9,22.4,22.2,0,0,100,
4,0112,7/25/2022 5:35:24 PM ,3827,20.921,20.749,0.172,0.0,3092,0.061,0.206,0.145,0.0,0.808,18.4,0.903,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,42,5,458,161,0,0.0,0.0,0.0,38.4,23.8,22.5,22.2,0,0,100,
5,0112,7/25/2022 5:41:04 PM ,3482,20.921,20.767,0.154,0.0,2593,0.059,0.180,0.121,0.0,0.745,16.5,0.904,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,0,0,4,1,0,0.0,0.0,0.0,38.1,23.8,22.6,22.2,0,0,100,
6,0112,7/25/2022 5:46:44 PM ,3147,20.921,20.781,0.141,0.1,2488,0.058,0.174,0.116,0.0,0.791,15.1,0.905,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,0,0,0,0,0,0.0,0.0,0.0,38.0,23.9,22.6,22.2,0,0,100,
7,0112,7/25/2022 5:52:24 PM ,3590,20.921,20.763,0.158,0.1,2559,0.057,0.177,0.120,0.0,0.713,16.8,0.904,75.00,STABLE / OPEN,0.00,0.05,0.038,0.038,91,26,184,55,9,0.0,0.0,0.0,38.4,23.8,22.9,22.2,0,0,100,
