RecNumber,Label,Fat.mass,Lean.mass,FreeWater,TotalWater,TimeDateDura,Accumulation,Weight,Comments,filename
1,1952,1.82,20.92,0.1,19.21,09:39:48; 28 Jun 2024; 75; ems,1,24.6,Cre+,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0110.CSV
2,1949,1.61,19.54,0.06,18.03,09:43:16; 28 Jun 2024; 75; ems,1,23,Cre+,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0101.CSV
3,1951,3.11,22.71,0.04,20.89,09:46:22; 28 Jun 2024; 75; ems,1,27.8,Cre-,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0102.CSV
4,1953,1.75,20.74,0.14,18.93,09:49:28; 28 Jun 2024; 75; ems,1,24.3,Cre-,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0103.CSV
5,1950,2.69,22.46,0.08,20.53,09:53:31; 28 Jun 2024; 75; ems,1,26.7,Cre+,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0104.CSV
6,2188,1.65,21.12,0.04,19.1,09:57:04; 28 Jun 2024; 75; ems,1,24.7,Cre+,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0105.CSV
7,2192,2.61,20.64,0.06,19.04,10:00:24; 28 Jun 2024; 75; ems,1,25.2,Cre-,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0106.CSV
8,2193,2.11,21.11,0.09,19.37,10:03:54; 28 Jun 2024; 75; ems,1,24.9,Cre+,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0107.CSV
9,2190,1.62,21.6,0.11,19.59,10:06:48; 28 Jun 2024; 75; ems,1,25.2,Cre+,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0108.CSV
10,2189,1.34,22.58,1.56,22.11,10:09:39; 28 Jun 2024; 75; ems,1,27,Cre+,2024-06-28 SJK Atg14 MRP8Cre RT Cold.0109.CSV
11,2300,1.11,23.78,0.16,21.19,13:19:30; 15 Jul 2024; 76; ems,1,26.6,Cre-,2024-07-15 SJK Atg14 MRP8 Cre RT Cold Restart.0111.CSV
12,2304,1.8,22.68,0.06,20.06,13:23:08; 15 Jul 2024; 75; ems,1,26.3,Cre+,2024-07-15 SJK Atg14 MRP8 Cre RT Cold Restart.0112.CSV
13,2302,1.72,24.76,0.09,22.05,13:26:17; 15 Jul 2024; 76; ems,1,28.7,Cre-,2024-07-15 SJK Atg14 MRP8 Cre RT Cold Restart.0113.CSV
14,2303,1.62,23.32,0.06,20.6,13:30:22; 15 Jul 2024; 76; ems,1,26.8,Cre-,2024-07-15 SJK Atg14 MRP8 Cre RT Cold Restart.0114.CSV
15,2365,2.05,21.56,0.06,19.2,13:33:48; 15 Jul 2024; 75; ems,1,25.4,Cre-,2024-07-15 SJK Atg14 MRP8 Cre RT Cold Restart.0115.CSV
