Oxymax CSV File 

CSV Generation Date,8/8/2024 11:50:35 AM 
Experiment Started,8/5/2024 5:20:32 PM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2024-08-05 Aged WT vs Young TN RT.CDTA

Group/Cage,0110
O2 Calibration Date,8/5/2024 8:26:20 AM
CO2 Calibration Date,8/5/2024 8:26:20 AM
Subject ID,3221
Subject Mass (G), 31.8 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0110,8/5/2024 5:24:15 PM ,3210,20.908,20.729,0.178,0.0,2455,0.061,0.204,0.144,0.0,0.765,15.3,0.907,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,399,149,595,376,29,0.0,0.4,0.0,49.5,31.3,30.1,30.0,0,0,0,
2,0110,8/5/2024 5:29:55 PM ,3196,20.908,20.731,0.176,0.0,2349,0.061,0.198,0.137,0.0,0.735,15.1,0.908,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,216,94,500,207,2,0.0,0.4,0.0,49.8,31.3,30.6,30.0,0,0,100,
3,0110,8/5/2024 5:35:35 PM ,3085,20.908,20.737,0.171,0.0,2317,0.059,0.195,0.135,0.0,0.751,14.6,0.907,75.00,STABLE / OPEN,0.07,0.07,0.045,0.045,446,229,1041,678,45,0.0,0.4,0.0,50.0,31.3,30.3,30.0,0,0,100,
4,0110,8/5/2024 5:41:15 PM ,2996,20.908,20.741,0.166,0.0,2282,0.058,0.191,0.133,0.0,0.762,14.2,0.907,75.00,STABLE / OPEN,0.00,0.07,0.000,0.045,415,137,709,359,2,0.0,0.4,0.0,49.5,31.4,30.1,30.0,0,0,100,
5,0110,8/5/2024 5:46:55 PM ,3060,20.908,20.738,0.169,0.0,2307,0.057,0.192,0.135,0.0,0.754,14.5,0.908,75.00,STABLE / OPEN,0.00,0.07,0.000,0.045,244,80,447,218,57,0.0,0.4,0.0,49.5,31.5,30.6,30.0,0,0,100,
6,0110,8/5/2024 5:52:35 PM ,2970,20.908,20.743,0.165,0.0,2237,0.056,0.187,0.131,0.0,0.753,14.1,0.907,75.00,STABLE / OPEN,0.10,0.17,0.078,0.123,451,213,790,471,11,0.0,0.4,0.0,49.3,31.6,30.1,30.0,0,0,100,
7,0110,8/5/2024 5:58:15 PM ,2772,20.908,20.754,0.154,0.1,2115,0.055,0.178,0.124,0.0,0.763,13.2,0.908,75.00,STABLE / OPEN,0.00,0.17,0.000,0.123,266,27,411,53,0,0.0,0.4,0.0,49.2,31.6,30.4,30.0,0,0,100,
