Oxymax CSV File 

CSV Generation Date,10/10/2022 9:13:28 AM 
Experiment Started,4/3/2021 2:50:58 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-04-03 UCP1 restart2.CDTA

Group/Cage,0116
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,UCP1KO
Subject Mass (G), 12.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0116,4/3/2021 2:56:44 PM ,5413,20.906,20.785,0.121,0.0,4924,0.046,0.158,0.112,0.0,0.910,26.7,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,6,2,2874,12,0,0,0.0,ERR:0,30.5,20.5,20.7,20.0,0,0,100,
2,0116,4/3/2021 3:02:24 PM ,5396,20.906,20.787,0.119,0.0,4604,0.051,0.155,0.105,0.0,0.853,26.3,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,2,0,1556,2,0,0,0.0,ERR:0,30.2,20.5,20.3,20.0,0,0,100,
3,0116,4/3/2021 3:08:04 PM ,5386,20.906,20.787,0.119,0.0,4617,0.050,0.155,0.105,0.0,0.857,26.2,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,7,0,2721,4,0,0,0.0,ERR:0,30.2,20.5,20.2,20.0,0,0,100,
4,0116,4/3/2021 3:13:44 PM ,5527,20.906,20.784,0.123,0.0,4805,0.050,0.160,0.110,0.0,0.869,27.0,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,30.1,20.4,20.5,20.0,0,0,100,
5,0116,4/3/2021 3:19:24 PM ,5413,20.906,20.786,0.121,0.0,4854,0.049,0.159,0.111,0.0,0.897,26.6,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,44,7,682,27,0,0,0.0,ERR:0,30.0,20.5,20.6,20.0,0,0,100,
6,0116,4/3/2021 3:25:04 PM ,5424,20.906,20.786,0.121,0.0,4789,0.050,0.159,0.109,0.0,0.883,26.6,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,12,4,3496,12,0,0,0.0,ERR:0,29.8,20.5,20.4,20.0,0,0,100,
7,0116,4/3/2021 3:30:44 PM ,5427,20.906,20.785,0.121,0.0,4864,0.049,0.160,0.111,0.0,0.896,26.7,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,10,2,3557,11,0,0,0.0,ERR:0,29.9,20.5,20.1,20.0,0,0,100,
8,0116,4/3/2021 3:36:24 PM ,5365,20.906,20.787,0.120,0.0,4778,0.048,0.157,0.109,0.0,0.890,26.4,0.898,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,3852,0,0,0,0.0,ERR:0,29.8,20.5,20.4,20.0,0,0,100,
9,0116,4/3/2021 3:42:04 PM ,5532,20.906,20.784,0.123,0.1,4826,0.050,0.160,0.110,0.0,0.872,27.0,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,7,1,3371,35,0,0,0.0,ERR:0,29.9,20.5,20.6,20.0,0,0,100,
10,0116,4/3/2021 3:47:44 PM ,5313,20.906,20.788,0.118,0.1,4753,0.049,0.157,0.108,0.0,0.895,26.1,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,0,0.0,ERR:0,29.5,20.5,20.6,20.0,0,0,100,
11,0116,4/3/2021 3:53:24 PM ,5761,20.906,20.778,0.128,0.1,5125,0.049,0.166,0.117,0.1,0.890,28.3,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,174,7,303,32,0,0,0.0,ERR:0,29.9,20.6,20.2,20.0,0,0,100,
12,0116,4/3/2021 3:59:04 PM ,6247,20.906,20.767,0.139,0.1,5541,0.050,0.176,0.126,0.1,0.887,30.7,0.899,75.00,STABLE / OPEN,0.23,0.23,0.000,0.000,47,4,106,39,2,0,0.0,ERR:0,30.1,20.5,20.2,20.0,0,0,100,
13,0116,4/3/2021 4:04:44 PM ,6640,20.906,20.761,0.145,0.1,5399,0.050,0.173,0.123,0.1,0.813,32.0,0.900,75.00,UNSTABLE / OPEN,0.00,0.23,0.000,0.000,83,40,407,80,5,0,0.0,ERR:0,30.4,20.5,20.6,20.0,0,0,100,
14,0116,4/3/2021 4:10:24 PM ,6703,20.906,20.760,0.146,0.1,5381,0.050,0.173,0.123,0.1,0.803,32.2,0.899,75.00,STABLE / OPEN,0.00,0.23,0.000,0.000,42,22,110,65,0,0,0.0,ERR:0,29.8,20.5,20.7,20.0,0,0,100,
15,0116,4/3/2021 4:16:04 PM ,6626,20.906,20.761,0.145,0.1,5432,0.049,0.173,0.124,0.1,0.820,32.0,0.900,75.00,STABLE / OPEN,0.00,0.23,0.204,0.204,27,7,199,69,3,0,0.0,ERR:0,30.5,20.6,20.2,20.0,0,0,100,
16,0116,4/3/2021 4:21:44 PM ,6913,20.906,20.755,0.152,0.1,5694,0.051,0.181,0.130,0.1,0.824,33.4,0.900,75.00,STABLE / OPEN,0.00,0.23,0.165,0.369,221,77,926,346,15,0,0.0,ERR:0,31.5,20.5,20.2,20.0,0,0,100,
17,0116,4/3/2021 4:27:24 PM ,6808,20.906,20.758,0.148,0.1,5400,0.050,0.173,0.123,0.1,0.793,32.6,0.900,75.00,STABLE / OPEN,0.00,0.23,0.000,0.369,72,30,607,149,0,0,0.0,ERR:0,31.1,20.5,20.5,20.0,0,0,100,
18,0116,4/3/2021 4:33:04 PM ,6642,20.906,20.761,0.145,0.1,5395,0.050,0.173,0.123,0.1,0.812,32.0,0.899,75.00,STABLE / OPEN,0.00,0.23,0.000,0.369,2,0,355,59,0,0,0.0,ERR:0,31.1,20.5,20.7,20.0,0,0,100,
19,0116,4/3/2021 4:38:44 PM ,6670,20.906,20.761,0.146,0.1,5395,0.050,0.173,0.123,0.1,0.809,32.1,0.901,75.00,STABLE / OPEN,0.00,0.23,0.083,0.452,43,6,794,181,1,0,0.0,ERR:0,31.2,20.6,20.4,20.0,0,0,100,
20,0116,4/3/2021 4:44:24 PM ,6417,20.906,20.764,0.142,0.1,5493,0.050,0.176,0.125,0.1,0.856,31.2,0.899,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,0,0,388,114,0,0,0.0,ERR:0,31.0,20.6,20.1,20.0,0,0,100,
21,0116,4/3/2021 4:50:04 PM ,5561,20.906,20.783,0.123,0.1,4921,0.050,0.162,0.112,0.1,0.885,27.3,0.901,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,0,0,143,9,0,0,0.0,ERR:0,30.7,20.5,20.4,20.0,0,0,100,
22,0116,4/3/2021 4:55:44 PM ,5215,20.906,20.791,0.116,0.1,4510,0.050,0.153,0.103,0.1,0.865,25.5,0.898,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,0,0,236,4,0,0,0.0,ERR:0,30.6,20.5,20.6,20.0,0,0,100,
23,0116,4/3/2021 5:01:24 PM ,5322,20.906,20.788,0.118,0.2,4715,0.049,0.156,0.107,0.1,0.886,26.1,0.901,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,0,0,223,2,0,0,0.0,ERR:0,30.3,20.5,20.6,20.0,0,0,100,
24,0116,4/3/2021 5:07:04 PM ,5594,20.906,20.783,0.123,0.2,4728,0.050,0.158,0.108,0.1,0.845,27.2,0.899,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,1,1,122,4,0,0,0.0,ERR:0,30.3,20.6,20.3,20.0,0,0,100,
25,0116,4/3/2021 5:12:44 PM ,5394,20.906,20.787,0.119,0.2,4637,0.048,0.153,0.106,0.1,0.860,26.3,0.900,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,0,0,354,0,0,0,0.0,ERR:0,30.4,20.5,20.1,20.0,0,0,100,
26,0116,4/3/2021 5:18:24 PM ,5416,20.906,20.787,0.119,0.2,4529,0.049,0.153,0.103,0.1,0.836,26.2,0.898,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,0,0,185,6,0,0,0.0,ERR:0,30.4,20.5,20.4,20.0,0,0,100,
27,0116,4/3/2021 5:24:04 PM ,5067,20.906,20.795,0.112,0.2,4275,0.049,0.147,0.097,0.2,0.844,24.6,0.901,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,94,1,285,21,0,0,0.0,ERR:0,30.2,20.5,20.6,20.0,0,0,100,
28,0116,4/3/2021 5:29:44 PM ,5101,20.906,20.793,0.113,0.2,4412,0.049,0.150,0.101,0.2,0.865,24.9,0.899,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,0,0,137,0,0,0,0.0,ERR:0,30.0,20.5,20.6,20.0,0,0,100,
29,0116,4/3/2021 5:35:24 PM ,5237,20.906,20.791,0.115,0.2,4429,0.049,0.150,0.101,0.2,0.846,25.4,0.900,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,0,0,517,0,0,0,0.0,ERR:0,29.9,20.5,20.2,20.0,0,0,100,
30,0116,4/3/2021 5:41:04 PM ,5375,20.906,20.788,0.119,0.2,4504,0.050,0.152,0.103,0.2,0.838,26.1,0.898,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,2,0,171,9,0,0,0.0,ERR:0,30.0,20.5,20.2,20.0,0,0,100,
31,0116,4/3/2021 5:46:44 PM ,5332,20.906,20.789,0.117,0.2,4446,0.048,0.149,0.101,0.2,0.834,25.8,0.899,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,5,0,99,10,0,0,0.0,ERR:0,30.0,20.5,20.3,20.0,0,0,100,
32,0116,4/3/2021 5:52:24 PM ,6033,20.906,20.773,0.133,0.2,5108,0.049,0.165,0.117,0.2,0.847,29.3,0.898,75.00,UNSTABLE / OPEN,0.00,0.23,0.000,0.452,32,12,223,80,49,0,0.0,ERR:0,30.7,20.4,20.6,20.0,0,0,100,
33,0116,4/3/2021 5:58:04 PM ,6640,20.906,20.759,0.147,0.2,5715,0.049,0.180,0.130,0.2,0.861,32.4,0.899,75.00,UNSTABLE / OPEN,0.00,0.23,0.000,0.452,199,83,634,269,8,0,0.0,ERR:0,32.5,20.6,20.7,20.0,0,0,100,
34,0116,4/3/2021 6:03:44 PM ,7276,20.906,20.747,0.159,0.2,5920,0.049,0.184,0.135,0.2,0.814,35.1,0.899,75.00,UNSTABLE / OPEN,0.00,0.23,0.000,0.452,88,12,389,118,158,0,0.0,ERR:0,32.6,20.6,20.3,20.0,0,0,0,
35,0116,4/3/2021 6:09:24 PM ,7137,20.906,20.751,0.156,0.2,5696,0.049,0.179,0.130,0.2,0.798,34.2,0.899,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,150,9,279,84,17,0,0.0,ERR:0,32.0,20.5,20.2,20.0,0,0,0,
36,0116,4/3/2021 6:15:04 PM ,6328,20.906,20.767,0.140,0.2,5397,0.049,0.172,0.123,0.2,0.853,30.8,0.900,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,2,0,442,12,0,0,0.0,ERR:0,31.6,20.5,20.2,20.0,0,0,0,
37,0116,4/3/2021 6:20:44 PM ,5761,20.906,20.780,0.127,0.2,4790,0.049,0.158,0.109,0.2,0.832,27.9,0.898,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,5,0,89,0,0,0,0.0,ERR:0,31.4,20.5,20.3,20.0,0,0,0,
38,0116,4/3/2021 6:26:24 PM ,5711,20.906,20.782,0.125,0.3,4602,0.050,0.154,0.105,0.2,0.806,27.5,0.900,75.00,STABLE / OPEN,0.00,0.23,0.000,0.452,171,2,21,0,0,0,0.0,ERR:0,31.2,20.5,20.5,20.0,0,0,0,
39,0116,4/3/2021 6:32:04 PM ,6052,20.906,20.774,0.133,0.3,4933,0.049,0.162,0.113,0.2,0.815,29.2,0.899,75.00,STABLE / OPEN,0.10,0.33,0.000,0.452,28,0,356,38,0,0,0.0,ERR:0,31.5,20.5,20.6,20.0,0,0,0,
40,0116,4/3/2021 6:37:44 PM ,6817,20.906,20.757,0.149,0.3,5563,0.048,0.175,0.127,0.2,0.816,32.9,0.900,75.00,UNSTABLE / OPEN,0.00,0.33,0.033,0.485,139,32,440,118,33,0,0.0,ERR:0,31.8,20.5,20.7,20.0,0,0,0,
41,0116,4/3/2021 6:43:24 PM ,6793,20.906,20.758,0.148,0.3,5460,0.047,0.172,0.124,0.2,0.804,32.6,0.899,75.00,STABLE / OPEN,0.00,0.33,0.000,0.485,54,18,308,125,7,0,0.0,ERR:0,31.3,20.6,20.4,20.0,0,0,0,
42,0116,4/3/2021 6:49:04 PM ,7493,20.906,20.745,0.161,0.3,5444,0.050,0.174,0.124,0.2,0.727,35.3,0.899,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,0.485,167,23,340,130,66,0,0.0,ERR:0,31.7,20.6,20.2,20.0,0,0,0,
43,0116,4/3/2021 6:54:44 PM ,7732,20.906,20.739,0.167,0.3,5803,0.049,0.181,0.132,0.2,0.751,36.6,0.900,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,0.485,141,17,503,137,188,0,0.0,ERR:0,31.9,20.5,20.1,20.0,0,0,0,
44,0116,4/3/2021 7:00:24 PM ,7931,20.906,20.734,0.172,0.3,6072,0.049,0.188,0.139,0.3,0.766,37.7,0.898,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,0.485,121,28,550,217,136,0,0.0,ERR:0,32.1,20.5,20.2,20.0,0,0,0,
45,0116,4/3/2021 7:06:04 PM ,7849,20.906,20.735,0.171,0.3,6247,0.049,0.191,0.142,0.3,0.796,37.6,0.900,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,0.485,94,24,395,148,77,0,0.0,ERR:0,32.2,20.5,20.4,20.0,0,0,0,
46,0116,4/3/2021 7:11:44 PM ,7694,20.906,20.739,0.167,0.3,5960,0.049,0.186,0.136,0.3,0.775,36.7,0.898,75.00,STABLE / OPEN,0.03,0.36,0.000,0.485,47,17,555,157,126,0,0.0,ERR:0,31.9,20.5,20.5,20.0,0,0,0,
47,0116,4/3/2021 7:17:24 PM ,7186,20.906,20.751,0.156,0.3,5556,0.049,0.176,0.127,0.3,0.773,34.3,0.900,75.00,STABLE / OPEN,0.07,0.43,0.000,0.485,29,0,558,118,0,0,0.0,ERR:0,31.6,20.5,20.7,20.0,0,0,0,
48,0116,4/3/2021 7:23:04 PM ,5840,20.906,20.776,0.130,0.3,5158,0.047,0.165,0.118,0.3,0.883,28.6,0.899,75.00,STABLE / OPEN,0.00,0.43,0.000,0.485,2,0,161,17,0,0,0.0,ERR:0,31.2,20.6,20.6,20.0,0,0,0,
49,0116,4/3/2021 7:28:44 PM ,5353,20.906,20.788,0.119,0.3,4616,0.049,0.154,0.105,0.3,0.862,26.1,0.899,75.00,STABLE / OPEN,0.00,0.43,0.000,0.485,0,0,189,6,0,0,0.0,ERR:0,31.0,20.6,20.3,20.0,0,0,0,
50,0116,4/3/2021 7:34:24 PM ,5100,20.906,20.793,0.114,0.3,4586,0.047,0.152,0.104,0.3,0.899,25.1,0.900,75.00,STABLE / OPEN,0.00,0.43,0.000,0.485,0,0,72,7,0,0,0.0,ERR:0,31.0,20.6,20.1,20.0,0,0,0,
51,0116,4/3/2021 7:40:04 PM ,5458,20.906,20.785,0.122,0.4,4855,0.047,0.158,0.111,0.3,0.890,26.8,0.898,75.00,STABLE / OPEN,0.00,0.43,0.000,0.485,2,0,337,21,0,0,0.0,ERR:0,30.8,20.5,20.2,20.0,0,0,0,
52,0116,4/3/2021 7:45:44 PM ,6064,20.906,20.772,0.134,0.4,5281,0.048,0.169,0.120,0.3,0.871,29.6,0.900,75.00,UNSTABLE / OPEN,0.00,0.43,0.000,0.485,8,0,228,41,37,0,0.0,ERR:0,31.5,20.5,20.3,20.0,0,0,0,
53,0116,4/3/2021 7:51:24 PM ,7020,20.906,20.753,0.154,0.4,5680,0.048,0.178,0.130,0.3,0.809,33.8,0.898,75.00,UNSTABLE / OPEN,0.00,0.43,0.000,0.485,139,64,485,204,128,0,0.0,ERR:0,31.9,20.5,20.4,20.0,0,0,0,
