Oxymax CSV File 

CSV Generation Date,10/10/2022 9:16:30 AM 
Experiment Started,6/9/2021 10:33:28 AM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-09 Ucp1 mCre x3Cr1Cre and KO Restart.CDTA

Group/Cage,0104
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,KO
Subject Mass (G), 19.2 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,6/9/2021 10:35:13 AM ,6134,20.911,20.705,0.205,0.0,4563,0.052,0.214,0.162,0.0,0.744,29.0,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,27,0,0,0,0.0,ERR:0,41.1,7.5,6.7,5.0,0,0,100,
2,0104,6/9/2021 10:40:53 AM ,5935,20.911,20.712,0.199,0.0,4327,0.056,0.210,0.154,0.0,0.729,28.0,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,97,0,0,0,0.0,ERR:0,41.1,7.6,8.3,5.0,0,0,100,
3,0104,6/9/2021 10:46:33 AM ,5875,20.911,20.715,0.196,0.0,4190,0.057,0.205,0.148,0.0,0.713,27.6,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,40,0,0,0,0.0,ERR:0,41.5,7.7,7.3,5.0,0,0,100,
4,0104,6/9/2021 10:52:13 AM ,5750,20.911,20.718,0.192,0.0,4171,0.055,0.203,0.148,0.0,0.725,27.1,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,38,29,188,36,0,0,0.0,ERR:0,41.6,7.6,6.4,5.0,0,0,100,
5,0104,6/9/2021 10:57:53 AM ,5661,20.911,20.722,0.188,0.0,4032,0.056,0.198,0.143,0.0,0.712,26.6,0.905,75.00,STABLE / OPEN,0.04,0.04,0.000,0.000,0,0,26,0,0,0,0.0,ERR:0,41.3,7.4,6.3,5.0,0,0,100,
6,0104,6/9/2021 11:03:33 AM ,5499,20.911,20.728,0.182,0.1,3824,0.057,0.193,0.135,0.0,0.695,25.7,0.904,75.00,STABLE / OPEN,0.00,0.04,0.000,0.000,0,0,176,1,0,0,0.0,ERR:0,41.3,7.5,7.9,5.0,0,0,100,
7,0104,6/9/2021 11:09:13 AM ,5304,20.911,20.735,0.176,0.1,3643,0.057,0.187,0.129,0.0,0.687,24.7,0.901,75.00,STABLE / OPEN,0.00,0.04,0.000,0.000,0,0,106,0,0,0,0.0,ERR:0,41.6,7.6,8.1,5.0,0,0,100,
8,0104,6/9/2021 11:14:53 AM ,5170,20.911,20.740,0.171,0.1,3548,0.056,0.182,0.126,0.1,0.686,24.1,0.904,75.00,STABLE / OPEN,0.00,0.04,0.000,0.000,2,0,319,5,0,0,0.0,ERR:0,41.7,7.7,6.6,5.0,0,0,100,
9,0104,6/9/2021 11:20:33 AM ,5123,20.911,20.741,0.170,0.1,3519,0.056,0.181,0.125,0.1,0.687,23.9,0.904,75.00,STABLE / OPEN,0.00,0.04,0.000,0.000,1,0,229,12,0,1,0.0,ERR:0,41.5,7.5,6.1,5.0,0,0,100,
10,0104,6/9/2021 11:26:13 AM ,4981,20.911,20.746,0.165,0.1,3353,0.058,0.177,0.119,0.1,0.673,23.1,0.901,75.00,STABLE / OPEN,0.05,0.09,0.000,0.000,31,21,202,32,0,0,0.0,ERR:0,41.4,7.4,7.5,5.0,0,0,100,
11,0104,6/9/2021 11:31:53 AM ,4880,20.911,20.749,0.162,0.1,3512,0.057,0.181,0.124,0.1,0.720,22.9,0.907,75.00,STABLE / OPEN,0.00,0.09,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,41.7,7.6,9.0,5.0,0,0,100,
12,0104,6/9/2021 11:37:33 AM ,4773,20.911,20.752,0.159,0.1,3386,0.057,0.177,0.120,0.1,0.709,22.4,0.904,75.00,STABLE / OPEN,0.00,0.09,0.000,0.000,0,0,10,0,0,0,0.0,ERR:0,41.8,7.7,6.8,5.0,0,0,100,
13,0104,6/9/2021 11:43:13 AM ,4613,20.911,20.756,0.155,0.1,3382,0.056,0.176,0.120,0.1,0.733,21.8,0.901,75.00,STABLE / OPEN,0.00,0.09,0.000,0.000,29,0,355,5,0,0,0.0,ERR:0,41.6,7.5,6.0,5.0,0,0,100,
14,0104,6/9/2021 11:48:53 AM ,4429,20.911,20.763,0.148,0.1,3193,0.057,0.170,0.113,0.1,0.721,20.8,0.903,75.00,STABLE / OPEN,0.00,0.09,0.000,0.000,0,0,194,0,0,1,0.0,ERR:0,41.3,7.4,7.3,5.0,0,0,100,
15,0104,6/9/2021 11:54:33 AM ,4298,20.911,20.767,0.144,0.1,3094,0.056,0.166,0.110,0.1,0.720,20.2,0.902,75.00,STABLE / OPEN,0.00,0.09,0.000,0.000,1,0,265,1,0,0,0.0,ERR:0,41.5,7.5,8.8,5.0,0,0,100,
16,0104,6/9/2021 12:00:13 PM ,4159,20.911,20.771,0.139,0.1,3059,0.056,0.165,0.108,0.1,0.736,19.6,0.904,75.00,STABLE / OPEN,0.00,0.09,0.000,0.000,0,0,80,0,0,0,0.0,ERR:0,41.6,7.7,7.0,5.0,0,0,100,
17,0104,6/9/2021 12:05:53 PM ,4085,20.911,20.774,0.136,0.1,2985,0.056,0.161,0.106,0.1,0.731,19.3,0.904,75.00,UNSTABLE / OPEN,0.00,0.09,0.000,0.000,142,26,618,78,0,0,0.0,ERR:0,42.1,7.5,6.1,5.0,0,0,100,
18,0104,6/9/2021 12:11:33 PM ,3890,20.911,20.780,0.130,0.2,2866,0.055,0.157,0.102,0.1,0.737,18.4,0.903,75.00,STABLE / OPEN,0.04,0.12,0.000,0.000,0,0,321,0,0,1,0.0,ERR:0,41.9,7.4,7.0,5.0,0,0,100,
19,0104,6/9/2021 12:17:13 PM ,3721,20.911,20.786,0.124,0.2,2729,0.055,0.152,0.097,0.1,0.733,17.6,0.904,75.00,STABLE / OPEN,0.00,0.12,0.000,0.000,0,0,156,0,0,0,0.0,ERR:0,42.1,7.5,8.5,5.0,0,0,100,
20,0104,6/9/2021 12:22:53 PM ,3450,20.911,20.795,0.116,0.2,2551,0.055,0.146,0.090,0.1,0.739,16.3,0.903,75.00,STABLE / OPEN,0.00,0.12,0.000,0.000,0,0,237,0,0,0,0.0,ERR:0,42.3,7.6,7.1,5.0,0,0,100,
21,0104,6/9/2021 12:28:33 PM ,3258,20.911,20.802,0.109,0.2,2358,0.056,0.139,0.083,0.1,0.724,15.3,0.905,75.00,STABLE / OPEN,0.00,0.12,0.000,0.000,0,0,678,0,0,0,0.0,ERR:0,42.1,7.6,6.1,5.0,0,0,100,
22,0104,6/9/2021 12:34:13 PM ,3073,20.911,20.807,0.103,0.2,2253,0.055,0.135,0.080,0.1,0.733,14.5,0.900,75.00,STABLE / OPEN,0.13,0.25,0.000,0.000,87,18,711,23,0,0,0.0,ERR:0,42.1,7.4,6.7,5.0,0,0,100,
23,0104,6/9/2021 12:39:53 PM ,2816,20.911,20.816,0.095,0.2,2123,0.054,0.129,0.075,0.1,0.754,13.4,0.903,75.00,STABLE / OPEN,0.00,0.25,0.000,0.000,0,0,558,0,0,0,0.0,ERR:0,42.2,7.5,8.3,5.0,0,0,100,
24,0104,6/9/2021 12:45:33 PM ,2588,20.911,20.823,0.087,0.2,1963,0.053,0.123,0.070,0.1,0.758,12.3,0.900,75.00,STABLE / OPEN,0.00,0.25,0.000,0.000,0,0,738,0,0,0,0.0,ERR:0,42.4,7.6,7.3,5.0,0,0,100,
25,0104,6/9/2021 12:51:13 PM ,2387,20.911,20.830,0.080,0.2,1806,0.054,0.118,0.064,0.1,0.756,11.3,0.904,75.00,UNSTABLE / OPEN,0.00,0.25,0.000,0.000,101,30,207,71,0,0,0.0,ERR:0,42.4,7.5,6.3,5.0,0,0,100,
26,0104,6/9/2021 12:56:53 PM ,2142,20.911,20.839,0.072,0.2,1617,0.054,0.111,0.057,0.1,0.755,10.2,0.903,75.00,STABLE / OPEN,0.09,0.34,0.000,0.000,141,26,368,85,0,1,0.0,ERR:0,42.0,7.4,6.4,5.0,0,0,100,
27,0104,6/9/2021 1:02:33 PM ,1852,20.911,20.848,0.062,0.2,1403,0.054,0.104,0.050,0.1,0.757,8.8,0.902,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,84,11,44,26,0,0,0.0,ERR:0,41.9,7.4,8.0,5.0,0,0,100,
28,0104,6/9/2021 1:08:13 PM ,1586,20.911,20.857,0.053,0.2,1174,0.054,0.095,0.042,0.1,0.740,7.5,0.903,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,8,5,0,0,0.0,ERR:0,42.0,7.6,7.7,5.0,0,0,100,
29,0104,6/9/2021 1:13:53 PM ,1262,20.911,20.869,0.042,0.2,905,0.054,0.086,0.032,0.2,0.717,5.9,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,2,0,0,0,0.0,ERR:0,41.9,7.6,6.5,5.0,0,0,100,
30,0104,6/9/2021 1:19:33 PM ,949,20.911,20.879,0.032,0.2,681,0.054,0.078,0.024,0.2,0.718,4.5,0.902,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,41.6,7.4,6.2,5.0,0,0,100,
31,0104,6/9/2021 1:25:13 PM ,761,20.911,20.886,0.025,0.2,502,0.054,0.072,0.018,0.2,0.661,3.5,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,41.6,7.4,7.7,5.0,0,0,100,
32,0104,6/9/2021 1:30:53 PM ,562,20.911,20.892,0.019,0.2,381,0.054,0.068,0.014,0.2,0.678,2.6,0.900,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,41.8,7.5,8.6,5.0,0,0,100,
33,0104,6/9/2021 1:36:33 PM ,468,20.911,20.895,0.015,0.2,274,0.054,0.064,0.010,0.2,0.585,2.1,0.905,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,42.1,7.6,6.7,5.0,0,0,100,
34,0104,6/9/2021 1:42:13 PM ,367,20.911,20.899,0.012,0.2,207,0.054,0.061,0.007,0.2,0.564,1.7,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,41.9,7.5,5.9,5.0,0,0,100,
35,0104,6/9/2021 1:47:53 PM ,278,20.911,20.902,0.009,0.2,148,0.054,0.059,0.005,0.2,0.530,1.2,0.905,75.00,NO RESPONSE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,41.8,7.4,7.3,5.0,0,0,100,
36,0104,6/9/2021 1:53:33 PM ,268,20.911,20.902,0.008,0.2,132,0.054,0.059,0.005,0.2,0.492,1.2,0.902,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,42.0,7.5,8.8,5.0,0,0,100,
37,0104,6/9/2021 1:59:13 PM ,205,20.911,20.904,0.006,0.2,64,0.055,0.057,0.002,0.2,0.315,0.9,0.906,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,42.2,7.6,7.0,5.0,0,0,100,
38,0104,6/9/2021 2:04:53 PM ,216,20.911,20.904,0.007,0.2,69,0.054,0.056,0.002,0.2,0.322,0.9,0.905,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,42.2,7.5,6.1,5.0,0,0,100,
39,0104,6/9/2021 2:10:33 PM ,152,20.911,20.906,0.005,0.2,60,0.054,0.056,0.002,0.2,0.392,0.7,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,1,0.0,ERR:0,42.0,7.4,6.9,5.0,0,0,100,
40,0104,6/9/2021 2:16:13 PM ,92,20.911,20.907,0.003,0.2,77,0.053,0.056,0.003,0.2,0.842,0.4,0.903,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,42.1,7.5,8.5,5.0,0,0,100,
41,0104,6/9/2021 2:21:53 PM ,96,20.911,20.908,0.003,0.2,21,0.055,0.055,0.001,0.2,0.218,0.4,0.903,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,42.2,7.5,7.2,5.0,0,0,100,
42,0104,6/9/2021 2:27:33 PM ,78,20.911,20.908,0.002,0.2,27,0.054,0.055,0.001,0.2,0.351,0.3,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,42.1,7.4,6.2,5.0,0,0,100,
43,0104,6/9/2021 2:33:13 PM ,59,20.911,20.909,0.002,0.2,38,0.054,0.055,0.001,0.2,0.654,0.3,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.000,0,0,0,0,0,1,0.0,ERR:0,42.0,7.3,6.6,5.0,0,0,100,
44,0104,6/9/2021 2:38:53 PM ,8,20.911,20.910,0.001,0.2,90,0.052,0.055,0.003,0.2,11.218,0.1,0.899,75.00,STABLE / OPEN,0.00,0.34,0.148,0.148,0,0,0,0,0,0,0.0,ERR:0,42.0,7.4,8.2,5.0,0,0,100,
45,0104,6/9/2021 2:44:33 PM ,49,20.911,20.909,0.001,0.2,12,0.055,0.055,0.000,0.2,0.253,0.2,0.903,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,0,0.0,ERR:0,42.3,7.5,7.4,5.0,0,0,100,
46,0104,6/9/2021 2:50:13 PM ,38,20.911,20.909,0.001,0.2,8,0.054,0.055,0.000,0.2,0.217,0.2,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,0,0.0,ERR:0,42.2,7.5,6.3,5.0,0,0,100,
47,0104,6/9/2021 2:55:53 PM ,56,20.911,20.909,0.002,0.2,14,0.055,0.055,0.001,0.2,0.259,0.2,0.903,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,0,0.0,ERR:0,41.9,7.3,6.4,5.0,0,0,100,
48,0104,6/9/2021 3:01:33 PM ,36,20.911,20.909,0.001,0.2,14,0.054,0.055,0.001,0.2,0.393,0.2,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,0,0.0,ERR:0,41.9,7.3,8.0,5.0,0,0,100,
49,0104,6/9/2021 3:07:13 PM ,20,20.911,20.910,0.001,0.2,-2,0.055,0.055,0.000,0.2,-0.099,0.1,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,0,0.0,ERR:0,42.1,7.5,7.7,5.0,0,0,100,
50,0104,6/9/2021 3:12:53 PM ,85,20.911,20.908,0.002,0.2,-5,0.055,0.054,0.000,0.2,-0.060,0.3,0.903,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,0,0.0,ERR:0,42.1,7.5,6.5,5.0,0,0,100,
51,0104,6/9/2021 3:18:33 PM ,61,20.911,20.909,0.002,0.2,9,0.054,0.054,0.000,0.2,0.147,0.2,0.903,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,0,0.0,ERR:0,41.9,7.4,6.2,5.0,0,0,100,
52,0104,6/9/2021 3:24:13 PM ,11,20.911,20.910,0.000,0.2,-28,0.055,0.054,-0.001,0.2,-2.487,0.0,0.903,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,1,0.0,ERR:0,41.8,7.3,7.6,5.0,0,0,100,
53,0104,6/9/2021 3:29:53 PM ,27,20.911,20.910,0.001,0.2,-24,0.055,0.054,-0.001,0.2,-0.899,0.1,0.904,75.00,STABLE / OPEN,0.00,0.34,0.000,0.148,0,0,0,0,0,0,0.0,ERR:0,42.1,7.5,8.8,5.0,0,0,100,
