Oxymax CSV File 

CSV Generation Date,10/10/2022 9:17:16 AM 
Experiment Started,6/9/2021 10:33:28 AM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-09 Ucp1 mCre x3Cr1Cre and KO Restart.CDTA

Group/Cage,0116
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3467 mCre
Subject Mass (G), 18.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0116,6/9/2021 10:39:13 AM ,6661,20.911,20.692,0.219,0.0,5386,0.052,0.237,0.185,0.0,0.809,32.0,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,902,0,0,1,0.0,ERR:0,46.6,5.9,7.9,5.0,0,0,100,
2,0116,6/9/2021 10:44:53 AM ,6695,20.911,20.692,0.219,0.0,5259,0.056,0.236,0.180,0.0,0.785,32.0,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,2796,0,0,0,0.0,ERR:0,46.2,6.3,7.9,5.0,0,0,100,
3,0116,6/9/2021 10:50:33 AM ,6657,20.911,20.694,0.217,0.0,5123,0.057,0.232,0.175,0.0,0.770,31.7,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,1077,0,0,0,0.0,ERR:0,46.0,6.3,6.6,5.0,0,0,100,
4,0116,6/9/2021 10:56:13 AM ,6569,20.911,20.697,0.214,0.0,5111,0.055,0.230,0.175,0.0,0.778,31.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,46.6,5.8,6.0,5.0,0,0,100,
5,0116,6/9/2021 11:01:53 AM ,6727,20.911,20.692,0.218,0.0,5147,0.056,0.232,0.176,0.0,0.765,32.0,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1,0,55,8,0,0,0.0,ERR:0,46.9,5.8,7.4,5.0,0,0,100,
6,0116,6/9/2021 11:07:33 AM ,6643,20.911,20.694,0.216,0.1,5070,0.057,0.231,0.174,0.0,0.763,31.6,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,46.5,6.1,8.9,5.0,0,0,100,
7,0116,6/9/2021 11:13:13 AM ,6821,20.911,20.690,0.221,0.1,5097,0.057,0.231,0.174,0.1,0.747,32.3,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,163,0,0,0,0.0,ERR:0,45.8,6.4,6.9,5.0,0,0,100,
8,0116,6/9/2021 11:18:53 AM ,6789,20.911,20.690,0.220,0.1,5153,0.056,0.232,0.176,0.1,0.759,32.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,46.4,6.0,6.0,5.0,0,0,100,
9,0116,6/9/2021 11:24:33 AM ,7337,20.911,20.672,0.239,0.1,5625,0.056,0.248,0.192,0.1,0.767,34.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,398,25,0,0,0.0,ERR:0,47.5,5.8,7.0,5.0,0,0,100,
10,0116,6/9/2021 11:30:13 AM ,7265,20.911,20.675,0.235,0.1,5461,0.058,0.244,0.187,0.1,0.752,34.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,1328,11,0,0,0.0,ERR:0,47.1,6.0,8.6,5.0,0,0,100,
11,0116,6/9/2021 11:35:53 AM ,7895,20.911,20.654,0.257,0.1,6100,0.057,0.265,0.209,0.1,0.773,37.6,0.902,75.00,UNSTABLE / OPEN,0.03,0.03,0.000,0.000,83,0,496,45,37,0,0.0,ERR:0,47.8,6.4,7.1,5.0,0,0,100,
12,0116,6/9/2021 11:41:33 AM ,8327,20.911,20.638,0.272,0.1,6638,0.057,0.284,0.227,0.1,0.797,39.9,0.903,75.00,UNSTABLE / OPEN,0.07,0.11,0.000,0.000,171,0,232,56,11,0,0.0,ERR:0,48.7,6.1,6.1,5.0,0,0,100,
13,0116,6/9/2021 11:47:13 AM ,8151,20.911,20.644,0.267,0.1,6556,0.056,0.280,0.224,0.1,0.804,39.2,0.904,75.00,STABLE / OPEN,0.08,0.19,0.000,0.000,29,0,527,96,2,0,0.0,ERR:0,48.5,5.8,6.8,5.0,0,0,100,
14,0116,6/9/2021 11:52:53 AM ,8463,20.911,20.632,0.278,0.2,6950,0.057,0.295,0.238,0.1,0.821,40.8,0.902,75.00,STABLE / OPEN,0.00,0.19,0.000,0.000,126,29,347,104,17,0,0.0,ERR:0,49.4,6.0,8.4,5.0,0,0,100,
15,0116,6/9/2021 11:58:33 AM ,8441,20.911,20.631,0.279,0.2,7078,0.056,0.299,0.242,0.1,0.839,40.9,0.901,75.00,STABLE / OPEN,0.03,0.22,0.000,0.000,62,3,367,95,13,0,0.0,ERR:0,48.9,6.5,7.4,5.0,0,0,100,
16,0116,6/9/2021 12:04:13 PM ,8574,20.911,20.628,0.283,0.2,7135,0.056,0.300,0.244,0.2,0.832,41.5,0.903,75.00,UNSTABLE / OPEN,0.00,0.22,0.000,0.000,75,37,216,64,7,0,0.0,ERR:0,49.0,6.3,6.3,5.0,0,0,100,
17,0116,6/9/2021 12:09:53 PM ,8005,20.911,20.647,0.264,0.2,6677,0.056,0.284,0.228,0.2,0.834,38.8,0.904,75.00,STABLE / OPEN,0.10,0.33,0.000,0.000,2,1,120,36,0,0,0.0,ERR:0,49.1,5.9,6.5,5.0,0,0,100,
18,0116,6/9/2021 12:15:33 PM ,7608,20.911,20.659,0.251,0.2,6347,0.055,0.273,0.217,0.2,0.834,36.8,0.901,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,2,0,242,62,0,0,0.0,ERR:0,48.9,6.0,8.1,5.0,0,0,100,
19,0116,6/9/2021 12:21:13 PM ,7101,20.911,20.677,0.233,0.2,5793,0.055,0.253,0.198,0.2,0.816,34.2,0.902,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,48.1,6.3,7.7,5.0,0,0,100,
20,0116,6/9/2021 12:26:53 PM ,6721,20.911,20.690,0.221,0.2,5490,0.055,0.243,0.188,0.2,0.817,32.4,0.903,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,0,0,26,8,0,0,0.0,ERR:0,47.9,6.3,6.4,5.0,0,0,100,
21,0116,6/9/2021 12:32:33 PM ,6541,20.911,20.697,0.214,0.3,5213,0.056,0.234,0.178,0.2,0.797,31.4,0.902,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,0,0,4,0,0,0,0.0,ERR:0,48.7,5.8,6.3,5.0,0,0,100,
22,0116,6/9/2021 12:38:13 PM ,6556,20.911,20.697,0.214,0.3,5123,0.055,0.230,0.175,0.2,0.781,31.3,0.903,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,0,0,15,3,0,0,0.0,ERR:0,48.6,5.9,7.8,5.0,0,0,100,
23,0116,6/9/2021 12:43:53 PM ,6460,20.911,20.699,0.211,0.3,5114,0.054,0.229,0.175,0.2,0.792,30.9,0.902,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,0,0,55,0,0,0,0.0,ERR:0,48.1,6.2,8.0,5.0,0,0,100,
24,0116,6/9/2021 12:49:33 PM ,6527,20.911,20.698,0.213,0.3,5102,0.053,0.227,0.174,0.2,0.782,31.2,0.902,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,2,0,90,5,0,0,0.0,ERR:0,47.8,6.3,6.6,5.0,0,0,100,
25,0116,6/9/2021 12:55:13 PM ,6572,20.911,20.696,0.214,0.3,5148,0.054,0.230,0.176,0.2,0.783,31.4,0.903,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,1,0,117,8,0,0,0.0,ERR:0,48.6,5.8,6.1,5.0,0,0,100,
26,0116,6/9/2021 1:00:53 PM ,6638,20.911,20.694,0.216,0.3,5155,0.054,0.230,0.176,0.2,0.777,31.7,0.902,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,0,0,8,0,0,0,0.0,ERR:0,48.6,5.8,7.5,5.0,0,0,100,
27,0116,6/9/2021 1:06:33 PM ,6671,20.911,20.693,0.218,0.3,5185,0.054,0.231,0.177,0.3,0.777,31.8,0.902,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,0,0,205,0,0,0,0.0,ERR:0,48.3,6.1,8.9,5.0,0,0,100,
28,0116,6/9/2021 1:12:13 PM ,6922,20.911,20.686,0.225,0.3,5318,0.054,0.235,0.182,0.3,0.768,33.0,0.903,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,0,0,210,23,0,0,0.0,ERR:0,48.2,6.4,6.7,5.0,0,0,100,
29,0116,6/9/2021 1:17:53 PM ,7233,20.911,20.674,0.236,0.4,5698,0.054,0.249,0.195,0.3,0.788,34.6,0.903,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,2,0,1022,22,0,0,0.0,ERR:0,49.2,5.9,6.0,5.0,0,0,100,
30,0116,6/9/2021 1:23:33 PM ,7619,20.911,20.663,0.248,0.4,5918,0.054,0.256,0.202,0.3,0.777,36.4,0.903,75.00,UNSTABLE / OPEN,0.00,0.33,0.051,0.051,52,0,1354,31,3,0,0.0,ERR:0,50.1,5.8,7.2,5.0,0,0,100,
31,0116,6/9/2021 1:29:13 PM ,8052,20.911,20.647,0.264,0.4,6457,0.054,0.275,0.221,0.3,0.802,38.7,0.902,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,0.051,77,0,140,28,54,0,0.0,ERR:0,50.6,6.1,8.7,5.0,0,0,100,
32,0116,6/9/2021 1:34:53 PM ,8440,20.911,20.633,0.278,0.4,6981,0.054,0.293,0.239,0.3,0.827,40.8,0.903,75.00,UNSTABLE / OPEN,0.10,0.42,0.000,0.051,97,7,287,80,38,0,0.0,ERR:0,50.4,6.4,7.1,5.0,0,0,100,
33,0116,6/9/2021 1:40:33 PM ,8510,20.911,20.630,0.281,0.4,7156,0.054,0.299,0.244,0.3,0.841,41.3,0.903,75.00,STABLE / OPEN,0.17,0.60,0.000,0.051,91,33,238,80,15,0,0.0,ERR:0,50.7,6.1,6.1,5.0,0,0,100,
34,0116,6/9/2021 1:46:13 PM ,8617,20.911,20.626,0.285,0.4,7241,0.054,0.301,0.247,0.3,0.840,41.8,0.902,75.00,UNSTABLE / OPEN,0.00,0.60,0.000,0.051,153,61,423,87,17,0,0.0,ERR:0,52.2,5.8,6.9,5.0,0,0,100,
35,0116,6/9/2021 1:51:53 PM ,8342,20.911,20.635,0.276,0.4,7039,0.054,0.295,0.241,0.3,0.844,40.5,0.902,75.00,STABLE / OPEN,0.00,0.60,0.000,0.051,49,0,173,38,4,0,0.0,ERR:0,51.1,6.0,8.4,5.0,0,0,100,
36,0116,6/9/2021 1:57:33 PM ,7653,20.911,20.658,0.253,0.5,6435,0.054,0.274,0.220,0.4,0.841,37.1,0.901,75.00,STABLE / OPEN,0.00,0.60,0.000,0.051,0,0,237,24,0,0,0.0,ERR:0,50.6,6.4,7.4,5.0,0,0,100,
37,0116,6/9/2021 2:03:13 PM ,7127,20.911,20.676,0.235,0.5,5876,0.055,0.255,0.201,0.4,0.824,34.4,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.051,0,0,121,0,0,0,0.0,ERR:0,50.4,6.2,6.3,5.0,0,0,100,
38,0116,6/9/2021 2:08:53 PM ,6878,20.911,20.685,0.226,0.5,5639,0.054,0.246,0.193,0.4,0.820,33.2,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.051,0,0,15,0,0,0,0.0,ERR:0,51.0,5.8,6.5,5.0,0,0,100,
39,0116,6/9/2021 2:14:33 PM ,6717,20.911,20.690,0.221,0.5,5510,0.054,0.242,0.188,0.4,0.820,32.4,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.051,0,0,36,0,0,0,0.0,ERR:0,50.8,5.9,8.1,5.0,0,0,100,
40,0116,6/9/2021 2:20:13 PM ,6632,20.911,20.692,0.218,0.5,5403,0.053,0.238,0.185,0.4,0.815,32.0,0.900,75.00,STABLE / OPEN,0.00,0.60,0.095,0.146,0,0,375,0,0,0,0.0,ERR:0,50.2,6.3,7.7,5.0,0,0,100,
41,0116,6/9/2021 2:25:53 PM ,6623,20.911,20.694,0.217,0.5,5292,0.055,0.236,0.181,0.4,0.799,31.8,0.903,75.00,STABLE / OPEN,0.00,0.60,0.035,0.181,0,0,560,0,0,0,0.0,ERR:0,50.0,6.3,6.4,5.0,0,0,100,
42,0116,6/9/2021 2:31:33 PM ,6738,20.911,20.690,0.221,0.5,5393,0.054,0.238,0.184,0.4,0.800,32.4,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.181,0,0,298,7,0,0,0.0,ERR:0,50.8,5.8,6.2,5.0,0,0,100,
43,0116,6/9/2021 2:37:13 PM ,6393,20.911,20.702,0.208,0.5,4983,0.054,0.224,0.170,0.4,0.779,30.5,0.902,75.00,STABLE / OPEN,0.00,0.60,0.000,0.181,5,0,76,12,0,0,0.0,ERR:0,50.7,5.9,7.8,5.0,0,0,100,
44,0116,6/9/2021 2:42:53 PM ,6854,20.911,20.685,0.225,0.5,5597,0.052,0.244,0.191,0.4,0.817,33.0,0.901,75.00,STABLE / OPEN,0.00,0.60,0.000,0.181,0,0,824,58,0,0,0.0,ERR:0,50.7,6.2,8.1,5.0,0,0,100,
45,0116,6/9/2021 2:48:33 PM ,6880,20.911,20.686,0.225,0.6,5443,0.055,0.241,0.186,0.4,0.791,33.0,0.902,75.00,STABLE / OPEN,0.00,0.60,0.000,0.181,0,0,114,2,0,0,0.0,ERR:0,50.1,6.3,6.6,5.0,0,0,100,
46,0116,6/9/2021 2:54:13 PM ,6997,20.911,20.682,0.229,0.6,5548,0.054,0.244,0.189,0.5,0.793,33.5,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.181,0,0,58,3,0,0,0.0,ERR:0,50.9,5.8,6.1,5.0,0,0,100,
47,0116,6/9/2021 2:59:53 PM ,7723,20.911,20.656,0.254,0.6,6296,0.055,0.271,0.216,0.5,0.815,37.2,0.900,75.00,UNSTABLE / OPEN,0.15,0.74,0.000,0.181,90,0,198,23,4,0,0.0,ERR:0,52.1,5.8,7.5,5.0,0,0,100,
48,0116,6/9/2021 3:05:33 PM ,8244,20.911,20.638,0.272,0.6,6937,0.054,0.291,0.237,0.5,0.841,40.0,0.903,75.00,UNSTABLE / OPEN,0.07,0.81,0.000,0.181,158,0,268,40,2,0,0.0,ERR:0,52.7,6.1,9.0,5.0,0,0,100,
49,0116,6/9/2021 3:11:13 PM ,8163,20.911,20.640,0.271,0.6,6960,0.055,0.293,0.238,0.5,0.853,39.7,0.900,75.00,STABLE / OPEN,0.36,1.16,0.000,0.181,1,0,41,10,0,0,0.0,ERR:0,51.4,6.3,6.8,5.0,0,0,100,
50,0116,6/9/2021 3:16:53 PM ,8434,20.911,20.631,0.279,0.6,7173,0.055,0.300,0.245,0.5,0.850,41.0,0.903,75.00,STABLE / OPEN,0.00,1.16,0.000,0.181,36,22,217,68,1,0,0.0,ERR:0,52.1,6.0,6.0,5.0,0,0,100,
51,0116,6/9/2021 3:22:33 PM ,8333,20.911,20.634,0.276,0.6,7194,0.054,0.300,0.246,0.5,0.863,40.7,0.904,75.00,STABLE / OPEN,0.00,1.16,0.000,0.181,8,3,137,17,0,0,0.0,ERR:0,52.7,5.8,7.1,5.0,0,0,100,
52,0116,6/9/2021 3:28:13 PM ,8041,20.911,20.643,0.268,0.7,7001,0.055,0.294,0.240,0.5,0.871,39.3,0.901,75.00,STABLE / OPEN,0.00,1.16,0.000,0.181,2,0,36,8,0,0,0.0,ERR:0,52.4,6.0,8.6,5.0,0,0,100,
53,0116,6/9/2021 3:33:53 PM ,8063,20.911,20.643,0.268,0.7,6984,0.055,0.293,0.239,0.5,0.866,39.4,0.902,75.00,STABLE / OPEN,0.00,1.16,0.000,0.181,18,7,126,39,0,0,0.0,ERR:0,51.8,6.4,7.1,5.0,0,0,100,
