Oxymax CSV File 

CSV Generation Date,10/10/2022 9:19:28 AM 
Experiment Started,7/19/2021 2:36:37 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-07-19 RG Ucp1 mCre and KO.CDTA

Group/Cage,0101
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,4131
Subject Mass (G), 22.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,7/19/2021 2:37:21 PM ,3912,20.910,20.756,0.154,0.0,3141,0.059,0.188,0.129,0.0,0.803,18.8,0.912,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,2,0,15,7,0,0,0.0,ERR:0,66.6,25.3,23.9,22.2,0,0,100,
2,0101,7/19/2021 2:43:01 PM ,4124,20.910,20.749,0.161,0.0,3131,0.062,0.191,0.129,0.0,0.759,19.6,0.913,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,220,103,451,188,30,0,0.0,ERR:0,66.2,25.1,22.4,22.2,0,0,100,
3,0101,7/19/2021 2:48:41 PM ,4165,20.910,20.748,0.162,0.0,3102,0.059,0.187,0.127,0.0,0.745,19.7,0.914,75.00,UNSTABLE / OPEN,0.40,0.40,0.000,0.000,103,28,440,73,12,0,0.0,ERR:0,66.3,24.7,22.7,22.2,0,0,100,
4,0101,7/19/2021 2:54:21 PM ,4243,20.910,20.746,0.164,0.0,3111,0.060,0.188,0.128,0.0,0.733,20.0,0.915,75.00,STABLE / OPEN,0.00,0.40,0.000,0.000,244,85,491,252,39,0,0.0,ERR:0,66.3,24.3,22.9,22.2,0,0,100,
5,0101,7/19/2021 3:00:01 PM ,4371,20.910,20.741,0.169,0.0,3239,0.060,0.193,0.133,0.0,0.741,20.7,0.916,75.00,UNSTABLE / OPEN,0.00,0.40,0.095,0.095,146,33,281,109,87,0,0.0,ERR:0,66.5,24.1,22.7,22.2,0,0,100,
6,0101,7/19/2021 3:05:41 PM ,4359,20.910,20.741,0.169,0.0,3248,0.058,0.192,0.133,0.0,0.745,20.6,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,166,90,496,233,42,0,0.0,ERR:0,66.2,23.9,22.4,22.2,0,0,100,
7,0101,7/19/2021 3:11:21 PM ,3954,20.910,20.757,0.153,0.1,2898,0.058,0.177,0.119,0.0,0.733,18.7,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,107,1,260,13,0,0,0.0,ERR:0,65.8,23.8,22.3,22.2,0,0,100,
8,0101,7/19/2021 3:17:01 PM ,3369,20.910,20.778,0.132,0.1,2630,0.057,0.165,0.108,0.0,0.781,16.1,0.913,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,1,0,462,14,0,0,0.0,ERR:0,65.6,23.7,22.5,22.2,0,0,100,
9,0101,7/19/2021 3:22:41 PM ,3249,20.910,20.783,0.127,0.1,2548,0.056,0.160,0.104,0.1,0.784,15.5,0.915,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,15,0,91,4,0,0,0.0,ERR:0,65.0,23.5,22.6,22.2,0,0,100,
10,0101,7/19/2021 3:28:21 PM ,3066,20.910,20.789,0.121,0.1,2401,0.055,0.154,0.099,0.1,0.783,14.7,0.911,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,0,0,0,0,0,0,0.0,ERR:0,64.9,23.5,22.7,22.2,0,0,100,
11,0101,7/19/2021 3:34:01 PM ,3398,20.910,20.777,0.133,0.1,2638,0.054,0.162,0.108,0.1,0.776,16.2,0.915,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,40,2,28,6,0,0,0.0,ERR:0,64.7,23.4,22.8,22.2,0,0,100,
12,0101,7/19/2021 3:39:41 PM ,3248,20.910,20.783,0.127,0.1,2558,0.053,0.158,0.105,0.1,0.788,15.5,0.913,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,23,0,92,14,0,0,0.0,ERR:0,64.4,23.4,22.9,22.2,0,0,100,
13,0101,7/19/2021 3:45:21 PM ,3135,20.910,20.788,0.122,0.1,2337,0.053,0.149,0.096,0.1,0.746,14.8,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,7,2,16,1,0,0,0.0,ERR:0,63.9,23.4,22.7,22.2,0,0,100,
14,0101,7/19/2021 3:51:01 PM ,3170,20.910,20.787,0.123,0.1,2342,0.052,0.148,0.096,0.1,0.739,15.0,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.095,0,0,13,0,0,0,0.0,ERR:0,63.6,23.3,22.6,22.2,0,0,100,
15,0101,7/19/2021 3:56:41 PM ,3109,20.910,20.789,0.121,0.1,2298,0.052,0.146,0.094,0.1,0.739,14.7,0.912,75.00,STABLE / OPEN,0.00,0.40,0.040,0.135,0,0,4,0,0,0,0.0,ERR:0,63.6,23.3,22.3,22.2,0,0,100,
16,0101,7/19/2021 4:02:21 PM ,3106,20.910,20.790,0.120,0.1,2274,0.052,0.145,0.093,0.1,0.732,14.7,0.913,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,0,0,0,0,0,0,0.0,ERR:0,63.5,23.3,22.4,22.2,0,0,100,
17,0101,7/19/2021 4:08:01 PM ,3140,20.910,20.788,0.122,0.1,2280,0.052,0.145,0.094,0.1,0.726,14.8,0.912,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,0,0,3,1,0,0,0.0,ERR:0,63.2,23.3,22.6,22.2,0,0,100,
18,0101,7/19/2021 4:13:41 PM ,3764,20.910,20.764,0.146,0.1,2771,0.050,0.164,0.114,0.1,0.736,17.8,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,8,0,249,11,0,0,0.0,ERR:0,63.5,23.3,22.7,22.2,0,0,100,
19,0101,7/19/2021 4:19:21 PM ,4470,20.910,20.738,0.172,0.1,3165,0.050,0.180,0.130,0.1,0.708,21.0,0.913,75.00,UNSTABLE / OPEN,0.00,0.40,0.000,0.135,223,82,383,174,30,0,0.0,ERR:0,64.0,23.3,22.8,22.2,0,0,100,
20,0101,7/19/2021 4:25:01 PM ,4549,20.910,20.734,0.176,0.1,3234,0.051,0.184,0.133,0.1,0.711,21.3,0.912,75.00,UNSTABLE / OPEN,0.00,0.40,0.000,0.135,124,37,199,76,13,0,0.0,ERR:0,63.8,23.3,22.9,22.2,0,0,100,
21,0101,7/19/2021 4:30:41 PM ,4578,20.910,20.732,0.178,0.2,3460,0.050,0.192,0.142,0.1,0.756,21.7,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,173,71,298,146,21,0,0.0,ERR:0,63.6,23.3,22.7,22.2,0,0,100,
22,0101,7/19/2021 4:36:21 PM ,4743,20.910,20.724,0.186,0.2,3727,0.051,0.204,0.153,0.1,0.786,22.7,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,409,192,705,430,65,0,0.0,ERR:0,64.0,23.3,22.4,22.2,0,0,100,
23,0101,7/19/2021 4:42:01 PM ,4641,20.910,20.726,0.184,0.2,3788,0.049,0.205,0.156,0.1,0.816,22.4,0.911,75.00,UNSTABLE / OPEN,0.00,0.40,0.000,0.135,94,50,329,149,81,0,0.0,ERR:0,63.9,23.3,22.3,22.2,0,0,100,
24,0101,7/19/2021 4:47:41 PM ,4068,20.910,20.750,0.160,0.2,3268,0.050,0.184,0.134,0.1,0.803,19.5,0.913,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,13,5,55,25,12,0,0.0,ERR:0,63.2,23.3,22.4,22.2,0,0,100,
25,0101,7/19/2021 4:53:21 PM ,3445,20.910,20.773,0.137,0.2,2901,0.050,0.170,0.120,0.1,0.842,16.7,0.910,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,0,0,0,0,0,0,0.0,ERR:0,63.1,23.3,22.4,22.2,0,0,100,
26,0101,7/19/2021 4:59:01 PM ,3051,20.910,20.788,0.122,0.2,2668,0.049,0.158,0.110,0.2,0.875,14.9,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,0,0,29,0,0,0,0.0,ERR:0,62.6,23.3,22.5,22.2,0,0,100,
27,0101,7/19/2021 5:04:41 PM ,3004,20.910,20.790,0.120,0.2,2581,0.048,0.154,0.106,0.2,0.859,14.6,0.914,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,0,0,0,0,0,0,0.0,ERR:0,62.4,23.2,22.6,22.2,0,0,100,
28,0101,7/19/2021 5:10:21 PM ,3125,20.910,20.786,0.124,0.2,2636,0.049,0.157,0.108,0.2,0.843,15.2,0.911,75.00,STABLE / OPEN,0.00,0.40,0.000,0.135,0,0,8,0,0,0,0.0,ERR:0,62.3,23.2,22.7,22.2,0,0,100,
29,0101,7/19/2021 5:16:01 PM ,3152,20.910,20.785,0.125,0.2,2609,0.048,0.155,0.107,0.2,0.828,15.2,0.915,75.00,STABLE / OPEN,0.00,0.40,0.035,0.170,8,1,22,1,0,0,0.0,ERR:0,62.2,23.3,22.8,22.2,0,0,100,
30,0101,7/19/2021 5:21:41 PM ,4030,20.910,20.751,0.159,0.2,3277,0.048,0.182,0.135,0.2,0.813,19.4,0.912,75.00,STABLE / OPEN,0.17,0.57,0.000,0.170,178,57,425,121,8,0,0.0,ERR:0,62.4,23.2,22.9,22.2,0,0,100,
31,0101,7/19/2021 5:27:21 PM ,4494,20.910,20.734,0.176,0.2,3508,0.047,0.191,0.144,0.2,0.781,21.5,0.913,75.00,STABLE / OPEN,0.00,0.57,0.000,0.170,184,34,330,119,17,0,0.0,ERR:0,63.0,23.2,22.8,22.2,0,0,100,
32,0101,7/19/2021 5:33:01 PM ,4648,20.910,20.728,0.182,0.2,3673,0.049,0.200,0.151,0.2,0.790,22.3,0.914,75.00,STABLE / OPEN,0.00,0.57,0.000,0.170,262,134,665,347,59,0,0.0,ERR:0,62.7,23.3,22.6,22.2,0,0,100,
33,0101,7/19/2021 5:38:41 PM ,4605,20.910,20.728,0.182,0.3,3751,0.046,0.200,0.154,0.2,0.815,22.2,0.913,75.00,UNSTABLE / OPEN,0.00,0.57,0.000,0.170,88,25,303,77,69,0,0.0,ERR:0,63.6,23.3,22.3,22.2,0,0,100,
34,0101,7/19/2021 5:44:21 PM ,4509,20.910,20.732,0.178,0.3,3669,0.047,0.198,0.151,0.2,0.814,21.7,0.914,75.00,STABLE / OPEN,0.00,0.57,0.000,0.170,101,44,267,109,3,0,0.0,ERR:0,64.1,23.3,22.3,22.2,0,0,100,
35,0101,7/19/2021 5:50:01 PM ,4465,20.910,20.733,0.177,0.3,3723,0.048,0.201,0.153,0.2,0.834,21.6,0.911,75.00,STABLE / OPEN,0.00,0.57,0.000,0.170,97,51,240,111,11,0,0.0,ERR:0,63.0,23.3,22.4,22.2,0,0,100,
36,0101,7/19/2021 5:55:41 PM ,3914,20.910,20.756,0.154,0.3,3157,0.047,0.177,0.130,0.2,0.807,18.8,0.913,75.00,STABLE / OPEN,0.00,0.57,0.000,0.170,1,0,192,6,0,0,0.0,ERR:0,62.1,23.3,22.6,22.2,0,0,100,
37,0101,7/19/2021 6:01:21 PM ,3386,20.910,20.774,0.136,0.3,3010,0.047,0.170,0.124,0.2,0.889,16.6,0.912,75.00,STABLE / OPEN,0.00,0.57,0.000,0.170,0,0,10,1,0,0,0.0,ERR:0,61.6,23.3,22.7,22.2,0,0,0,
38,0101,7/19/2021 6:07:01 PM ,3133,20.910,20.785,0.125,0.3,2728,0.047,0.159,0.112,0.2,0.871,15.3,0.913,75.00,STABLE / OPEN,0.00,0.57,0.000,0.170,0,0,4,0,0,0,0.0,ERR:0,61.5,23.2,22.7,22.2,0,0,0,
39,0101,7/19/2021 6:12:41 PM ,3055,20.910,20.787,0.123,0.3,2730,0.046,0.158,0.112,0.2,0.894,15.0,0.914,75.00,NO RESPONSE / OPEN,0.00,0.57,0.000,0.170,0,0,2,0,0,0,0.0,ERR:0,61.3,23.2,22.7,22.2,0,0,0,
40,0101,7/19/2021 6:18:21 PM ,4109,20.910,20.747,0.163,0.3,3433,0.046,0.188,0.141,0.2,0.836,19.9,0.911,75.00,STABLE / OPEN,0.00,0.57,0.034,0.204,198,101,460,251,23,0,0.0,ERR:0,61.5,23.2,22.8,22.2,0,0,0,
41,0101,7/19/2021 6:24:01 PM ,4618,20.910,20.728,0.182,0.3,3735,0.046,0.199,0.153,0.3,0.809,22.2,0.915,75.00,UNSTABLE / OPEN,0.00,0.57,0.000,0.204,209,77,374,164,35,0,0.0,ERR:0,62.0,23.2,22.7,22.2,0,0,0,
42,0101,7/19/2021 6:29:41 PM ,4723,20.910,20.724,0.186,0.3,3756,0.047,0.202,0.155,0.3,0.795,22.6,0.910,75.00,UNSTABLE / OPEN,0.00,0.57,0.000,0.204,166,86,356,184,20,0,0.0,ERR:0,62.0,23.2,22.8,22.2,0,0,0,
43,0101,7/19/2021 6:35:21 PM ,4717,20.910,20.724,0.186,0.3,3799,0.047,0.203,0.156,0.3,0.805,22.7,0.913,75.00,STABLE / OPEN,0.00,0.57,0.000,0.204,92,26,243,61,9,0,0.0,ERR:0,61.7,23.2,22.8,22.2,0,0,0,
44,0101,7/19/2021 6:41:01 PM ,4805,20.910,20.718,0.192,0.4,4121,0.047,0.216,0.169,0.3,0.858,23.4,0.913,75.00,UNSTABLE / OPEN,0.00,0.57,0.000,0.204,283,67,440,175,6,0,0.0,ERR:0,61.6,23.2,22.8,22.2,0,0,0,
45,0101,7/19/2021 6:46:41 PM ,4845,20.910,20.717,0.193,0.4,4123,0.047,0.216,0.169,0.3,0.851,23.6,0.913,75.00,UNSTABLE / OPEN,0.06,0.63,0.000,0.204,79,38,376,198,116,0,0.0,ERR:0,61.5,23.2,22.9,22.2,0,0,0,
46,0101,7/19/2021 6:52:21 PM ,4649,20.910,20.725,0.185,0.4,3950,0.046,0.207,0.162,0.3,0.850,22.6,0.915,75.00,UNSTABLE / OPEN,0.06,0.69,0.000,0.204,235,76,349,176,15,0,0.0,ERR:0,61.0,23.2,22.8,22.2,0,0,0,
47,0101,7/19/2021 6:58:01 PM ,4866,20.910,20.716,0.194,0.4,4182,0.046,0.218,0.172,0.3,0.859,23.7,0.912,75.00,UNSTABLE / OPEN,0.04,0.72,0.000,0.204,292,108,800,487,116,0,0.0,ERR:0,61.4,23.2,22.9,22.2,0,0,0,
48,0101,7/19/2021 7:03:41 PM ,4819,20.910,20.718,0.192,0.4,4172,0.045,0.217,0.171,0.3,0.866,23.5,0.914,75.00,STABLE / OPEN,0.15,0.87,0.000,0.204,261,99,543,290,58,0,0.0,ERR:0,61.6,23.2,22.8,22.2,0,0,0,
49,0101,7/19/2021 7:09:21 PM ,4785,20.910,20.718,0.192,0.4,4274,0.045,0.221,0.176,0.3,0.893,23.5,0.912,75.00,STABLE / OPEN,0.00,0.87,0.000,0.204,446,233,968,570,72,0,0.0,ERR:0,61.8,23.2,22.8,22.2,0,0,0,
50,0101,7/19/2021 7:15:01 PM ,4813,20.910,20.718,0.192,0.4,4186,0.046,0.218,0.172,0.3,0.870,23.5,0.914,75.00,UNSTABLE / OPEN,0.00,0.87,0.000,0.204,431,218,841,579,54,0,0.0,ERR:0,62.0,23.2,22.9,22.2,0,0,0,
51,0101,7/19/2021 7:20:41 PM ,4890,20.910,20.714,0.196,0.4,4259,0.046,0.221,0.175,0.3,0.871,23.9,0.912,75.00,STABLE / OPEN,0.05,0.92,0.000,0.204,253,124,694,409,77,0,0.0,ERR:0,62.1,23.2,22.8,22.2,0,0,0,
52,0101,7/19/2021 7:26:21 PM ,4830,20.910,20.717,0.193,0.4,4205,0.045,0.218,0.173,0.4,0.871,23.6,0.913,75.00,STABLE / OPEN,0.00,0.92,0.000,0.204,341,85,374,200,68,0,0.0,ERR:0,61.7,23.3,22.7,22.2,0,0,0,
53,0101,7/19/2021 7:32:01 PM ,4853,20.910,20.715,0.195,0.4,4333,0.045,0.223,0.178,0.4,0.893,23.9,0.914,75.00,UNSTABLE / OPEN,0.00,0.92,0.136,0.340,412,220,991,651,69,0,0.0,ERR:0,61.9,23.2,22.6,22.2,0,0,0,
