Oxymax CSV File 

CSV Generation Date,10/10/2022 8:48:58 AM 
Experiment Started,12/13/2021 2:36:24 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-12-13 RG CX3CR1 Adipoq Flox and KO cold snap.CDTA

Group/Cage,0104
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,3594
Subject Mass (G), 27.8 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,12/13/2021 2:38:08 PM ,8635,20.914,20.489,0.425,0.0,6978,0.060,0.418,0.358,0.0,0.808,41.5,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,295,0,48,4,0,1,0.0,0.0,31.6,23.8,22.5,22.0,0,0,0,
2,0104,12/13/2021 2:43:48 PM ,6391,20.914,20.600,0.313,0.0,5067,0.063,0.322,0.260,0.0,0.793,30.6,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,356,6,271,53,0,1,0.0,0.0,31.6,23.7,22.7,22.0,0,0,100,
3,0104,12/13/2021 2:49:28 PM ,5195,20.914,20.659,0.255,0.0,4067,0.063,0.271,0.209,0.0,0.783,24.8,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,148,1,173,24,0,0,0.0,0.0,31.9,23.6,22.5,22.0,0,0,100,
4,0104,12/13/2021 2:55:08 PM ,4574,20.914,20.690,0.224,0.0,3583,0.061,0.245,0.184,0.0,0.783,21.9,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,201,4,254,33,0,1,0.0,0.0,32.0,23.7,22.2,22.0,0,0,100,
5,0104,12/13/2021 3:00:48 PM ,4174,20.914,20.710,0.203,0.1,3160,0.059,0.222,0.162,0.0,0.757,19.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,897,44,190,64,0,1,0.0,0.0,31.7,23.7,22.1,22.0,0,0,100,
6,0104,12/13/2021 3:06:28 PM ,4352,20.914,20.702,0.211,0.1,3289,0.058,0.226,0.168,0.1,0.756,20.7,0.906,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,287,110,472,243,14,0,0.0,0.0,31.7,23.7,22.3,22.0,0,0,100,
7,0104,12/13/2021 3:12:08 PM ,4619,20.914,20.690,0.224,0.1,3377,0.058,0.231,0.173,0.1,0.731,21.8,0.903,75.00,UNSTABLE / OPEN,0.07,0.07,0.000,0.000,470,124,524,262,33,0,0.0,0.0,31.5,23.7,22.5,22.0,0,0,100,
8,0104,12/13/2021 3:17:48 PM ,4678,20.914,20.687,0.227,0.1,3479,0.056,0.235,0.178,0.1,0.744,22.1,0.904,75.00,STABLE / OPEN,0.10,0.17,0.000,0.000,253,123,376,230,29,1,0.0,0.0,31.3,23.8,22.7,22.0,0,0,100,
9,0104,12/13/2021 3:23:28 PM ,4560,20.914,20.692,0.222,0.1,3360,0.055,0.228,0.173,0.1,0.737,21.5,0.901,75.00,UNSTABLE / OPEN,0.00,0.17,0.000,0.000,287,95,376,182,18,0,0.0,0.0,31.4,23.8,22.4,22.0,0,0,100,
10,0104,12/13/2021 3:29:08 PM ,4454,20.914,20.696,0.218,0.1,3433,0.053,0.229,0.176,0.1,0.771,21.2,0.902,75.00,STABLE / OPEN,0.09,0.26,0.077,0.077,254,100,325,158,17,1,0.0,0.0,31.8,23.8,22.1,22.0,0,0,100,
11,0104,12/13/2021 3:34:48 PM ,4352,20.914,20.702,0.212,0.1,3259,0.054,0.221,0.167,0.1,0.749,20.6,0.903,75.00,STABLE / OPEN,0.03,0.29,0.039,0.116,179,61,368,126,8,2,0.0,0.0,31.6,23.8,22.3,22.0,0,0,100,
12,0104,12/13/2021 3:40:28 PM ,4039,20.914,20.715,0.199,0.1,3305,0.053,0.223,0.169,0.1,0.818,19.5,0.904,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,1552,11,333,46,0,2,0.0,0.0,31.9,23.8,22.5,22.0,0,0,100,
13,0104,12/13/2021 3:46:08 PM ,3878,20.914,20.723,0.191,0.2,3097,0.055,0.213,0.159,0.1,0.799,18.6,0.903,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,803,3,224,28,0,1,0.0,0.0,32.0,23.8,22.6,22.0,0,0,100,
14,0104,12/13/2021 3:51:48 PM ,3528,20.914,20.742,0.172,0.2,2697,0.058,0.196,0.138,0.1,0.764,16.8,0.903,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,103,0,122,15,0,2,0.0,0.0,31.7,23.8,22.5,22.0,0,0,100,
15,0104,12/13/2021 3:57:28 PM ,3249,20.914,20.757,0.157,0.2,2372,0.057,0.179,0.122,0.1,0.730,15.3,0.904,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,2961,0,42,2,0,1,0.0,0.0,31.5,23.8,22.2,22.0,0,0,100,
16,0104,12/13/2021 4:03:08 PM ,3085,20.914,20.762,0.151,0.2,2425,0.057,0.181,0.124,0.1,0.786,14.8,0.903,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,835,0,108,23,0,1,0.0,0.0,31.4,23.7,22.2,22.0,0,0,100,
17,0104,12/13/2021 4:08:48 PM ,3037,20.914,20.765,0.149,0.2,2372,0.056,0.177,0.122,0.1,0.781,14.5,0.903,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,179,0,36,15,0,1,0.0,0.0,31.5,23.8,22.4,22.0,0,0,100,
18,0104,12/13/2021 4:14:28 PM ,2899,20.914,20.772,0.142,0.2,2277,0.056,0.173,0.117,0.1,0.786,13.9,0.903,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,32,0,58,3,0,0,0.0,0.0,31.4,23.8,22.5,22.0,0,0,100,
19,0104,12/13/2021 4:20:08 PM ,3321,20.914,20.754,0.160,0.2,2389,0.054,0.177,0.122,0.2,0.719,15.6,0.905,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,91,2,227,46,0,1,0.0,0.0,31.7,23.7,22.7,22.0,0,0,100,
20,0104,12/13/2021 4:25:48 PM ,3166,20.914,20.759,0.154,0.2,2407,0.053,0.177,0.124,0.2,0.760,15.0,0.902,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,72,0,370,5,0,0,0.0,0.0,31.4,23.7,22.5,22.0,0,0,100,
21,0104,12/13/2021 4:31:28 PM ,3812,20.914,20.728,0.185,0.2,2869,0.053,0.200,0.147,0.2,0.753,18.1,0.903,75.00,STABLE / OPEN,0.00,0.29,0.000,0.116,249,96,280,136,2,0,0.0,0.0,32.0,23.7,22.2,22.0,0,0,100,
22,0104,12/13/2021 4:37:08 PM ,4002,20.914,20.718,0.196,0.2,3102,0.053,0.213,0.159,0.2,0.775,19.1,0.901,75.00,STABLE / OPEN,0.08,0.37,0.000,0.116,240,63,241,106,7,1,0.0,0.0,32.3,23.7,22.1,22.0,0,0,100,
23,0104,12/13/2021 4:42:48 PM ,4081,20.914,20.714,0.199,0.2,3141,0.053,0.214,0.161,0.2,0.770,19.4,0.904,75.00,STABLE / OPEN,0.00,0.37,0.000,0.116,147,42,321,108,6,0,0.0,0.0,32.1,23.8,22.3,22.0,0,0,100,
24,0104,12/13/2021 4:48:28 PM ,3986,20.914,20.718,0.195,0.3,3119,0.053,0.214,0.160,0.2,0.782,19.0,0.903,75.00,STABLE / OPEN,0.00,0.37,0.000,0.116,239,0,146,6,0,1,0.0,0.0,32.4,23.8,22.5,22.0,0,0,100,
25,0104,12/13/2021 4:54:08 PM ,3599,20.914,20.736,0.177,0.3,2918,0.053,0.203,0.150,0.2,0.811,17.3,0.904,75.00,STABLE / OPEN,0.00,0.37,0.000,0.116,7,1,114,1,0,0,0.0,0.0,32.1,23.7,22.6,22.0,0,0,100,
26,0104,12/13/2021 4:59:48 PM ,3170,20.914,20.759,0.154,0.3,2395,0.054,0.177,0.123,0.2,0.756,15.0,0.904,75.00,STABLE / OPEN,0.00,0.37,0.089,0.205,1,0,1,0,0,1,0.0,0.0,31.8,23.7,22.6,22.0,0,0,100,
27,0104,12/13/2021 5:05:28 PM ,2825,20.914,20.774,0.140,0.3,2345,0.053,0.173,0.120,0.2,0.830,13.7,0.904,75.00,STABLE / OPEN,0.00,0.37,0.000,0.205,0,0,32,1,0,0,0.0,0.0,31.8,23.8,22.2,22.0,0,0,100,
28,0104,12/13/2021 5:11:08 PM ,3067,20.914,20.763,0.150,0.3,2396,0.053,0.176,0.123,0.2,0.781,14.7,0.902,75.00,STABLE / OPEN,0.00,0.37,0.000,0.205,64,0,54,1,0,0,0.0,0.0,32.1,23.8,22.1,22.0,0,0,100,
29,0104,12/13/2021 5:16:48 PM ,2993,20.914,20.766,0.147,0.3,2421,0.052,0.176,0.124,0.2,0.809,14.4,0.903,75.00,STABLE / OPEN,0.00,0.37,0.000,0.205,4,0,20,1,0,0,0.0,0.0,31.9,23.7,22.4,22.0,0,0,100,
30,0104,12/13/2021 5:22:28 PM ,3413,20.914,20.748,0.165,0.3,2510,0.052,0.181,0.129,0.2,0.735,16.1,0.903,75.00,STABLE / OPEN,0.04,0.41,0.000,0.205,127,39,143,43,8,0,0.0,0.0,31.9,23.7,22.5,22.0,0,0,100,
31,0104,12/13/2021 5:28:08 PM ,3785,20.914,20.728,0.185,0.3,2953,0.051,0.202,0.151,0.2,0.780,18.1,0.904,75.00,UNSTABLE / OPEN,0.08,0.49,0.000,0.205,367,53,208,91,4,1,0.0,0.0,32.3,23.8,22.7,22.0,0,0,100,
32,0104,12/13/2021 5:33:48 PM ,4267,20.914,20.705,0.209,0.3,3332,0.050,0.222,0.171,0.2,0.781,20.4,0.902,75.00,STABLE / OPEN,0.00,0.49,0.000,0.205,258,123,382,223,47,1,0.0,0.0,32.7,23.8,22.5,22.0,0,0,100,
33,0104,12/13/2021 5:39:28 PM ,4399,20.914,20.699,0.215,0.3,3400,0.052,0.226,0.174,0.3,0.773,21.0,0.905,75.00,STABLE / OPEN,0.04,0.52,0.336,0.541,223,99,329,136,36,1,0.0,0.0,32.8,23.8,22.2,22.0,0,0,100,
34,0104,12/13/2021 5:45:08 PM ,4600,20.914,20.688,0.226,0.3,3599,0.051,0.236,0.185,0.3,0.782,22.0,0.902,75.00,STABLE / OPEN,0.07,0.59,0.000,0.541,436,196,760,459,38,0,0.0,0.0,32.7,23.9,22.1,22.0,0,0,100,
35,0104,12/13/2021 5:50:48 PM ,4691,20.914,20.683,0.231,0.4,3821,0.050,0.246,0.196,0.3,0.814,22.6,0.905,75.00,UNSTABLE / OPEN,0.09,0.68,0.000,0.541,623,343,966,626,15,0,0.0,0.0,32.6,23.8,22.4,22.0,0,0,100,
36,0104,12/13/2021 5:56:28 PM ,4710,20.914,20.681,0.233,0.4,3880,0.050,0.249,0.199,0.3,0.824,22.7,0.903,75.00,UNSTABLE / OPEN,0.00,0.68,0.000,0.541,489,227,635,391,26,0,0.0,0.0,32.8,23.8,22.6,22.0,0,0,100,
37,0104,12/13/2021 6:02:08 PM ,4581,20.914,20.687,0.227,0.4,3841,0.050,0.246,0.197,0.3,0.838,22.2,0.905,75.00,STABLE / OPEN,0.03,0.71,0.000,0.541,354,115,477,224,46,0,0.0,0.0,32.8,23.8,22.7,22.0,0,0,0,
38,0104,12/13/2021 6:07:48 PM ,4518,20.914,20.690,0.224,0.4,3782,0.050,0.245,0.194,0.3,0.837,21.9,0.903,75.00,UNSTABLE / OPEN,0.04,0.74,0.000,0.541,319,167,566,335,35,1,0.0,0.0,33.0,23.7,22.5,22.0,0,0,0,
39,0104,12/13/2021 6:13:28 PM ,4469,20.914,20.693,0.221,0.4,3700,0.050,0.239,0.190,0.3,0.828,21.6,0.904,75.00,UNSTABLE / OPEN,0.00,0.74,0.000,0.541,464,224,733,467,28,0,0.0,0.0,33.3,23.6,22.3,22.0,0,0,0,
40,0104,12/13/2021 6:19:08 PM ,4603,20.914,20.685,0.228,0.4,3835,0.049,0.246,0.197,0.3,0.833,22.3,0.902,74.99,UNSTABLE / OPEN,0.03,0.78,0.000,0.541,636,257,814,516,26,0,0.0,0.0,33.7,23.6,22.1,22.0,0,0,0,
41,0104,12/13/2021 6:24:48 PM ,4627,20.914,20.684,0.229,0.4,3855,0.051,0.249,0.198,0.3,0.833,22.4,0.902,75.00,STABLE / OPEN,0.00,0.78,0.000,0.541,700,391,1217,849,98,0,0.0,0.0,35.3,23.5,22.1,22.0,0,0,0,
42,0104,12/13/2021 6:30:28 PM ,4618,20.914,20.685,0.229,0.4,3831,0.049,0.246,0.197,0.3,0.830,22.3,0.902,75.00,UNSTABLE / OPEN,0.00,0.78,0.000,0.541,730,353,931,600,64,0,0.0,0.0,36.0,23.4,22.1,22.0,0,0,0,
43,0104,12/13/2021 6:36:08 PM ,4559,20.914,20.687,0.226,0.5,3880,0.049,0.248,0.199,0.4,0.851,22.2,0.904,75.00,STABLE / OPEN,0.00,0.78,0.000,0.541,668,372,1059,685,57,0,0.0,0.0,36.0,23.4,22.2,22.0,0,0,0,
44,0104,12/13/2021 6:41:48 PM ,4391,20.914,20.696,0.217,0.5,3664,0.049,0.237,0.188,0.4,0.834,21.3,0.903,75.00,STABLE / OPEN,0.00,0.78,0.000,0.541,321,141,567,273,59,0,0.0,0.0,35.6,23.4,22.2,22.0,0,0,0,
45,0104,12/13/2021 6:47:28 PM ,4305,20.914,20.701,0.213,0.5,3530,0.049,0.230,0.181,0.4,0.820,20.8,0.903,75.00,UNSTABLE / OPEN,0.00,0.78,0.000,0.541,353,148,520,295,15,0,0.0,0.0,35.1,23.4,22.3,22.0,0,0,0,
46,0104,12/13/2021 6:53:08 PM ,4241,20.914,20.704,0.210,0.5,3524,0.050,0.230,0.181,0.4,0.831,20.5,0.904,75.00,UNSTABLE / OPEN,0.06,0.84,0.000,0.541,370,231,600,366,32,0,0.0,0.0,35.3,23.4,22.4,22.0,0,0,0,
47,0104,12/13/2021 6:58:48 PM ,4280,20.914,20.702,0.212,0.5,3566,0.049,0.232,0.183,0.4,0.833,20.7,0.904,75.00,STABLE / OPEN,0.00,0.84,0.000,0.541,556,294,612,373,54,0,0.0,0.0,35.5,23.3,22.5,22.0,0,0,0,
48,0104,12/13/2021 7:04:28 PM ,4262,20.914,20.704,0.210,0.5,3440,0.050,0.226,0.177,0.4,0.807,20.5,0.902,75.00,STABLE / OPEN,0.00,0.84,0.000,0.541,297,68,453,134,17,0,0.0,0.0,35.9,23.3,22.5,22.0,0,0,0,
49,0104,12/13/2021 7:10:08 PM ,4013,20.914,20.715,0.199,0.5,3332,0.050,0.221,0.171,0.4,0.830,19.4,0.903,75.00,STABLE / OPEN,0.00,0.84,0.000,0.541,162,4,240,53,0,0,0.0,0.0,35.9,23.3,22.6,22.0,0,0,0,
50,0104,12/13/2021 7:15:48 PM ,3567,20.914,20.739,0.174,0.5,2761,0.049,0.191,0.142,0.4,0.774,17.0,0.902,75.00,STABLE / OPEN,0.00,0.84,0.000,0.541,641,0,73,13,0,0,0.0,0.0,35.4,23.3,22.7,22.0,0,0,0,
51,0104,12/13/2021 7:21:28 PM ,3217,20.914,20.755,0.158,0.5,2572,0.050,0.182,0.132,0.4,0.800,15.4,0.903,75.00,STABLE / OPEN,0.00,0.84,0.000,0.541,374,1,34,6,0,0,0.0,0.0,35.3,23.3,22.7,22.0,0,0,0,
52,0104,12/13/2021 7:27:08 PM ,3003,20.914,20.766,0.148,0.5,2426,0.049,0.174,0.125,0.4,0.808,14.4,0.902,75.00,STABLE / OPEN,0.00,0.84,0.000,0.541,63,0,210,5,0,0,0.0,0.0,35.1,23.3,22.6,22.0,0,0,0,
53,0104,12/13/2021 7:32:48 PM ,3028,20.914,20.766,0.148,0.6,2336,0.050,0.170,0.120,0.4,0.771,14.4,0.903,75.00,STABLE / OPEN,0.00,0.84,0.000,0.541,104,0,163,11,0,0,0.0,0.0,35.0,23.3,22.5,22.0,0,0,0,
