Oxymax CSV File 

CSV Generation Date,10/10/2022 8:52:20 AM 
Experiment Started,2/22/2022 10:08:14 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-02-22 Chen Mice 22C FUS vs Sham Stimulation.CDTA

Group/Cage,0103
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,3A
Subject Mass (G), 14.9 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,2/22/2022 10:09:38 AM ,5065,20.903,20.772,0.131,0.0,3971,0.058,0.166,0.108,0.0,0.784,24.2,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,33,1,0,0,0,12,0.0,0.0,60.0,22.6,22.9,22.2,0,0,100,
2,0103,2/22/2022 10:12:18 AM ,5002,20.903,20.773,0.130,0.0,4076,0.058,0.169,0.111,0.0,0.815,24.1,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,36,2,0,8,0.0,0.0,60.1,22.6,22.4,22.2,0,0,100,
3,0103,2/22/2022 10:15:18 AM ,5429,20.903,20.764,0.139,0.0,4062,0.058,0.169,0.110,0.0,0.748,25.7,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,3,0.0,0.0,60.0,22.6,22.9,22.2,0,0,100,
4,0103,2/22/2022 10:17:58 AM ,5441,20.903,20.763,0.140,0.0,4069,0.058,0.169,0.110,0.0,0.748,25.8,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,6,0.0,0.0,59.9,22.7,22.4,22.2,0,0,100,
5,0103,2/22/2022 10:20:58 AM ,5443,20.903,20.763,0.140,0.0,4047,0.059,0.169,0.110,0.0,0.743,25.8,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,4,0,0,9,0.0,0.0,59.9,22.7,22.9,22.2,0,0,100,
6,0103,2/22/2022 10:23:38 AM ,5248,20.903,20.767,0.136,0.0,4174,0.059,0.172,0.113,0.0,0.795,25.2,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,18,0.0,0.0,60.1,22.7,22.3,22.2,0,0,100,
7,0103,2/22/2022 10:26:38 AM ,5495,20.903,20.762,0.141,0.0,4072,0.065,0.175,0.110,0.0,0.741,26.0,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,19,1,75,22,0,5,0.0,0.0,60.2,22.7,22.8,22.2,0,0,100,
8,0103,2/22/2022 10:29:18 AM ,5319,20.903,20.766,0.136,0.0,3950,0.065,0.172,0.107,0.0,0.743,25.2,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,116,20,245,61,0,7,0.0,0.0,60.3,22.7,22.3,22.2,0,0,100,
9,0103,2/22/2022 10:32:18 AM ,5078,20.903,20.773,0.130,0.0,3750,0.066,0.168,0.102,0.0,0.738,24.0,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,0,0,0,0,2,0.0,0.0,60.2,22.8,22.7,22.2,0,0,100,
10,0103,2/22/2022 10:34:58 AM ,5160,20.903,20.771,0.132,0.0,3769,0.066,0.168,0.102,0.0,0.730,24.3,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,4,0.0,0.0,60.1,22.8,22.4,22.2,0,0,100,
11,0103,2/22/2022 10:37:58 AM ,5179,20.903,20.770,0.133,0.0,3844,0.064,0.169,0.104,0.0,0.742,24.5,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,7,0.0,0.0,60.2,22.8,22.7,22.2,0,0,100,
12,0103,2/22/2022 10:40:38 AM ,5215,20.903,20.769,0.134,0.0,3822,0.064,0.168,0.104,0.0,0.733,24.6,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,6,1,10,1,0,8,0.0,0.0,60.0,22.8,22.5,22.2,0,0,100,
13,0103,2/22/2022 10:43:38 AM ,5262,20.903,20.769,0.134,0.0,3829,0.063,0.166,0.104,0.0,0.728,24.8,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,3,0.0,0.0,59.9,22.8,22.7,22.2,0,0,100,
14,0103,2/22/2022 10:46:18 AM ,5330,20.903,20.767,0.136,0.0,3823,0.063,0.166,0.103,0.0,0.717,25.0,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,6,0.0,0.0,59.9,22.8,22.5,22.2,0,0,100,
15,0103,2/22/2022 10:49:18 AM ,4939,20.903,20.777,0.126,0.1,3624,0.061,0.159,0.098,0.0,0.734,23.3,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,7,0.0,0.0,59.9,22.9,22.7,22.2,0,0,100,
16,0103,2/22/2022 10:51:58 AM ,4933,20.903,20.777,0.126,0.1,3609,0.061,0.159,0.098,0.0,0.732,23.3,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,2,0,21,6,0,2,0.0,0.0,59.7,22.9,22.5,22.2,0,0,100,
17,0103,2/22/2022 10:54:58 AM ,5032,20.903,20.774,0.129,0.1,3722,0.060,0.161,0.101,0.0,0.740,23.8,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,6,0.0,0.0,59.8,22.9,22.7,22.2,0,0,100,
18,0103,2/22/2022 10:57:38 AM ,5011,20.903,20.774,0.129,0.1,3688,0.060,0.161,0.100,0.0,0.736,23.7,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,1,0,6,0.0,0.0,59.7,22.9,22.5,22.2,0,0,100,
19,0103,2/22/2022 11:00:38 AM ,5047,20.903,20.773,0.130,0.1,3711,0.059,0.160,0.101,0.0,0.735,23.8,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,6,0.0,0.0,59.7,22.9,22.7,22.2,0,0,100,
20,0103,2/22/2022 11:03:18 AM ,5019,20.903,20.774,0.129,0.1,3676,0.059,0.159,0.100,0.1,0.732,23.7,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,6,0,0,6,0.0,0.0,59.7,22.8,22.5,22.2,0,0,100,
21,0103,2/22/2022 11:06:18 AM ,5054,20.903,20.773,0.130,0.1,3756,0.059,0.160,0.102,0.1,0.743,23.9,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,4,0.0,0.0,59.7,22.8,22.7,22.2,0,0,100,
22,0103,2/22/2022 11:08:58 AM ,5029,20.903,20.774,0.129,0.1,3693,0.059,0.159,0.100,0.1,0.734,23.7,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,5,0.0,0.0,59.6,22.9,22.5,22.2,0,0,100,
23,0103,2/22/2022 11:11:58 AM ,4985,20.903,20.775,0.128,0.1,3691,0.058,0.158,0.100,0.1,0.741,23.6,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,4,0.0,0.0,59.7,22.9,22.7,22.2,0,0,100,
24,0103,2/22/2022 11:14:38 AM ,4909,20.903,20.777,0.126,0.1,3685,0.058,0.158,0.100,0.1,0.751,23.3,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,5,0,0,4,0.0,0.0,59.7,22.9,22.6,22.2,0,0,100,
25,0103,2/22/2022 11:17:38 AM ,5094,20.903,20.773,0.130,0.1,3719,0.058,0.158,0.101,0.1,0.730,24.0,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,5,0.0,0.0,59.6,22.9,22.6,22.2,0,0,100,
26,0103,2/22/2022 11:20:18 AM ,5128,20.903,20.772,0.131,0.1,3791,0.058,0.160,0.103,0.1,0.739,24.2,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,6,0.0,0.0,59.7,22.9,22.6,22.2,0,0,100,
27,0103,2/22/2022 11:23:18 AM ,5121,20.903,20.771,0.132,0.1,3829,0.058,0.162,0.104,0.1,0.748,24.3,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,7,0.0,0.0,59.6,22.8,22.6,22.2,0,0,100,
28,0103,2/22/2022 11:25:58 AM ,5176,20.903,20.771,0.132,0.1,3819,0.058,0.161,0.103,0.1,0.738,24.5,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,5,0.0,0.0,59.6,22.9,22.8,22.2,0,0,100,
29,0103,2/22/2022 11:28:58 AM ,5093,20.903,20.772,0.131,0.1,3765,0.058,0.160,0.102,0.1,0.739,24.1,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,4,0.0,0.0,59.6,22.9,22.6,22.2,0,0,100,
30,0103,2/22/2022 11:31:38 AM ,5404,20.903,20.765,0.138,0.1,3964,0.058,0.165,0.108,0.1,0.733,25.5,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,6,0,23,3,0,2,0.0,0.0,59.7,22.9,22.8,22.2,0,0,100,
31,0103,2/22/2022 11:34:38 AM ,5593,20.903,20.759,0.144,0.1,4225,0.057,0.172,0.115,0.1,0.755,26.5,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,7,1,162,19,0,5,0.0,0.0,59.8,22.9,22.5,22.2,0,0,100,
32,0103,2/22/2022 11:37:18 AM ,5772,20.903,20.754,0.149,0.1,4347,0.057,0.176,0.118,0.1,0.753,27.4,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,8,3,179,27,4,4,0.0,0.0,59.9,22.9,22.7,22.2,0,0,100,
33,0103,2/22/2022 11:40:18 AM ,5354,20.903,20.765,0.138,0.1,4064,0.057,0.168,0.110,0.1,0.759,25.4,0.914,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,8,0.0,0.0,59.7,22.9,22.6,22.2,0,0,100,
34,0103,2/22/2022 11:42:58 AM ,5199,20.903,20.769,0.134,0.1,3969,0.057,0.165,0.108,0.1,0.763,24.7,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,6,0.0,0.0,59.7,22.9,22.7,22.2,0,0,100,
35,0103,2/22/2022 11:45:58 AM ,4931,20.903,20.776,0.127,0.1,3725,0.058,0.159,0.101,0.1,0.755,23.4,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,3,0.0,0.0,59.6,22.9,22.6,22.2,0,0,100,
36,0103,2/22/2022 11:48:38 AM ,4761,20.903,20.780,0.123,0.1,3632,0.058,0.156,0.098,0.1,0.763,22.6,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,4,0,0,9,0.0,0.0,59.6,22.9,22.8,22.2,0,0,100,
37,0103,2/22/2022 11:51:38 AM ,4985,20.903,20.774,0.129,0.1,3835,0.059,0.163,0.104,0.1,0.769,23.7,0.914,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1029,0,0,7,0.0,0.0,59.5,22.9,22.5,22.2,0,0,100,
38,0103,2/22/2022 11:54:18 AM ,5115,20.903,20.771,0.132,0.1,3918,0.059,0.166,0.106,0.1,0.766,24.3,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,5,0,0,7,0.0,0.0,59.6,22.9,22.8,22.2,0,0,100,
39,0103,2/22/2022 11:57:18 AM ,5189,20.903,20.769,0.134,0.1,3986,0.059,0.167,0.108,0.1,0.768,24.7,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,3,0,11,0,0,5,0.0,0.0,59.5,22.9,22.5,22.2,0,0,100,
40,EVENT,2/22/2022 11:59:58 AM ,5172,20.903,20.769,0.134,0.1,3992,0.059,0.167,0.108,0.1,0.772,24.6,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,134,0,0,5,0.0,0.0,59.5,22.9,22.7,22.2,0,0,100,
41,0103,2/22/2022 12:02:58 PM ,5181,20.903,20.769,0.134,0.1,4004,0.059,0.167,0.108,0.1,0.773,24.7,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,167,2,0,5,0.0,0.0,59.5,22.9,22.6,22.2,0,0,100,
42,0103,2/22/2022 12:05:38 PM ,5243,20.903,20.768,0.135,0.1,4039,0.059,0.168,0.109,0.1,0.770,25.0,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,2,1,75,3,0,4,0.0,0.0,59.5,22.9,22.7,22.2,0,0,100,
43,0103,2/22/2022 12:08:38 PM ,5217,20.903,20.768,0.135,0.2,4038,0.059,0.168,0.110,0.1,0.774,24.9,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,13,0,0,7,0.0,0.0,59.5,22.9,22.6,22.2,0,0,100,
44,EVENT,2/22/2022 12:11:18 PM ,5213,20.903,20.768,0.135,0.2,4072,0.059,0.169,0.110,0.1,0.781,24.9,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,4,3,90,2,0,4,0.0,0.0,59.5,22.9,22.7,22.2,0,0,100,
45,0103,2/22/2022 12:14:18 PM ,5007,20.903,20.773,0.130,0.2,3886,0.059,0.165,0.106,0.1,0.776,23.9,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,716,6,0,4,0.0,0.0,59.5,22.9,22.6,22.2,0,0,100,
46,0103,2/22/2022 12:16:58 PM ,4835,20.903,20.779,0.124,0.2,3585,0.059,0.156,0.097,0.1,0.741,22.9,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,91,3,0,4,0.0,0.0,59.5,22.9,22.7,22.2,0,0,100,
47,EVENT,2/22/2022 12:19:58 PM ,4928,20.903,20.777,0.126,0.2,3635,0.060,0.158,0.099,0.1,0.738,23.3,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,191,1,0,4,0.0,0.0,59.4,22.9,22.5,22.2,0,0,100,
48,0103,2/22/2022 12:22:38 PM ,5030,20.903,20.774,0.129,0.2,3754,0.060,0.161,0.102,0.1,0.746,23.8,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,218,13,0,3,0.0,0.0,59.5,22.9,22.8,22.2,0,0,100,
49,EVENT,2/22/2022 12:25:38 PM ,4986,20.903,20.775,0.128,0.2,3744,0.059,0.161,0.102,0.1,0.751,23.6,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,27,0,0,5,0.0,0.0,59.4,22.9,22.6,22.2,0,0,100,
50,0103,2/22/2022 12:28:18 PM ,4837,20.903,20.779,0.124,0.2,3580,0.059,0.156,0.097,0.1,0.740,22.9,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,14,2,44,12,0,3,0.0,0.0,59.4,22.9,22.7,22.2,0,0,100,
51,EVENT,2/22/2022 12:31:18 PM ,5067,20.903,20.773,0.130,0.2,3772,0.060,0.162,0.102,0.1,0.745,24.0,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,103,0,169,1,0,5,0.0,0.0,59.4,22.9,22.6,22.2,0,0,100,
