Oxymax CSV File 

CSV Generation Date,10/10/2022 8:52:20 AM 
Experiment Started,2/22/2022 10:08:14 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-02-22 Chen Mice 22C FUS vs Sham Stimulation.CDTA

Group/Cage,0107
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,3B
Subject Mass (G), 15.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,2/22/2022 10:10:58 AM ,5699,20.903,20.749,0.154,0.0,4410,0.058,0.183,0.125,0.0,0.774,27.2,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,49,17,117,43,0,3,0.0,0.0,61.6,22.8,22.5,22.2,0,0,100,
2,0107,2/22/2022 10:13:38 AM ,5663,20.903,20.750,0.153,0.0,4421,0.058,0.183,0.125,0.0,0.781,27.0,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,3,2,432,88,0,2,0.0,0.0,61.7,22.7,22.6,22.2,0,0,100,
3,0107,2/22/2022 10:16:38 AM ,6115,20.903,20.740,0.163,0.0,4349,0.058,0.182,0.123,0.0,0.711,28.7,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,40,7,232,37,0,0,0.0,0.0,61.7,22.8,22.5,22.2,0,0,100,
4,0107,2/22/2022 10:19:18 AM ,6339,20.903,20.735,0.168,0.0,4453,0.058,0.185,0.126,0.0,0.703,29.7,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,244,108,396,247,2,2,0.0,0.0,61.8,22.8,22.7,22.2,0,0,100,
5,0107,2/22/2022 10:22:18 AM ,6223,20.903,20.737,0.166,0.0,4478,0.059,0.186,0.127,0.0,0.720,29.3,0.900,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,164,58,186,110,2,4,0.0,0.0,61.9,22.8,22.5,22.2,0,0,100,
6,0107,2/22/2022 10:24:58 AM ,5789,20.903,20.747,0.156,0.0,4388,0.059,0.183,0.124,0.0,0.758,27.5,0.900,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,166,53,123,37,0,3,0.0,0.0,62.0,22.8,22.5,22.2,0,0,100,
7,0107,2/22/2022 10:27:58 AM ,5962,20.903,20.745,0.158,0.0,4079,0.065,0.180,0.116,0.0,0.684,27.8,0.900,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,10,2,220,15,0,1,0.0,0.0,62.0,22.9,22.8,22.2,0,0,100,
8,0107,2/22/2022 10:30:38 AM ,6002,20.903,20.744,0.159,0.0,4067,0.065,0.180,0.115,0.0,0.678,27.9,0.900,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,34,0,157,31,0,2,0.0,0.0,61.9,22.9,22.5,22.2,0,0,100,
9,0107,2/22/2022 10:33:38 AM ,5289,20.903,20.761,0.142,0.0,3911,0.066,0.177,0.111,0.0,0.739,25.0,0.900,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,20,0,0,1,0.0,0.0,61.8,22.9,22.9,22.2,0,0,100,
10,0107,2/22/2022 10:36:18 AM ,5079,20.903,20.767,0.136,0.0,3727,0.066,0.172,0.106,0.0,0.734,24.0,0.900,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,31,0,5,0,0,1,0.0,0.0,61.6,22.9,22.4,22.2,0,0,100,
11,0107,2/22/2022 10:39:18 AM ,4808,20.903,20.773,0.130,0.0,3663,0.064,0.168,0.104,0.0,0.762,22.9,0.899,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,7,0,115,1,0,3,0.0,0.0,61.6,22.9,22.9,22.2,0,0,100,
12,0107,2/22/2022 10:41:58 AM ,4812,20.903,20.773,0.130,0.0,3576,0.064,0.166,0.102,0.0,0.743,22.8,0.895,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,4,0,2,0,0,2,0.0,0.0,61.6,22.9,22.4,22.2,0,0,100,
13,0107,2/22/2022 10:44:58 AM ,4725,20.903,20.776,0.127,0.0,3564,0.063,0.163,0.101,0.0,0.754,22.4,0.903,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,113,0,0,1,0.0,0.0,61.5,22.9,22.9,22.2,0,0,100,
14,0107,2/22/2022 10:47:38 AM ,4633,20.903,20.779,0.124,0.1,3438,0.063,0.160,0.097,0.0,0.742,21.9,0.902,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,0,0,0,0,1,0.0,0.0,61.4,22.9,22.4,22.2,0,0,100,
15,0107,2/22/2022 10:50:38 AM ,4429,20.903,20.784,0.119,0.1,3370,0.061,0.157,0.095,0.0,0.761,21.0,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,0,1,0,0,1,0.0,0.0,61.3,22.9,22.9,22.2,0,0,100,
16,0107,2/22/2022 10:53:18 AM ,4576,20.903,20.780,0.123,0.1,3402,0.061,0.158,0.096,0.0,0.743,21.6,0.900,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,2,0,0,0,0,0,0.0,0.0,61.3,22.9,22.3,22.2,0,0,100,
17,0107,2/22/2022 10:56:18 AM ,4581,20.903,20.780,0.123,0.1,3448,0.060,0.158,0.098,0.0,0.753,21.7,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,4,0,479,2,0,3,0.0,0.0,61.2,22.9,22.8,22.2,0,0,100,
18,0107,2/22/2022 10:58:58 AM ,4640,20.903,20.778,0.125,0.1,3444,0.060,0.158,0.098,0.0,0.742,21.9,0.895,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,61.3,22.9,22.4,22.2,0,0,100,
19,0107,2/22/2022 11:01:58 AM ,4529,20.903,20.781,0.122,0.1,3371,0.059,0.155,0.096,0.1,0.744,21.4,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,61.2,22.9,22.9,22.2,0,0,100,
20,0107,2/22/2022 11:04:38 AM ,4526,20.903,20.781,0.121,0.1,3359,0.059,0.154,0.095,0.1,0.742,21.4,0.899,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,61.2,23.0,22.4,22.2,0,0,100,
21,0107,2/22/2022 11:07:38 AM ,4530,20.903,20.781,0.122,0.1,3363,0.059,0.154,0.095,0.1,0.742,21.4,0.900,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,1,0.0,0.0,61.1,22.9,22.9,22.2,0,0,100,
22,0107,2/22/2022 11:10:18 AM ,4548,20.903,20.781,0.122,0.1,3381,0.059,0.154,0.096,0.1,0.743,21.5,0.899,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,61.1,22.9,22.3,22.2,0,0,100,
23,0107,2/22/2022 11:13:18 AM ,4353,20.903,20.786,0.117,0.1,3244,0.058,0.150,0.092,0.1,0.745,20.6,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,3,0,0,1,0.0,0.0,61.1,22.9,22.8,22.2,0,0,100,
24,0107,2/22/2022 11:15:58 AM ,4441,20.903,20.784,0.119,0.1,3241,0.058,0.150,0.092,0.1,0.730,20.9,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,61.1,22.9,22.3,22.2,0,0,100,
25,0107,2/22/2022 11:18:58 AM ,4587,20.903,20.780,0.123,0.1,3387,0.058,0.153,0.096,0.1,0.738,21.7,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,9,0,24,2,0,2,0.0,0.0,61.1,22.9,22.8,22.2,0,0,100,
26,0107,2/22/2022 11:21:38 AM ,4584,20.903,20.780,0.123,0.1,3398,0.058,0.154,0.096,0.1,0.741,21.7,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,61.0,22.9,22.3,22.2,0,0,100,
27,0107,2/22/2022 11:24:38 AM ,4269,20.903,20.789,0.114,0.1,3205,0.058,0.149,0.091,0.1,0.751,20.2,0.901,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,61.0,22.9,22.8,22.2,0,0,100,
28,0107,2/22/2022 11:27:18 AM ,4187,20.903,20.791,0.112,0.1,3124,0.058,0.146,0.088,0.1,0.746,19.8,0.902,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,0,0,0,0,0,0.0,0.0,61.0,22.9,22.3,22.2,0,0,100,
29,0107,2/22/2022 11:30:18 AM ,4341,20.903,20.786,0.117,0.1,3224,0.058,0.149,0.092,0.1,0.743,20.5,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,60.9,22.9,22.8,22.2,0,0,100,
30,0107,2/22/2022 11:32:58 AM ,4390,20.903,20.785,0.118,0.1,3242,0.058,0.150,0.092,0.1,0.738,20.7,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,61.0,23.0,22.3,22.2,0,0,100,
31,0107,2/22/2022 11:35:58 AM ,4422,20.903,20.784,0.119,0.1,3266,0.057,0.150,0.093,0.1,0.739,20.9,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,60.9,22.9,22.8,22.2,0,0,100,
32,0107,2/22/2022 11:38:38 AM ,4447,20.903,20.784,0.119,0.1,3258,0.057,0.150,0.093,0.1,0.733,21.0,0.896,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,60.9,22.9,22.3,22.2,0,0,100,
33,0107,2/22/2022 11:41:38 AM ,4401,20.903,20.785,0.118,0.1,3239,0.057,0.149,0.092,0.1,0.736,20.8,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,2,0.0,0.0,60.8,22.9,22.8,22.2,0,0,100,
34,0107,2/22/2022 11:44:18 AM ,4252,20.903,20.788,0.115,0.1,3243,0.057,0.149,0.092,0.1,0.763,20.2,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,60.8,23.0,22.3,22.2,0,0,100,
35,0107,2/22/2022 11:47:18 AM ,4424,20.903,20.784,0.119,0.1,3263,0.058,0.151,0.093,0.1,0.738,20.9,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,3,0,6,2,0,1,0.0,0.0,60.8,22.9,22.8,22.2,0,0,100,
36,0107,2/22/2022 11:49:58 AM ,4450,20.903,20.784,0.119,0.1,3285,0.058,0.151,0.093,0.1,0.738,21.0,0.899,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,60.9,23.0,22.4,22.2,0,0,100,
37,0107,2/22/2022 11:52:58 AM ,4325,20.903,20.787,0.116,0.1,3159,0.059,0.149,0.090,0.1,0.730,20.4,0.896,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,3,0.0,0.0,60.8,22.9,22.8,22.2,0,0,100,
38,0107,2/22/2022 11:55:38 AM ,4282,20.903,20.788,0.115,0.1,3162,0.059,0.149,0.090,0.1,0.739,20.2,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,3,0.0,0.0,60.8,22.9,22.3,22.2,0,0,100,
39,0107,2/22/2022 11:58:38 AM ,4479,20.903,20.783,0.120,0.1,3238,0.059,0.151,0.092,0.1,0.723,21.1,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,2,0,15,4,0,0,0.0,0.0,60.8,22.9,22.7,22.2,0,0,100,
40,EVENT,2/22/2022 12:01:18 PM ,4481,20.903,20.783,0.120,0.1,3242,0.059,0.151,0.092,0.1,0.723,21.1,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,0,38,1,0,1,0.0,0.0,60.8,23.0,22.3,22.2,0,0,100,
41,0107,2/22/2022 12:04:18 PM ,4453,20.903,20.784,0.119,0.1,3239,0.059,0.151,0.092,0.1,0.727,21.0,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,47,0,0,0,0,1,0.0,0.0,60.8,22.9,22.8,22.2,0,0,100,
42,0107,2/22/2022 12:06:58 PM ,4396,20.903,20.785,0.118,0.1,3231,0.059,0.150,0.092,0.1,0.735,20.8,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,21,0,0,0,0,0,0.0,0.0,60.8,23.0,22.3,22.2,0,0,100,
43,0107,2/22/2022 12:09:58 PM ,4383,20.903,20.785,0.118,0.1,3234,0.059,0.151,0.092,0.1,0.738,20.7,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,32,0,0,0,0,2,0.0,0.0,60.7,22.9,22.8,22.2,0,0,100,
44,EVENT,2/22/2022 12:12:38 PM ,4440,20.903,20.784,0.119,0.1,3226,0.059,0.151,0.092,0.1,0.726,20.9,0.896,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,3,0,0,0,0,0,0.0,0.0,60.7,22.9,22.3,22.2,0,0,100,
45,0107,2/22/2022 12:15:38 PM ,4216,20.903,20.789,0.113,0.2,3154,0.059,0.149,0.090,0.1,0.748,20.0,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,60.7,22.9,22.8,22.2,0,0,100,
46,0107,2/22/2022 12:18:18 PM ,4311,20.903,20.787,0.116,0.2,3165,0.059,0.149,0.090,0.1,0.734,20.3,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,1,0,1,0.0,0.0,60.6,22.9,22.3,22.2,0,0,100,
47,EVENT,2/22/2022 12:21:18 PM ,4486,20.903,20.783,0.120,0.2,3300,0.060,0.153,0.094,0.1,0.736,21.2,0.899,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,60.7,22.9,22.8,22.2,0,0,100,
48,0107,2/22/2022 12:23:58 PM ,4497,20.903,20.782,0.121,0.2,3314,0.060,0.154,0.094,0.1,0.737,21.2,0.899,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,60.7,22.9,22.3,22.2,0,0,100,
49,EVENT,2/22/2022 12:26:58 PM ,4498,20.903,20.782,0.121,0.2,3317,0.059,0.153,0.094,0.1,0.738,21.2,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,14,0,1,0,0,0,0.0,0.0,60.6,22.9,22.8,22.2,0,0,100,
50,0107,2/22/2022 12:29:38 PM ,4387,20.903,20.785,0.118,0.2,3192,0.059,0.150,0.091,0.1,0.727,20.7,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,60.5,22.9,22.3,22.2,0,0,100,
51,EVENT,2/22/2022 12:32:38 PM ,4098,20.903,20.794,0.109,0.2,2920,0.060,0.143,0.083,0.1,0.713,19.2,0.898,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,18,0,4,0,0,1,0.0,0.0,60.5,22.9,22.8,22.2,0,0,100,
